Anna	NP	Anna
Malaika	NP	Malaika
Tubbs	NP	Tubbs
:	:	:
"	``	"
The	DT	the
Three	NP	Three
Mothers	NP	Mothers
"	''	"
is	VBZ	be
about	IN	about
Alberta	NP	Alberta
King	NP	King
,	,	,
Berdis	NP	<unknown>
Baldwin	NP	Baldwin
and	CC	and
Louise	NP	Louise
Little	NP	Little
,	,	,
the	DT	the
mothers	NNS	mother
of	IN	of
MLK	NP	MLK
Jr	NP	Jr
.	SENT	.
,	,	,
James	NP	James
Baldwin	NP	Baldwin
and	CC	and
Malcolm	NP	Malcolm
X	NP	X
.	SENT	.
And	CC	and
I	PP	I
wrote	VBD	write
this	DT	this
book	NN	book
to	TO	to
not	RB	not
only	RB	only
celebrate	VB	celebrate
these	DT	these
three	CD	three
incredible	JJ	incredible
life	NN	life
stories	NNS	story
that	IN	that
we	PP	we
should	MD	should
have	VB	have
known	VBN	know
for	IN	for
years	NNS	year
and	CC	and
years	NNS	year
before	IN	before
my	PP$	my
book	NN	book
,	,	,
but	CC	but
to	TO	to
also	RB	also
think	VB	think
about	RB	about
what	WP	what
their	PP$	their
stories	NNS	story
could	MD	could
symbolize	VB	symbolize
for	IN	for
Black	JJ	Black
women	NNS	woman
,	,	,
Black	NP	Black
mothers	NNS	mother
,	,	,
mothers	VBZ	mother
more	RBR	more
generally	RB	generally
,	,	,
and	CC	and
what	WP	what
it	PP	it
could	MD	could
mean	VB	mean
to	TO	to
save	VB	save
their	PP$	their
stories	NNS	story
from	IN	from
being	VBG	be
forgotten	VBN	forget
,	,	,
from	IN	from
being	VBG	be
erased	VBN	erase
,	,	,
and	CC	and
how	WRB	how
it	PP	it
changes	VBZ	change
our	PP$	our
understanding	NN	understanding
of	IN	of
where	WRB	where
we	PP	we
are	VBP	be
as	IN	as
a	DT	a
nation	NN	nation
today	NN	today
,	,	,
how	WRB	how
we	PP	we
have	VBP	have
arrived	VBN	arrive
here	RB	here
,	,	,
what	WP	what
are	VBP	be
changes	NNS	change
that	IN	that
we	PP	we
still	RB	still
need	VBP	need
to	TO	to
make	VB	make
.	SENT	.
Whitney	NP	Whitney
Pennington	NP	Pennington
Rogers	NP	Rogers
:	:	:
That	WDT	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
I	PP	I
think	VBP	think
in	IN	in
reading	VBG	read
it	PP	it
,	,	,
you	PP	you
can	MD	can
feel	VB	feel
how	WRB	how
really	RB	really
lovingly	RB	lovingly
you	PP	you
put	VBP	put
all	DT	all
of	IN	of
this	DT	this
together	RB	together
and	CC	and
did	VBD	do
this	DT	this
research	NN	research
and	CC	and
the	DT	the
attention	NN	attention
that	IN	that
you	PP	you
put	VBD	put
to	TO	to
this	DT	this
,	,	,
this	DT	this
really	RB	really
comes	VBZ	come
through	IN	through
in	IN	in
the	DT	the
finished	JJ	finished
product	NN	product
.	SENT	.
Well	RB	well
,	,	,
we	PP	we
have	VBP	have
we	PP	we
have	VBP	have
a	DT	a
question	NN	question
from	IN	from
Jeff	NP	Jeff
.	SENT	.
Jeff	NP	Jeff
says	VBZ	say
that	IN	that
,	,	,
"	``	"
As	IN	as
a	DT	a
father	NN	father
,	,	,
this	DT	this
talk	NN	talk
changed	VBD	change
my	PP$	my
life	NN	life
.	SENT	.
I	PP	I
bought	VBD	buy
the	DT	the
book	NN	book
,	,	,
a	DT	a
few	JJ	few
copies	NNS	copy
,	,	,
and	CC	and
was	VBD	be
in	IN	in
the	DT	the
audience	NN	audience
in	IN	in
December	NP	December
live	VBP	live
,	,	,
and	CC	and
it	PP	it
generated	VBD	generate
this	DT	this
concern	NN	concern
for	IN	for
me	PP	me
.	SENT	.
How	WRB	how
much	JJ	much
history	NN	history
was	VBD	be
impacted	VBN	impact
with	IN	with
lack	NN	lack
of	IN	of
mother	NN	mother
'	POS	'
s	NN	S
input	NN	input
,	,	,
especially	RB	especially
Black	NP	Black
mothers	NNS	mother
?	SENT	?
"	''	"
And	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
question	NN	question
.	SENT	.
AMT	NP	AMT
:	:	:
Oh	UH	oh
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
question	NN	question
.	SENT	.
First	RB	first
,	,	,
thank	VB	thank
you	PP	you
,	,	,
Jeff	NP	Jeff
,	,	,
I	PP	I
really	RB	really
appreciate	VBP	appreciate
that	DT	that
.	SENT	.
So	RB	so
much	RB	much
of	IN	of
our	PP$	our
history	NN	history
,	,	,
we	PP	we
are	VBP	be
missing	VBG	miss
these	DT	these
stories	NNS	story
.	SENT	.
And	CC	and
the	DT	the
feeling	NN	feeling
that	IN	that
you	PP	you
felt	VBD	feel
in	RP	in
being	VBG	be
in	IN	in
that	DT	that
audience	NN	audience
and	CC	and
that	IN	that
I	PP	I
felt	VBD	feel
in	IN	in
uncovering	VBG	uncover
these	DT	these
stories	NNS	story
and	CC	and
every	DT	every
piece	NN	piece
of	IN	of
the	DT	the
puzzle	NN	puzzle
that	IN	that
I	PP	I
found	VBD	find
just	RB	just
really	RB	really
shocked	VBN	shock
me	PP	me
,	,	,
that	IN	that
we	PP	we
didn	NNS	<unknown>
'	POS	'
t	NN	t
know	VBP	know
these	DT	these
things	NNS	thing
already	RB	already
and	CC	and
infuriated	VBD	infuriate
me	PP	me
.	SENT	.
And	CC	and
it	PP	it
really	RB	really
caused	VBD	cause
me	PP	me
some	DT	some
deep	JJ	deep
sadness	NN	sadness
,	,	,
because	IN	because
I	PP	I
realized	VBD	realize
how	WRB	how
many	JJ	many
more	JJR	more
stories	NNS	story
are	VBP	be
--	:	--
I	PP	I
mean	VBP	mean
,	,	,
we	PP	we
'	POS	'
re	NN	re
missing	VBG	miss
so	RB	so
many	JJ	many
,	,	,
and	CC	and
of	IN	of
course	NN	course
,	,	,
not	RB	not
everybody	NN	everybody
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
famous	JJ	famous
and	CC	and
not	RB	not
everyone	NN	everyone
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
book	NN	book
written	VBN	write
about	IN	about
them	PP	them
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
very	RB	very
,	,	,
very	RB	very
unique	JJ	unique
,	,	,
this	DT	this
erasure	NN	erasure
of	IN	of
Black	NP	Black
women	NNS	woman
'	POS	'
s	NN	S
contributions	NNS	contribution
