Hi	NP	Hi
there	RB	there
,	,	,
my	PP$	my
name	NN	name
is	VBZ	be
Sean	NP	Sean
Sherman	NP	Sherman
,	,	,
I	PP	I
am	VBP	be
a	DT	a
chef	NN	chef
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
food	NN	food
for	IN	for
you	PP	you
guys	VBZ	guy
tonight	RB	tonight
.	SENT	.
Food	NN	food
for	IN	for
thought	NN	thought
,	,	,
I	PP	I
guess	VBP	guess
,	,	,
maybe	RB	maybe
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
about	IN	about
Native	JJ	native
American	JJ	American
food	NN	food
.	SENT	.
I	PP	I
was	VBD	be
born	VBN	bear
and	CC	and
raised	VBN	raise
in	IN	in
Pine	NP	Pine
Ridge	NP	Ridge
in	IN	in
South	NP	South
Dakota	NP	Dakota
,	,	,
and	CC	and
our	PP$	our
focus	NN	focus
are	VBP	be
on	IN	on
Indigenous	JJ	indigenous
foods	NNS	food
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
a	DT	a
really	RB	really
interesting	JJ	interesting
journey	NN	journey
so	RB	so
far	RB	far
.	SENT	.
I	PP	I
started	VBD	start
my	PP$	my
company	NN	company
called	VBD	call
The	DT	the
Sioux	NP	Sioux
Chef	NN	chef
--	:	--
S-I-O-U-X	NP	<unknown>
,	,	,
a	DT	a
little	JJ	little
play	NN	play
on	IN	on
words	NNS	word
--	:	--
back	RB	back
in	IN	in
2014	CD	@card@
.	SENT	.
But	CC	but
it	PP	it
had	VBD	have
come	VBN	come
from	IN	from
quite	PDT	quite
a	DT	a
few	JJ	few
years	NNS	year
of	IN	of
trying	VBG	try
to	TO	to
research	VB	research
and	CC	and
understand	VB	understand
because	IN	because
I	PP	I
kind	NN	kind
of	IN	of
grew	VBN	grew
up	RP	up
in	IN	in
restaurants	NNS	restaurant
.	SENT	.
I	PP	I
grew	VBD	grow
up	RP	up
in	IN	in
Pine	NP	Pine
Ridge	NP	Ridge
.	SENT	.
I	PP	I
grew	VBD	grow
up	RP	up
in	IN	in
Spearfish	NNS	spearfish
and	CC	and
in	IN	in
South	NP	South
Dakota	NP	Dakota
in	IN	in
the	DT	the
Black	NP	Black
Hills	NP	Hills
.	SENT	.
And	CC	and
I	PP	I
started	VBD	start
working	VBG	work
a	DT	a
lot	NN	lot
of	IN	of
touristy	JJ	touristy
restaurants	NNS	restaurant
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
had	VBD	have
just	RB	just
a	DT	a
long	JJ	long
career	NN	career
.	SENT	.
All	DT	all
through	IN	through
high	JJ	high
school	NN	school
and	CC	and
college	NN	college
,	,	,
I	PP	I
worked	VBD	work
restaurants	NNS	restaurant
.	SENT	.
After	IN	after
college	NN	college
,	,	,
I	PP	I
moved	VBD	move
to	TO	to
Minneapolis	NP	Minneapolis
.	SENT	.
I	PP	I
became	VBD	become
a	DT	a
chef	NN	chef
at	IN	at
a	DT	a
young	JJ	young
age	NN	age
in	IN	in
the	DT	the
city	NN	city
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
d	NN	d
just	RB	just
been	VBN	be
cheffing	VBG	cheff
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
And	CC	and
a	DT	a
few	JJ	few
years	NNS	year
into	IN	into
my	PP$	my
chef	NN	chef
career	NN	career
,	,	,
I	PP	I
realized	VBD	realize
the	DT	the
complete	JJ	complete
absence	NN	absence
