There	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
ways	NNS	way
the	DT	the
people	NNS	people
around	IN	around
us	PP	us
can	MD	can
help	VB	help
improve	VB	improve
our	PP$	our
lives	NNS	life
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
bump	NN	bump
into	IN	into
every	DT	every
neighbor	NN	neighbor
,	,	,
so	RB	so
a	DT	a
lot	NN	lot
of	IN	of
wisdom	NN	wisdom
never	RB	never
gets	VBZ	get
passed	VBN	pass
on	IN	on
,	,	,
though	IN	though
we	PP	we
do	VBP	do
share	NN	share
the	DT	the
same	JJ	same
public	JJ	public
spaces	NNS	space
.	SENT	.
So	RB	so
over	IN	over
the	DT	the
past	JJ	past
few	JJ	few
years	NNS	year
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
tried	VBD	try
ways	NNS	way
to	TO	to
share	VB	share
more	JJR	more
with	IN	with
my	PP$	my
neighbors	NNS	neighbor
in	IN	in
public	JJ	public
space	NN	space
,	,	,
using	VBG	use
simple	JJ	simple
tools	NNS	tool
like	IN	like
stickers	NNS	sticker
,	,	,
stencils	NNS	stencil
and	CC	and
chalk	NN	chalk
.	SENT	.
And	CC	and
these	DT	these
projects	NNS	project
came	VBD	come
from	IN	from
questions	NNS	question
I	PP	I
had	VBD	have
,	,	,
like	VBP	like
:	:	:
How	WRB	how
much	JJ	much
are	VBP	be
my	PP$	my
neighbors	NNS	neighbor
paying	VBG	pay
for	IN	for
their	PP$	their
apartments	NNS	apartment
?	SENT	?
How	WRB	how
can	MD	can
we	PP	we
lend	VB	lend
and	CC	and
borrow	VB	borrow
more	JJR	more
things	NNS	thing
,	,	,
without	IN	without
knocking	VBG	knock
on	IN	on
each	DT	each
other	JJ	other
'	POS	'
s	NN	S
doors	NNS	door
at	IN	at
a	DT	a
bad	JJ	bad
time	NN	time
?	SENT	?
How	WRB	how
can	MD	can
we	PP	we
share	VB	share
more	JJR	more
memories	NNS	memory
of	IN	of
our	PP$	our
abandoned	JJ	abandoned
buildings	NNS	building
,	,	,
and	CC	and
gain	VB	gain
a	DT	a
better	JJR	good
understanding	NN	understanding
of	IN	of
our	PP$	our
landscape	NN	landscape
?	SENT	?
How	WRB	how
can	MD	can
we	PP	we
share	VB	share
more	JJR	more
of	IN	of
our	PP$	our
hopes	NNS	hope
for	IN	for
our	PP$	our
vacant	JJ	vacant
storefronts	NNS	storefront
,	,	,
so	RB	so
our	PP$	our
