Greg	NP	Greg
Gage	NP	Gage
:	:	:
If	IN	if
I	PP	I
asked	VBD	ask
you	PP	you
to	TO	to
think	VB	think
of	IN	of
a	DT	a
ferocious	JJ	ferocious
killer	NN	killer
animal	NN	animal
,	,	,
you	PP	you
'	POS	'
d	NN	d
probably	RB	probably
think	VBP	think
of	IN	of
a	DT	a
lion	NN	lion
,	,	,
and	CC	and
for	IN	for
all	PDT	all
the	DT	the
wonderful	JJ	wonderful
predatory	JJ	predatory
skills	NNS	skill
that	IN	that
a	DT	a
lion	NN	lion
has	VBZ	have
,	,	,
it	PP	it
still	RB	still
only	RB	only
has	VBZ	have
about	RB	about
a	DT	a
20	CD	@card@
percent	NN	percent
success	NN	success
rate	NN	rate
at	IN	at
catching	VBG	catch
a	DT	a
meal	NN	meal
.	SENT	.
Now	RB	now
,	,	,
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
successful	JJ	successful
hunters	NNS	hunter
in	IN	in
the	DT	the
entire	JJ	entire
animal	NN	animal
kingdom	NN	kingdom
is	VBZ	be
surprising	JJ	surprising
:	:	:
the	DT	the
dragonfly	NN	dragonfly
.	SENT	.
Now	RB	now
,	,	,
dragonflies	NNS	dragonfly
are	VBP	be
killer	NN	killer
flies	NNS	fly
,	,	,
and	CC	and
when	WRB	when
they	PP	they
see	VBP	see
a	DT	a
smaller	JJR	small
fly	NN	fly
,	,	,
they	PP	they
have	VBP	have
about	RB	about
a	DT	a
97	CD	@card@
percent	NN	percent
chance	NN	chance
of	IN	of
catching	VBG	catch
it	PP	it
for	IN	for
a	DT	a
meal	NN	meal
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
in	IN	in
mid-flight	NN	mid-flight
.	SENT	.
But	CC	but
how	WRB	how
can	MD	can
such	JJ	such
a	DT	a
small	JJ	small
insect	NN	insect
be	VB	be
so	RB	so
precise	JJ	precise
?	SENT	?
In	IN	in
this	DT	this
episode	NN	episode
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
how	WRB	how
the	DT	the
dragonfly	NN	dragonfly
'	POS	'
s	NN	S
brain	NN	brain
is	VBZ	be
highly	RB	highly
specialized	VBN	specialize
to	TO	to
be	VB	be
a	DT	a
deadly	JJ	deadly
killer	NN	killer
.	SENT	.
[	SYM	[
DIY	NN	DIY
Neuroscience	NP	Neuroscience
]	SYM	]
So	RB	so
what	WP	what
makes	VBZ	make
the	DT	the
dragonfly	NN	dragonfly
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
successful	JJ	successful
predators	NNS	predator
