Good	JJ	good
morning	NN	morning
,	,	,
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Art	NP	Art
Benjamin	NP	Benjamin
,	,	,
and	CC	and
I	PP	I
am	VBP	be
a	DT	a
"	``	"
mathemagician	JJ	<unknown>
.	SENT	.
"	``	"
What	WP	what
that	DT	that
means	NN	means
is	VBZ	be
,	,	,
I	PP	I
combine	VBP	combine
my	PP$	my
loves	NNS	love
of	IN	of
math	NN	math
and	CC	and
magic	JJ	magic
to	TO	to
do	VB	do
something	NN	something
I	PP	I
call	VBP	call
"	``	"
mathemagics	NNS	mathemagic
.	SENT	.
"	''	"
But	CC	but
before	IN	before
I	PP	I
get	VBP	get
started	VBN	start
,	,	,
I	PP	I
have	VBP	have
a	DT	a
quick	JJ	quick
question	NN	question
for	IN	for
the	DT	the
audience	NN	audience
.	SENT	.
By	IN	by
any	DT	any
chance	NN	chance
,	,	,
did	VBD	do
anyone	NN	anyone
happen	VB	happen
to	TO	to
bring	VB	bring
with	IN	with
them	PP	them
this	DT	this
morning	NN	morning
a	DT	a
calculator	NN	calculator
?	SENT	?
Seriously	RB	seriously
,	,	,
if	IN	if
you	PP	you
have	VBP	have
a	DT	a
calculator	NN	calculator
with	IN	with
you	PP	you
,	,	,
raise	VB	raise
your	PP$	your
hand	NN	hand
.	SENT	.
Raise	VB	raise
your	PP$	your
hand	NN	hand
.	SENT	.
Did	VBD	do
your	PP$	your
hand	NN	hand
go	VB	go
up	RP	up
?	SENT	?
Now	RB	now
bring	VB	bring
it	PP	it
out	RP	out
,	,	,
bring	VB	bring
it	PP	it
out	RP	out
.	SENT	.
Anybody	NN	anybody
else	RB	else
?	SENT	?
I	PP	I
see	VBP	see
,	,	,
I	PP	I
see	VBP	see
one	CD	one
way	NN	way
in	IN	in
the	DT	the
back	NN	back
.	SENT	.
You	PP	you
sir	NN	sir
,	,	,
that	WDT	that
'	POS	'
s	NN	S
three	CD	three
.	SENT	.
And	CC	and
anybody	NN	anybody
on	IN	on
this	DT	this
side	NN	side
here	RB	here
?	SENT	?
OK	UH	OK
,	,	,
over	RB	over
there	RB	there
on	IN	on
the	DT	the
aisle	NN	aisle
.	SENT	.
Would	MD	would
the	DT	the
four	CD	four
of	IN	of
you	PP	you
please	VBP	please
bring	VB	bring
out	RP	out
your	PP$	your
calculators	NNS	calculator
,	,	,
then	RB	then
join	VB	join
me	PP	me
up	RP	up
on	IN	on
stage	NN	stage
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
give	VBP	give
them	PP	them
a	DT	a
nice	JJ	nice
round	NN	round
of	IN	of
applause	NN	applause
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
Now	RB	now
,	,	,
since	IN	since
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
had	VBD	have
the	DT	the
chance	NN	chance
to	TO	to
work	VB	work
with	IN	with
these	DT	these
calculators	NNS	calculator
,	,	,
I	PP	I
need	VBP	need
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
they	PP	they
are	VBP	be
all	RB	all
working	VBG	work
properly	RB	properly
.	SENT	.
Would	MD	would
somebody	NN	somebody
get	VB	get
us	PP	us
started	VBN	start
by	IN	by
giving	VBG	give
us	PP	us
a	DT	a
two-digit	NN	two-digit
number	NN	number
,	,	,
please	UH	please
?	SENT	?
How	WRB	how
about	RB	about
a	DT	a
two-digit	NN	two-digit
number	NN	number
?	SENT	?
Audience	NN	audience
:	:	:
22	CD	@card@
.	SENT	.
AB	NP	AB
:	:	:
22	LS	@card@
.	SENT	.
And	CC	and
another	DT	another
two-digit	NN	two-digit
number	NN	number
,	,	,
sir	NN	sir
?	SENT	?
Audience	NN	audience
:	:	:
47	CD	@card@
.	SENT	.
AB	NP	AB
:	:	:
Multiply	VBP	multiply
22	CD	@card@
times	NNS	time
47	CD	@card@
,	,	,
make	VBP	make
sure	RB	sure
you	PP	you
get	VBP	get
1	CD	@card@
,	,	,
034	CD	@card@
,	,	,
or	CC	or
the	DT	the
calculators	NNS	calculator
are	VBP	be
not	RB	not
working	VBG	work
.	SENT	.
Do	VB	do
all	DT	all
of	IN	of
you	PP	you
get	VBP	get
1	CD	@card@
,	,	,
034	CD	@card@
?	SENT	?
1	CD	@card@
,	,	,
034	CD	@card@
?	SENT	?
Volunteer	NN	volunteer
:	:	:
No	UH	no
.	SENT	.
AB	NP	AB
:	:	:
594	LS	@card@
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
give	VBP	give
three	CD	three
of	IN	of
them	PP	them
a	DT	a
nice	JJ	nice
round	NN	round
of	IN	of
applause	NN	applause
there	RB	there
.	SENT	.
Would	MD	would
you	PP	you
like	VB	like
to	TO	to
try	VB	try
a	DT	a
more	RBR	more
standard	JJ	standard
calculator	NN	calculator
,	,	,
just	RB	just
in	IN	in
case	NN	case
?	SENT	?
OK	UH	OK
,	,	,
great	JJ	great
.	SENT	.
What	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
try	VB	try
