I	PP	I
have	VBP	have
the	DT	the
feeling	NN	feeling
that	IN	that
we	PP	we
can	MD	can
all	RB	all
agree	VB	agree
that	IN	that
we	PP	we
'	POS	'
re	NN	re
moving	VBG	move
towards	IN	towards
a	DT	a
new	JJ	new
model	NN	model
of	IN	of
the	DT	the
state	NN	state
and	CC	and
society	NN	society
.	SENT	.
But	CC	but
,	,	,
we	PP	we
'	POS	'
re	NN	re
absolutely	RB	absolutely
clueless	JJ	clueless
as	RB	as
to	TO	to
what	WP	what
this	DT	this
is	VBZ	be
or	CC	or
what	WP	what
it	PP	it
should	MD	should
be	VB	be
.	SENT	.
It	PP	it
seems	VBZ	seem
like	IN	like
we	PP	we
need	VBP	need
to	TO	to
have	VB	have
a	DT	a
conversation	NN	conversation
about	IN	about
democracy	NN	democracy
in	IN	in
our	PP$	our
day	NN	day
and	CC	and
age	NN	age
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
think	VBP	think
about	IN	about
it	PP	it
this	DT	this
way	NN	way
:	:	:
We	PP	we
are	VBP	be
21st-century	JJ	<unknown>
citizens	NNS	citizen
,	,	,
doing	VBG	do
our	PP$	our
very	JJ	very
,	,	,
very	RB	very
best	RBS	well
to	TO	to
interact	VB	interact
with	IN	with
19th	JJ	19th
century-designed	JJ	century-designed
institutions	NNS	institution
that	WDT	that
are	VBP	be
based	VBN	base
on	IN	on
an	DT	an
information	NN	information
technology	NN	technology
of	IN	of
the	DT	the
15th	JJ	15th
century	NN	century
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
have	VBP	have
a	DT	a
look	NN	look
at	IN	at
some	DT	some
of	IN	of
the	DT	the
characteristics	NNS	characteristic
of	IN	of
this	DT	this
system	NN	system
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
designed	VBN	design
for	IN	for
an	DT	an
information	NN	information
technology	NN	technology
that	RB	that
'	POS	'
s	NN	S
over	IN	over
500	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
And	CC	and
the	DT	the
best	JJS	good
possible	JJ	possible
system	NN	system
that	WDT	that
could	MD	could
be	VB	be
designed	VBN	design
for	IN	for
it	PP	it
is	VBZ	be
one	CD	one
where	WRB	where
the	DT	the
few	JJ	few
make	VB	make
daily	JJ	daily
decisions	NNS	decision
in	IN	in
the	DT	the
name	NN	name
of	IN	of
the	DT	the
many	JJ	many
.	SENT	.
And	CC	and
the	DT	the
many	JJ	many
get	VBP	get
to	TO	to
vote	VB	vote
once	IN	once
every	DT	every
couple	NN	couple
of	IN	of
years	NNS	year
.	SENT	.
In	IN	in
the	DT	the
second	JJ	second
place	NN	place
,	,	,
the	DT	the
costs	NNS	cost
of	IN	of
participating	VBG	participate
in	IN	in
this	DT	this
system	NN	system
are	VBP	be
incredibly	RB	incredibly
high	JJ	high
.	SENT	.
You	PP	you
either	RB	either
have	VBP	have
to	TO	to
have	VB	have
a	DT	a
fair	JJ	fair
bit	NN	bit
of	IN	of
money	NN	money
and	CC	and
influence	NN	influence
,	,	,
or	CC	or
you	PP	you
have	VBP	have
to	TO	to
devote	VB	devote
your	PP$	your
entire	JJ	entire
life	NN	life
to	TO	to
politics	NNS	politics
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
become	VB	become
a	DT	a
party	NN	party
member	NN	member
and	CC	and
slowly	RB	slowly
start	VB	start
working	VBG	work
up	RP	up
the	DT	the
ranks	NNS	rank
until	IN	until
maybe	RB	maybe
,	,	,
one	CD	one
day	NN	day
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
get	VBP	get
to	TO	to
sit	VB	sit
at	IN	at
a	DT	a
table	NN	table
where	WRB	where
a	DT	a
decision	NN	decision
is	VBZ	be
being	VBG	be
made	VBN	make
.	SENT	.
And	CC	and
last	JJ	last
but	CC	but
not	RB	not
least	JJS	least
,	,	,
the	DT	the
language	NN	language
of	IN	of
the	DT	the
system	NN	system
—	:	-
it	PP	it
'	POS	'
s	NN	S
incredibly	RB	incredibly
cryptic	JJ	cryptic
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
done	VBN	do
for	IN	for
lawyers	NNS	lawyer
,	,	,
by	IN	by
lawyers	NNS	lawyer
,	,	,
and	CC	and
no	DT	no
one	CD	one
else	RB	else
can	MD	can
understand	VB	understand
.	SENT	.
So	RB	so
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
system	NN	system
where	WRB	where
we	PP	we
can	MD	can
choose	VB	choose
our	PP$	our
authorities	NNS	authority
,	,	,
but	CC	but
we	PP	we
are	VBP	be
completely	RB	completely
left	VBN	leave
out	RP	out
on	IN	on
how	WRB	how
those	DT	those
authorities	NNS	authority
reach	VBP	reach
their	PP$	their
decisions	NNS	decision
.	SENT	.
So	RB	so
,	,	,
in	IN	in
a	DT	a
day	NN	day
where	WRB	where
a	DT	a
new	JJ	new
information	NN	information
technology	NN	technology
allows	VBZ	allow
us	PP	us
to	TO	to
participate	VB	participate
globally	RB	globally
in	IN	in
any	DT	any
conversation	NN	conversation
,	,	,
our	PP$	our
barriers	NNS	barrier
of	IN	of
information	NN	information
are	VBP	be
completely	RB	completely
lowered	VBN	lower
and	CC	and
we	PP	we
can	MD	can
,	,	,
more	RBR	more
than	IN	than
ever	RB	ever
before	RB	before
,	,	,
express	VB	express
our	PP$	our
desires	NNS	desire
and	CC	and
our	PP$	our
concerns	NNS	concern
.	SENT	.
Our	PP$	our
political	JJ	political
system	NN	system
remains	VBZ	remain
the	DT	the
same	JJ	same
for	IN	for
the	DT	the
past	JJ	past
200	CD	@card@
years	NNS	year
and	CC	and
expects	VBZ	expect
us	PP	us
to	TO	to
be	VB	be
contented	VBN	content
with	IN	with
being	VBG	be
simply	RB	simply
passive	JJ	passive
recipients	NNS	recipient
of	IN	of
a	DT	a
monologue	NN	monologue
.	SENT	.
So	RB	so
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
not	RB	not
surprising	JJ	surprising
that	IN	that
this	DT	this
kind	NN	kind
of	IN	of
system	NN	system
is	VBZ	be
only	RB	only
able	JJ	able
to	TO	to
produce	VB	produce
two	CD	two
kinds	NNS	kind
of	IN	of
results	NNS	result
:	:	:
silence	NN	silence
or	CC	or
noise	NN	noise
.	SENT	.
Silence	NN	silence
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
citizens	NNS	citizen
not	RB	not
engaging	JJ	engaging
,	,	,
simply	RB	simply
not	RB	not
wanting	VBG	want
to	TO	to
participate	VB	participate
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
commonplace	NN	commonplace
[	SYM	[
idea	NN	idea
]	SYM	]
that	IN	that
I	PP	I
truly	RB	truly
,	,	,
truly	RB	truly
dislike	NN	dislike
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
idea	NN	idea
that	IN	that
we	PP	we
citizens	NNS	citizen
are	VBP	be
naturally	RB	naturally
apathetic	JJ	apathetic
.	SENT	.
That	IN	that
we	PP	we
shun	VBP	shun
commitment	NN	commitment
.	SENT	.
But	CC	but
,	,	,
can	MD	can
you	PP	you
really	RB	really
blame	VBP	blame
us	PP	us
for	IN	for
not	RB	not
jumping	VBG	jump
at	IN	at
the	DT	the
opportunity	NN	opportunity
of	IN	of
going	VBG	go
to	TO	to
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
city	NN	city
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
working	VBG	work
day	NN	day
to	TO	to
attend	VB	attend
,	,	,
physically	RB	physically
,	,	,
a	DT	a
public	JJ	public
hearing	NN	hearing
that	WDT	that
has	VBZ	have
no	DT	no
impact	NN	impact
whatsoever	RB	whatsoever
?	SENT	?
Conflict	NN	conflict
is	VBZ	be
bound	VBN	bind
to	TO	to
happen	VB	happen
between	IN	between
a	DT	a
system	NN	system
that	IN	that
no	DT	no
longer	RBR	longer
represents	VBZ	represent
,	,	,
nor	CC	nor
has	VBZ	have
any	DT	any
dialogue	NN	dialogue
capacity	NN	capacity
,	,	,
and	CC	and
citizens	NNS	citizen
that	WDT	that
are	VBP	be
increasingly	RB	increasingly
used	VBN	use
to	TO	to
representing	VBG	represent
themselves	PP	themselves
.	SENT	.
And	CC	and
,	,	,
then	RB	then
we	PP	we
find	VBP	find
noise	NN	noise
:	:	:
Chile	NP	Chile
,	,	,
Argentina	NP	Argentina
,	,	,
Brazil	NP	Brazil
,	,	,
Mexico	NP	Mexico
Italy	NP	Italy
,	,	,
France	NP	France
,	,	,
Spain	NP	Spain
,	,	,
the	DT	the
United	NP	United
States	NPS	States
,	,	,
they	PP	they
'	POS	'
re	NN	re
all	DT	all
democracies	NNS	democracy
.	SENT	.
Their	PP$	their
citizens	NNS	citizen
have	VBP	have
access	NN	access
to	TO	to
the	DT	the
ballot	NN	ballot
boxes	NNS	box
.	SENT	.
But	CC	but
they	PP	they
still	RB	still
feel	VBP	feel
the	DT	the
need	NN	need
,	,	,
they	PP	they
need	VBP	need
to	TO	to
take	VB	take
to	TO	to
the	DT	the
streets	NNS	street
in	IN	in
order	NN	order
to	TO	to
be	VB	be
heard	VBN	hear
.	SENT	.
To	TO	to
me	PP	me
,	,	,
it	PP	it
seems	VBZ	seem
like	IN	like
the	DT	the
18th-century	JJ	18th-century
slogan	NN	slogan
that	WDT	that
was	VBD	be
the	DT	the
basis	NN	basis
for	IN	for
the	DT	the
formation	NN	formation
of	IN	of
our	PP$	our
modern	JJ	modern
democracies	NNS	democracy
,	,	,
"	''	"
No	DT	no
taxation	NN	taxation
without	IN	without
representation	NN	representation
,	,	,
"	``	"
can	MD	can
now	RB	now
be	VB	be
updated	VBN	update
to	TO	to
"	``	"
No	DT	no
representation	NN	representation
without	IN	without
a	DT	a
conversation	NN	conversation
.	SENT	.
"	``	"
We	PP	we
want	VBP	want
our	PP$	our
seat	NN	seat
at	IN	at
the	DT	the
table	NN	table
.	SENT	.
And	CC	and
rightly	RB	rightly
so	RB	so
.	SENT	.
But	CC	but
in	IN	in
order	NN	order
to	TO	to
be	VB	be
part	NN	part
of	IN	of
this	DT	this
conversation	NN	conversation
,	,	,
we	PP	we
need	VBP	need
to	TO	to
know	VB	know
what	WP	what
we	PP	we
want	VBP	want
to	TO	to
do	VB	do
next	JJ	next
,	,	,
because	IN	because
political	JJ	political
action	NN	action
is	VBZ	be
being	VBG	be
able	JJ	able
to	TO	to
move	VB	move
from	IN	from
agitation	NN	agitation
to	TO	to
construction	NN	construction
.	SENT	.
My	PP$	my
generation	NN	generation
has	VBZ	have
been	VBN	be
incredibly	RB	incredibly
good	JJ	good
at	IN	at
using	VBG	use
new	JJ	new
networks	NNS	network
and	CC	and
technologies	NNS	technology
to	TO	to
organize	VB	organize
protests	NNS	protest
,	,	,
protests	NNS	protest
that	WDT	that
were	VBD	be
able	JJ	able
to	TO	to
successfully	RB	successfully
impose	VB	impose
agendas	NNS	agenda
,	,	,
roll	VBP	roll
back	RB	back
extremely	RB	extremely
pernicious	JJ	pernicious
legislation	NN	legislation
,	,	,
and	CC	and
even	RB	even
overthrow	VB	overthrow
authoritarian	JJ	authoritarian
governments	NNS	government
.	SENT	.
And	CC	and
we	PP	we
should	MD	should
be	VB	be
immensely	RB	immensely
