Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
What	WP	what
worries	VBZ	worry
you	PP	you
right	RB	right
now	RB	now
?	SENT	?
You	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
very	RB	very
open	JJ	open
about	IN	about
lots	NNS	lot
of	IN	of
issues	NNS	issue
on	IN	on
Twitter	NN	twitter
.	SENT	.
What	WP	what
would	MD	would
be	VB	be
your	PP$	your
top	JJ	top
worry	NN	worry
about	IN	about
where	WRB	where
things	NNS	thing
are	VBP	be
right	RB	right
now	RB	now
?	SENT	?
Jack	NP	Jack
Dorsey	NP	Dorsey
:	:	:
Right	RB	right
now	RB	now
,	,	,
the	DT	the
health	NN	health
of	IN	of
the	DT	the
conversation	NN	conversation
.	SENT	.
So	RB	so
,	,	,
our	PP$	our
purpose	NN	purpose
is	VBZ	be
to	TO	to
serve	VB	serve
the	DT	the
public	JJ	public
conversation	NN	conversation
,	,	,
and	CC	and
we	PP	we
have	VBP	have
seen	VBN	see
a	DT	a
number	NN	number
of	IN	of
attacks	NNS	attack
on	IN	on
it	PP	it
.	SENT	.
We	PP	we
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
abuse	NN	abuse
,	,	,
we	PP	we
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
harassment	NN	harassment
,	,	,
we	PP	we
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
manipulation	NN	manipulation
,	,	,
automation	NN	automation
,	,	,
human	JJ	human
coordination	NN	coordination
,	,	,
misinformation	NN	misinformation
.	SENT	.
So	RB	so
these	DT	these
are	VBP	be
all	DT	all
dynamics	NNS	dynamics
that	IN	that
we	PP	we
were	VBD	be
not	RB	not
expecting	VBG	expect
13	CD	@card@
years	NNS	year
ago	RB	ago
when	WRB	when
we	PP	we
were	VBD	be
starting	VBG	start
the	DT	the
company	NN	company
.	SENT	.
But	CC	but
we	PP	we
do	VBP	do
now	RB	now
see	VB	see
them	PP	them
at	IN	at
scale	NN	scale
,	,	,
and	CC	and
what	WP	what
worries	VBZ	worry
me	PP	me
most	RBS	most
is	VBZ	be
