I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
today	NN	today
about	IN	about
a	DT	a
whole	JJ	whole
new	JJ	new
way	NN	way
to	TO	to
think	VB	think
about	IN	about
sexual	JJ	sexual
activity	NN	activity
and	CC	and
sexuality	NN	sexuality
education	NN	education
,	,	,
by	IN	by
comparison	NN	comparison
.	SENT	.
If	IN	if
you	PP	you
talk	VBP	talk
to	TO	to
someone	NN	someone
today	NN	today
in	IN	in
America	NP	America
about	IN	about
sexual	JJ	sexual
activity	NN	activity
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
find	VBP	find
pretty	RB	pretty
soon	RB	soon
you	PP	you
'	POS	'
re	NN	re
not	RB	not
just	RB	just
talking	VBG	talk
about	IN	about
sexual	JJ	sexual
activity	NN	activity
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
also	RB	also
talking	VBG	talk
about	IN	about
baseball	NN	baseball
.	SENT	.
Because	IN	because
baseball	NN	baseball
is	VBZ	be
the	DT	the
dominant	JJ	dominant
cultural	JJ	cultural
metaphor	NN	metaphor
that	IN	that
Americans	NPS	Americans
use	VBP	use
to	TO	to
think	VB	think
about	RB	about
and	CC	and
talk	VB	talk
about	IN	about
sexual	JJ	sexual
activity	NN	activity
,	,	,
and	CC	and
we	PP	we
know	VBP	know
that	IN	that
because	IN	because
there	EX	there
'	''	'
s	NN	S
all	PDT	all
this	DT	this
language	NN	language
in	IN	in
English	NP	English
that	WDT	that
seems	VBZ	seem
to	TO	to
be	VB	be
talking	VBG	talk
about	IN	about
baseball	NN	baseball
but	CC	but
that	IN	that
'	POS	'
s	NN	S
really	RB	really
talking	VBG	talk
about	IN	about
sexual	JJ	sexual
activity	NN	activity
.	SENT	.
So	RB	so
,	,	,
for	IN	for
example	NN	example
,	,	,
you	PP	you
can	MD	can
be	VB	be
a	DT	a
pitcher	NN	pitcher
or	CC	or
a	DT	a
catcher	NN	catcher
,	,	,
and	CC	and
that	WDT	that
corresponds	VBZ	correspond
to	TO	to
whether	IN	whether
you	PP	you
perform	VBP	perform
a	DT	a
sexual	JJ	sexual
act	NN	act
or	CC	or
receive	VB	receive
a	DT	a
sexual	JJ	sexual
act	NN	act
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
there	EX	there
are	VBP	be
the	DT	the
bases	NNS	base
,	,	,
which	WDT	which
refer	VBP	refer
to	TO	to
specific	JJ	specific
sexual	JJ	sexual
activities	NNS	activity
that	WDT	that
happen	VBP	happen
in	IN	in
a	DT	a
very	RB	very
specific	JJ	specific
order	NN	order
,	,	,
ultimately	RB	ultimately
resulting	VBG	result
in	IN	in
scoring	VBG	score
a	DT	a
run	NN	run
or	CC	or
hitting	VBG	hit
a	DT	a
home	NN	home
run	NN	run
,	,	,
which	WDT	which
is	VBZ	be
usually	RB	usually
having	VBG	have
vaginal	JJ	vaginal
intercourse	NN	intercourse
to	TO	to
the	DT	the
point	NN	point
of	IN	of
orgasm	NN	orgasm
,	,	,
at	IN	at
least	JJS	least
for	IN	for
the	DT	the
guy	NN	guy
.	SENT	.
You	PP	you
can	MD	can
strike	VB	strike
out	RP	out
,	,	,
which	WDT	which
means	VBZ	mean
you	PP	you
don	NN	don
'	POS	'
t	NN	t
get	VBP	get
to	TO	to
have	VB	have
any	DT	any
sexual	JJ	sexual
activity	NN	activity
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
benchwarmer	NN	benchwarmer
,	,	,
you	PP	you
might	MD	might
be	VB	be
a	DT	a
virgin	NN	virgin
or	CC	or
somebody	NN	somebody
who	WP	who
for	IN	for
whatever	WDT	whatever
reason	NN	reason
isn	NN	isn
'	POS	'
t	NN	t
in	IN	in
the	DT	the
game	NN	game
,	,	,
maybe	RB	maybe
because	IN	because
of	IN	of
your	PP$	your
age	NN	age
or	CC	or
because	IN	because
of	IN	of
your	PP$	your
ability	NN	ability
or	CC	or
because	IN	because
of	IN	of
your	PP$	your
skillset	NN	<unknown>
.	SENT	.
A	DT	a
bat	NN	bat
'	POS	'
s	NNS	<unknown>
a	DT	a
penis	NN	penis
,	,	,
and	CC	and
a	DT	a
nappy	JJ	nappy
dugout	NN	dugout
is	VBZ	be
a	DT	a
vulva	NN	vulva
,	,	,
or	CC	or
a	DT	a
vagina	NN	vagina
.	SENT	.
A	DT	a
glove	NN	glove
or	CC	or
a	DT	a
catcher	NN	catcher
'	POS	'
s	NN	S
mitt	NN	mitt
is	VBZ	be
a	DT	a
condom	NN	condom
.	SENT	.
A	DT	a
switch-hitter	NN	switch-hitter
is	VBZ	be
a	DT	a
bisexual	JJ	bisexual
person	NN	person
,	,	,
and	CC	and
we	PP	we
gay	JJ	gay
and	CC	and
lesbian	JJ	lesbian
folks	NNS	folk
play	VBP	play
for	IN	for
the	DT	the
other	JJ	other
team	NN	team
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
one	CD	one
:	:	:
"	``	"
if	IN	if
there	EX	there
'	''	'
s	NN	S
grass	NN	grass
on	IN	on
the	DT	the
field	NN	field
,	,	,
play	NN	play
ball	NN	ball
.	SENT	.
"	''	"
And	CC	and
that	IN	that
usually	RB	usually
refers	VBZ	refer
to	TO	to
if	IN	if
a	DT	a
young	JJ	young
person	NN	person
,	,	,
specifically	RB	specifically
often	RB	often
a	DT	a
young	JJ	young
woman	NN	woman
,	,	,
is	VBZ	be
old	JJ	old
enough	RB	enough
to	TO	to
have	VB	have
pubic	JJ	pubic
hair	NN	hair
,	,	,
she	PP	she
'	POS	'
s	NNS	<unknown>
old	JJ	old
enough	RB	enough
to	TO	to
have	VB	have
sex	NN	sex
with	IN	with
.	SENT	.
This	DT	this
baseball	NN	baseball
model	NN	model
is	VBZ	be
incredibly	RB	incredibly
problematic	JJ	problematic
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
sexist	NN	sexist
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
heterosexist	NN	heterosexist
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
competitive	JJ	competitive
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
goal-directed	VBD	goal-direct
.	SENT	.
And	CC	and
it	PP	it
can	MD	can
'	''	'
t	NN	t
result	NN	result
in	IN	in
healthy	JJ	healthy
sexuality	NN	sexuality
developing	VBG	develop
in	IN	in
young	JJ	young
people	NNS	people
or	CC	or
in	IN	in
adults	NNS	adult
.	SENT	.
So	RB	so
we	PP	we
need	VBP	need
a	DT	a
new	JJ	new
model	NN	model
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
today	NN	today
to	TO	to
offer	VB	offer
you	PP	you
that	IN	that
new	JJ	new
model	NN	model
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
based	VBN	base
on	IN	on
pizza	NN	pizza
.	SENT	.
Now	RB	now
pizza	NN	pizza
is	VBZ	be
something	NN	something
that	WDT	that
is	VBZ	be
universally	RB	universally
understood	VBN	understand
and	CC	and
that	IN	that
most	JJS	most
people	NNS	people
associate	VBP	associate
with	IN	with
a	DT	a
positive	JJ	positive
experience	NN	experience
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
do	VBP	do
this	DT	this
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
take	VBP	take
baseball	NN	baseball
and	CC	and
pizza	NN	pizza
and	CC	and
compare	VB	compare
it	PP	it
when	WRB	when
talking	VBG	talk
about	RB	about
three	CD	three
aspects	NNS	aspect
of	IN	of
sexual	JJ	sexual
activity	NN	activity
:	:	:
the	DT	the
trigger	NN	trigger
for	IN	for
sexual	JJ	sexual
activity	NN	activity
,	,	,
what	WP	what
happens	VBZ	happen
during	IN	during
sexual	JJ	sexual
activity	NN	activity
,	,	,
and	CC	and
the	DT	the
expected	VBN	expect
outcome	NN	outcome
of	IN	of
sexual	JJ	sexual
activity	NN	activity
.	SENT	.
So	RB	so
when	WRB	when
do	VBP	do
you	PP	you
play	VB	play
baseball	NN	baseball
?	SENT	?
You	PP	you
play	VBP	play
baseball	NN	baseball
when	WRB	when
it	PP	it
'	POS	'
s	JJ	<unknown>
baseball	NN	baseball
season	NN	season
and	CC	and
when	WRB	when
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
game	NN	game
on	IN	on
the	DT	the
schedule	NN	schedule
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
exactly	RB	exactly
your	PP$	your
choice	NN	choice
.	SENT	.
So	RB	so
if	IN	if
it	PP	it
'	POS	'
s	JJ	<unknown>
prom	NN	prom
night	NN	night
or	CC	or
a	DT	a
wedding	NN	wedding
night	NN	night
or	CC	or
at	IN	at
a	DT	a
party	NN	party
or	CC	or
if	IN	if
our	PP$	our
parents	NNS	parent
aren	NNS	<unknown>
'	POS	'
t	NN	t
home	NN	home
,	,	,
hey	UH	hey
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
just	RB	just
batter	VBP	batter
up	RP	up
.	SENT	.
Can	MD	can
you	PP	you
imagine	VB	imagine
saying	VBG	say
to	TO	to
your	PP$	your
coach	NN	coach
,	,	,
"	``	"
Uh	UH	uh
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
really	RB	really
feeling	VBG	feel
it	PP	it
today	NN	today
,	,	,
I	PP	I
think	VBP	think
I	PP	I
'	''	'
ll	NNS	<unknown>
sit	VBP	sit
this	DT	this
game	NN	game
out	RP	out
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	NNS	<unknown>
just	RB	just
not	RB	not
the	DT	the
