Technology	NP	Technology
has	VBZ	have
brought	VBN	bring
us	PP	us
so	RB	so
much	JJ	much
:	:	:
the	DT	the
moon	NN	moon
landing	NN	landing
,	,	,
the	DT	the
Internet	NN	Internet
,	,	,
the	DT	the
ability	NN	ability
to	TO	to
sequence	NN	sequence
the	DT	the
human	JJ	human
genome	NN	genome
.	SENT	.
But	CC	but
it	PP	it
also	RB	also
taps	VBZ	tap
into	IN	into
a	DT	a
lot	NN	lot
of	IN	of
our	PP$	our
deepest	JJS	deep
fears	NNS	fear
,	,	,
and	CC	and
about	RB	about
30	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
the	DT	the
culture	NN	culture
critic	NN	critic
Neil	NP	Neil
Postman	NN	postman
wrote	VBD	write
a	DT	a
book	NN	book
called	VBD	call
"	''	"
Amusing	VBG	amuse
Ourselves	PP	ourselves
to	TO	to
Death	NN	death
,	,	,
"	''	"
which	WDT	which
lays	VBZ	lay
this	DT	this
out	RP	out
really	RB	really
brilliantly	RB	brilliantly
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
he	PP	he
said	VBD	say
,	,	,
comparing	VBG	compare
the	DT	the
dystopian	JJ	<unknown>
visions	NNS	vision
of	IN	of
George	NP	George
Orwell	NP	Orwell
and	CC	and
Aldous	NP	Aldous
Huxley	NP	Huxley
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
Orwell	NP	Orwell
feared	VBD	fear
we	PP	we
would	MD	would
become	VB	become
a	DT	a
captive	JJ	captive
culture	NN	culture
.	SENT	.
Huxley	NP	Huxley
feared	VBD	fear
we	PP	we
would	MD	would
become	VB	become
a	DT	a
trivial	JJ	trivial
culture	NN	culture
.	SENT	.
Orwell	NP	Orwell
feared	VBD	fear
the	DT	the
truth	NN	truth
would	MD	would
be	VB	be
concealed	VBN	conceal
from	IN	from
us	PP	us
,	,	,
and	CC	and
Huxley	NP	Huxley
feared	VBD	fear
we	PP	we
would	MD	would
be	VB	be
drowned	VBN	drown
in	IN	in
a	DT	a
sea	NN	sea
of	IN	of
irrelevance	NN	irrelevance
.	SENT	.
In	IN	in
a	DT	a
nutshell	NN	nutshell
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
choice	NN	choice
between	IN	between
Big	JJ	big
Brother	NN	brother
watching	VBG	watch
you	PP	you
and	CC	and
you	PP	you
watching	VBG	watch
Big	JJ	big
Brother	NN	brother
.	SENT	.
But	CC	but
it	PP	it
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
this	DT	this
way	NN	way
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
passive	JJ	passive
consumers	NNS	consumer
of	IN	of
data	NNS	datum
and	CC	and
technology	NN	technology
.	SENT	.
We	PP	we
shape	VBP	shape
the	DT	the
role	NN	role
it	PP	it
plays	VBZ	play
in	IN	in
our	PP$	our
lives	NNS	life
and	CC	and
the	DT	the
way	NN	way
we	PP	we
make	VBP	make
meaning	VBG	mean
from	IN	from
it	PP	it
,	,	,
but	CC	but
to	TO	to
do	VB	do
that	IN	that
,	,	,
we	PP	we
have	VBP	have
to	TO	to
pay	VB	pay
as	IN	as
much	JJ	much
attention	NN	attention
to	TO	to
how	WRB	how
we	PP	we
think	VBP	think
as	RB	as
how	WRB	how
we	PP	we
code	VBP	code
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
ask	VB	ask
questions	NNS	question
,	,	,
and	CC	and
hard	JJ	hard
questions	NNS	question
,	,	,
to	TO	to
move	VB	move
past	JJ	past
counting	VBG	count
things	NNS	thing
to	TO	to
understanding	VBG	understand
them	PP	them
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
constantly	RB	constantly
bombarded	VBN	bombard
with	IN	with
stories	NNS	story
about	IN	about
how	WRB	how
much	JJ	much
data	NNS	datum
there	EX	there
is	VBZ	be
in	IN	in
the	DT	the
world	NN	world
,	,	,
but	CC	but
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
big	JJ	big
data	NNS	datum
and	CC	and
the	DT	the
challenges	NNS	challenge
of	IN	of
interpreting	VBG	interpret
it	PP	it
,	,	,
