My	PP$	my
passions	NNS	passion
are	VBP	be
music	NN	music
,	,	,
technology	NN	technology
and	CC	and
making	VBG	make
things	NNS	thing
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
combination	NN	combination
of	IN	of
these	DT	these
things	NNS	thing
that	WDT	that
has	VBZ	have
led	VBN	lead
me	PP	me
to	TO	to
the	DT	the
hobby	NN	hobby
of	IN	of
sound	JJ	sound
visualization	NN	visualization
,	,	,
and	CC	and
,	,	,
on	IN	on
occasion	NN	occasion
,	,	,
has	VBZ	have
led	VBN	lead
me	PP	me
to	TO	to
play	VB	play
with	IN	with
fire	NN	fire
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
Rubens	NP	Rubens
'	POS	'
tube	NN	tube
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
many	JJ	many
I	NP	I
'	POS	'
ve	NN	ve
made	VBD	make
over	IN	over
the	DT	the
years	NNS	year
,	,	,
and	CC	and
I	PP	I
have	VBP	have
one	CD	one
here	RB	here
tonight	RB	tonight
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
an	DT	an
8-foot-long	JJ	8-foot-long
tube	NN	tube
of	IN	of
metal	NN	metal
,	,	,
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
a	DT	a
hundred	CD	hundred
or	CC	or
so	RB	so
holes	NNS	hole
on	IN	on
top	NN	top
,	,	,
on	IN	on
that	DT	that
side	NN	side
is	VBZ	be
the	DT	the
speaker	NN	speaker
,	,	,
and	CC	and
here	RB	here
is	VBZ	be
some	DT	some
lab	NN	lab
tubing	NN	tubing
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
connected	VBN	connect
to	TO	to
this	DT	this
tank	NN	tank
of	IN	of
propane	NN	propane
.	SENT	.
So	RB	so
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
fire	VB	fire
it	PP	it
up	RP	up
and	CC	and
see	VB	see
what	WP	what
it	PP	it
does	VBZ	do
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
play	VBP	play
a	DT	a
550-herz	NP	<unknown>
frequency	NN	frequency
and	CC	and
watch	NN	watch
