Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
,	,	,
Prime	NP	Prime
Minister	NP	Minister
,	,	,
that	WDT	that
was	VBD	be
both	DT	both
fascinating	JJ	fascinating
and	CC	and
quite	RB	quite
inspiring	JJ	inspiring
.	SENT	.
So	RB	so
,	,	,
you	PP	you
'	POS	'
re	NN	re
calling	VBG	call
for	IN	for
a	DT	a
global	JJ	global
ethic	NN	ethic
.	SENT	.
Would	MD	would
you	PP	you
describe	VB	describe
that	IN	that
as	IN	as
global	JJ	global
citizenship	NN	citizenship
?	SENT	?
Is	VBZ	be
that	IN	that
an	DT	an
idea	NN	idea
that	IN	that
you	PP	you
believe	VBP	believe
in	IN	in
,	,	,
and	CC	and
how	WRB	how
would	MD	would
you	PP	you
define	VB	define
that	DT	that
?	SENT	?
Gordon	NP	Gordon
Brown	NP	Brown
:	:	:
It	PP	it
is	VBZ	be
about	RB	about
global	JJ	global
citizenship	NN	citizenship
and	CC	and
recognizing	VBG	recognize
our	PP$	our
responsibilities	NNS	responsibility
to	TO	to
others	NNS	other
.	SENT	.
There	EX	there
is	VBZ	be
so	RB	so
much	JJ	much
to	TO	to
do	VB	do
over	IN	over
the	DT	the
next	JJ	next
few	JJ	few
years	NNS	year
that	WDT	that
is	VBZ	be
obvious	JJ	obvious
to	TO	to
so	RB	so
many	JJ	many
of	IN	of
us	PP	us
to	TO	to
build	VB	build
a	DT	a
better	JJR	good
world	NN	world
.	SENT	.
And	CC	and
there	EX	there
is	VBZ	be
so	RB	so
much	RB	much
shared	VBN	share
sense	NN	sense
of	IN	of
what	WP	what
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
,	,	,
that	IN	that
it	PP	it
is	VBZ	be
vital	JJ	vital
that	IN	that
we	PP	we
all	RB	all
come	VBP	come
together	RB	together
.	SENT	.
But	CC	but
we	PP	we
don	NN	don
'	POS	'
t	NN	t
necessarily	RB	necessarily
have	VBP	have
the	DT	the
means	VBZ	mean
to	TO	to
do	VB	do
so	RB	so
.	SENT	.
