Monique	NP	Monique
Ruff-Bell	NP	<unknown>
:	:	:
Chris	NP	Chris
,	,	,
we	PP	we
are	VBP	be
celebrating	VBG	celebrate
40	CD	@card@
years	NNS	year
at	IN	at
TED	VB	ted
.	SENT	.
Is	VBZ	be
that	IN	that
not	RB	not
crazy	JJ	crazy
?	SENT	?
So	RB	so
wonderful	JJ	wonderful
.	SENT	.
Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
So	RB	so
crazy	JJ	crazy
.	SENT	.
Forty	NN	forty
years	NNS	year
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
funny	JJ	funny
,	,	,
TED	VB	ted
started	VBN	start
the	DT	the
year	NN	year
where	WRB	where
I	PP	I
thought	VBD	think
the	DT	the
world	NN	world
was	VBD	be
going	VBG	go
to	TO	to
end	VB	end
,	,	,
1984	CD	@card@
.	SENT	.
MRB	NP	MRB
:	:	:
Why	WRB	why
did	VBD	do
you	PP	you
think	VBP	think
the	DT	the
world	NN	world
was	VBD	be
going	VBG	go
to	TO	to
end	VB	end
in	IN	in
1984	CD	@card@
?	SENT	?
CA	MD	ca
:	:	:
Because	IN	because
I	PP	I
read	VBD	read
George	NP	George
Orwell	NP	Orwell
,	,	,
"	''	"
1984	CD	@card@
.	SENT	.
"	``	"
It	PP	it
seemed	VBD	seem
,	,	,
like	IN	like
,	,	,
as	IN	as
a	DT	a
teenager	NN	teenager
I	PP	I
read	VBP	read
that	IN	that
book	NN	book
and	CC	and
I	PP	I
thought	VBD	think
,	,	,
wow	NN	wow
,	,	,
yeah	RB	yeah
,	,	,
the	DT	the
world	NN	world
can	NN	can
'	POS	'
t	NN	t
possibly	RB	possibly
go	VB	go
past	IN	past
that	DT	that
.	SENT	.
This	DT	this
dystopian	JJ	<unknown>
future	NN	future
coming	VBG	come
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
so	RB	so
funny	JJ	funny
that	IN	that
now	RB	now
that	DT	that
seems	VBZ	seem
so	RB	so
long	RB	long
ago	RB	ago
.	SENT	.
And	CC	and
actually	RB	actually
,	,	,
that	WDT	that
was	VBD	be
a	DT	a
year	NN	year
when	WRB	when
Richard	NP	Richard
Wurman	NP	Wurman
and	CC	and
his	PP$	his
cofounders	NNS	cofounder
thought	VBD	think
,	,	,
wow	NN	wow
,	,	,
technology	NN	technology
,	,	,
so	RB	so
much	JJ	much
possibility	NN	possibility
,	,	,
especially	RB	especially
if	IN	if
you	PP	you
combine	VBP	combine
it	PP	it
with	IN	with
entertainment	NN	entertainment
and	CC	and
design	NN	design
,	,	,
all	PDT	all
these	DT	these
things	NNS	thing
could	MD	could
happen	VB	happen
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
year	NN	year
of	IN	of
the	DT	the
Apple	NP	Apple
Mac	NP	Mac
and	CC	and
compact	JJ	compact
discs	NNS	disc
,	,	,
and	CC	and
they	PP	they
suddenly	RB	suddenly
seemed	VBD	seem
like	IN	like
this	DT	this
incredible	JJ	incredible
technological	JJ	technological
possibilities	NNS	possibility
that	WDT	that
could	MD	could
really	RB	really
change	VB	change
things	NNS	thing
and	CC	and
be	VB	be
a	DT	a
broader	JJR	broad
part	NN	part
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
they	PP	they
were	VBD	be
right	JJ	right
.	SENT	.
And	CC	and
it	PP	it
turned	VBD	turn
out	RP	out
that	DT	that
way	NN	way
.	SENT	.
And	CC	and
it	PP	it
just	RB	just
built	VBD	build
through	IN	through
the	DT	the
'	''	'
90s	NNS	<unknown>
,	,	,
early	JJ	early
'	''	'
90s	NNS	<unknown>
,	,	,
so	RB	so
much	JJ	much
optimism	NN	optimism
around	IN	around
what	WP	what
technology	NN	technology
could	MD	could
be	VB	be
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
.	SENT	.
MRB	NP	MRB
:	:	:
Well	UH	well
,	,	,
I	PP	I
guess	VBP	guess
the	DT	the
future	NN	future
seems	VBZ	seem
