Imagine	VB	imagine
you	PP	you
are	VBP	be
a	DT	a
part	NN	part
of	IN	of
a	DT	a
crew	NN	crew
of	IN	of
astronauts	NNS	astronaut
traveling	VBG	travel
to	TO	to
Mars	NP	Mars
or	CC	or
some	DT	some
distant	JJ	distant
planet	NN	planet
.	SENT	.
The	DT	the
travel	NN	travel
time	NN	time
could	MD	could
take	VB	take
a	DT	a
year	NN	year
or	CC	or
even	RB	even
longer	RBR	longer
.	SENT	.
The	DT	the
space	NN	space
on	IN	on
board	NN	board
and	CC	and
the	DT	the
resources	NNS	resource
would	MD	would
be	VB	be
limited	VBN	limit
.	SENT	.
So	IN	so
you	PP	you
and	CC	and
the	DT	the
crew	NN	crew
would	MD	would
have	VB	have
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
produce	VB	produce
food	NN	food
with	IN	with
minimal	JJ	minimal
inputs	NNS	input
.	SENT	.
What	WP	what
if	IN	if
you	PP	you
could	MD	could
bring	VB	bring
with	IN	with
you	PP	you
just	RB	just
a	DT	a
few	JJ	few
packets	NNS	packet
of	IN	of
seeds	NNS	seed
,	,	,
and	CC	and
grow	VB	grow
crops	NNS	crop
in	IN	in
a	DT	a
matter	NN	matter
of	IN	of
hours	NNS	hour
?	SENT	?
And	CC	and
what	WP	what
if	IN	if
those	DT	those
crops	NNS	crop
would	MD	would
then	RB	then
make	VB	make
more	JJR	more
seeds	NNS	seed
,	,	,
enabling	VBG	enable
you	PP	you
to	TO	to
feed	VB	feed
the	DT	the
entire	JJ	entire
crew	NN	crew
with	IN	with
just	RB	just
those	DT	those
few	JJ	few
packets	NNS	packet
of	IN	of
seeds	NNS	seed
for	IN	for
the	DT	the
duration	NN	duration
of	IN	of
the	DT	the
trip	NN	trip
?	SENT	?
Well	RB	well
,	,	,
the	DT	the
scientists	NNS	scientist
at	IN	at
NASA	NP	NASA
actually	RB	actually
figured	VBD	figure
out	RP	out
a	DT	a
way	NN	way
to	TO	to
do	VB	do
this	DT	this
.	SENT	.
What	WP	what
they	PP	they
came	VBD	come
up	RP	up
with	IN	with
was	VBD	be
actually	RB	actually
quite	RB	quite
interesting	JJ	interesting
.	SENT	.
It	PP	it
involved	VBD	involve
microorganisms	NNS	microorganism
,	,	,
which	WDT	which
are	VBP	be
single-celled	VBN	single-cel
organisms	NNS	organism
.	SENT	.
And	CC	and
they	PP	they
also	RB	also
used	VBD	use
hydrogen	NN	hydrogen
from	IN	from
water	NN	water
.	SENT	.
The	DT	the
types	NNS	type
of	IN	of
microbes	NNS	microbe
that	IN	that
they	PP	they
used	VBD	use
