Amongst	IN	amongst
all	PDT	all
the	DT	the
troubling	JJ	troubling
deficits	NNS	deficit
we	PP	we
struggle	VBP	struggle
with	IN	with
today	NN	today
â	NP	<unknown>
we	PP	we
think	VBP	think
of	IN	of
financial	JJ	financial
and	CC	and
economic	JJ	economic
primarily	RB	primarily
â	NP	<unknown>
the	DT	the
ones	NNS	one
that	WDT	that
concern	NN	concern
me	PP	me
most	RBS	most
is	VBZ	be
the	DT	the
deficit	NN	deficit
of	IN	of
political	JJ	political
dialogue	NN	dialogue
â	NP	<unknown>
our	PP$	our
ability	NN	ability
to	TO	to
address	VB	address
modern	JJ	modern
conflicts	NNS	conflict
as	IN	as
they	PP	they
are	VBP	be
,	,	,
to	TO	to
go	VB	go
to	TO	to
the	DT	the
source	NN	source
of	IN	of
what	WP	what
they	PP	they
'	POS	'
re	NN	re
all	RB	all
about	RB	about
and	CC	and
to	TO	to
understand	VB	understand
the	DT	the
key	JJ	key
players	NNS	player
and	CC	and
to	TO	to
deal	VB	deal
with	IN	with
them	PP	them
.	SENT	.
We	PP	we
who	WP	who
are	VBP	be
diplomats	NNS	diplomat
,	,	,
we	PP	we
are	VBP	be
trained	VBN	train
to	TO	to
deal	VB	deal
with	IN	with
conflicts	NNS	conflict
between	IN	between
states	NNS	state
and	CC	and
issues	NNS	issue
between	IN	between
states	NNS	state
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
,	,	,
our	PP$	our
agenda	NN	agenda
is	VBZ	be
full	JJ	full
.	SENT	.
There	EX	there
is	VBZ	be
trade	NN	trade
,	,	,
there	EX	there
is	VBZ	be
disarmament	NN	disarmament
,	,	,
there	EX	there
is	VBZ	be
cross-border	JJ	cross-border
relations	NNS	relation
.	SENT	.
But	CC	but
the	DT	the
picture	NN	picture
is	VBZ	be
changing	VBG	change
,	,	,
and	CC	and
we	PP	we
are	VBP	be
seeing	VBG	see
that	IN	that
there	EX	there
are	VBP	be
new	JJ	new
key	JJ	key
