Please	UH	please
meet	VB	meet
Jane	NP	Jane
.	SENT	.
She	PP	she
has	VBZ	have
a	DT	a
high-risk	JJ	high-risk
pregnancy	NN	pregnancy
.	SENT	.
Within	IN	within
24	CD	@card@
weeks	NNS	week
,	,	,
she	PP	she
'	POS	'
s	NN	S
on	IN	on
bed	NN	bed
rest	NN	rest
at	IN	at
the	DT	the
hospital	NN	hospital
,	,	,
being	VBG	be
monitored	VBN	monitor
for	IN	for
her	PP$	her
preterm	NN	<unknown>
contractions	NNS	contraction
.	SENT	.
She	PP	she
doesn	NP	<unknown>
'	POS	'
t	NN	t
look	VBP	look
the	DT	the
happiest	JJS	happy
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
in	IN	in
part	NN	part
because	IN	because
it	PP	it
requires	VBZ	require
technicians	NNS	technician
and	CC	and
experts	NNS	expert
to	TO	to
apply	VB	apply
these	DT	these
clunky	NN	clunky
belts	NNS	belt
on	IN	on
her	PP	her
to	TO	to
monitor	VB	monitor
her	PP$	her
uterine	JJ	uterine
contractions	NNS	contraction
.	SENT	.
Another	DT	another
reason	NN	reason
Jane	NP	Jane
is	VBZ	be
not	RB	not
so	RB	so
happy	JJ	happy
is	VBZ	be
because	IN	because
she	PP	she
'	POS	'
s	NN	S
worried	VBD	worry
.	SENT	.
In	IN	in
particular	JJ	particular
,	,	,
she	PP	she
'	POS	'
s	NNS	<unknown>
worried	VBN	worry
about	IN	about
what	WP	what
happens	VBZ	happen
after	IN	after
her	PP$	her
10-day	JJ	10-day
stay	NN	stay
on	IN	on
bed	NN	bed
rest	NN	rest
at	IN	at
the	DT	the
hospital	NN	hospital
.	SENT	.
What	WP	what
happens	VBZ	happen
when	WRB	when
she	PP	she
'	POS	'
s	NN	S
home	NN	home
?	SENT	?
If	IN	if
she	PP	she
were	VBD	be
to	TO	to
give	VB	give
birth	NN	birth
this	DT	this
early	JJ	early
it	PP	it
would	MD	would
be	VB	be
devastating	JJ	devastating
.	SENT	.
As	IN	as
an	DT	an
African-American	NP	African-American
woman	NN	woman
,	,	,
she	PP	she
'	POS	'
s	NN	S
twice	RB	twice
as	RB	as
likely	JJ	likely
to	TO	to
have	VB	have
a	DT	a
premature	JJ	premature
birth	NN	birth
or	CC	or
to	TO	to
have	VB	have
a	DT	a
stillbirth	NN	stillbirth
.	SENT	.
So	IN	so
Jane	NP	Jane
basically	RB	basically
has	VBZ	have
one	CD	one
of	IN	of
two	CD	two
options	NNS	option
:	:	:
stay	VB	stay
at	IN	at
the	DT	the
hospital	NN	hospital
on	IN	on
bed	NN	bed
rest	NN	rest
,	,	,
a	DT	a
prisoner	NN	prisoner
to	TO	to
the	DT	the
technology	NN	technology
until	IN	until
she	PP	she
gives	VBZ	give
birth	NN	birth
,	,	,
and	CC	and
then	RB	then
spend	VB	spend
the	DT	the
rest	NN	rest
of	IN	of
her	PP$	her
life	NN	life
paying	VBG	pay
for	IN	for
the	DT	the
bill	NN	bill
;	:	;
or	CC	or
head	NN	head
home	NN	home
after	IN	after
her	PP$	her
10-day	JJ	10-day
stay	NN	stay
and	CC	and
hope	NN	hope
for	IN	for
the	DT	the
best	JJS	good
.	SENT	.
Neither	CC	neither
of	IN	of
these	DT	these
two	CD	two
options	NNS	option
seems	VBZ	seem
appealing	VBG	appeal
.	SENT	.
As	IN	as
I	PP	I
began	VBD	begin
to	TO	to
think	VB	think
about	IN	about
stories	NNS	story
like	IN	like
this	DT	this
and	CC	and
hear	VBP	hear
about	IN	about
stories	NNS	story
like	IN	like
this	DT	this
,	,	,
I	PP	I
began	VBD	begin
to	TO	to
ask	VB	ask
myself	PP	myself
and	CC	and
imagine	VB	imagine
:	:	:
Is	VBZ	be
there	RB	there
an	DT	an
alternative	NN	alternative
?	SENT	?
Is	VBZ	be
there	RB	there
a	DT	a
way	NN	way
we	PP	we
could	MD	could
have	VB	have
the	DT	the
benefits	NNS	benefit
of	IN	of
high-fidelity	JJ	high-fidelity
monitoring	NN	monitoring
that	IN	that
we	PP	we
get	VBP	get
with	IN	with
our	PP$	our
trusted	VBN	trust
partners	NNS	partner
in	IN	in
the	DT	the
hospital	NN	hospital
while	IN	while
someone	NN	someone
is	VBZ	be
at	IN	at
home	NN	home
living	VBG	live
their	PP$	their
daily	JJ	daily
life	NN	life
?	SENT	?
With	IN	with
that	DT	that
in	IN	in
mind	NN	mind
,	,	,
I	PP	I
encouraged	VBD	encourage
people	NNS	people
in	IN	in
my	PP$	my
research	NN	research
group	NN	group
to	TO	to
partner	NN	partner
with	IN	with
some	DT	some
clever	JJ	clever
material	NN	material
scientists	NNS	scientist
,	,	,
and	CC	and
all	DT	all
of	IN	of
us	PP	us
came	VBD	come
together	RB	together
and	CC	and
brainstormed	VBN	brainstorm
.	SENT	.
And	CC	and
after	IN	after
a	DT	a
long	JJ	long
process	NN	process
,	,	,
we	PP	we
came	VBD	come
up	RP	up
with	IN	with
a	DT	a
vision	NN	vision
,	,	,
an	DT	an
idea	NN	idea
,	,	,
of	IN	of
a	DT	a
wearable	JJ	wearable
system	NN	system
that	IN	that
perhaps	RB	perhaps
you	PP	you
could	MD	could
wear	VB	wear
like	IN	like
a	DT	a
piece	NN	piece
of	IN	of
jewelry	NN	jewelry
or	CC	or
you	PP	you
could	MD	could
apply	VB	apply
to	TO	to
yourself	PP	yourself
like	IN	like
a	DT	a
Band-Aid	NP	Band-Aid
.	SENT	.
And	CC	and
after	IN	after
many	JJ	many
trials	NNS	trial
and	CC	and
tribulations	NNS	tribulation
and	CC	and
years	NNS	year
of	IN	of
endeavors	NNS	endeavor
,	,	,
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
come	VB	come
up	RP	up
with	IN	with
this	DT	this
flexible	JJ	flexible
electronic	JJ	electronic
patch	NN	patch
that	WDT	that
was	VBD	be
manufactured	VBN	manufacture
using	VBG	use
the	DT	the
same	JJ	same
processes	NNS	process
that	IN	that
they	PP	they
use	VBP	use
to	TO	to
build	VB	build
computer	NN	computer
chips	NNS	chip
,	,	,
except	IN	except
the	DT	the
electronics	NNS	electronics
are	VBP	be
transferred	VBN	transfer
from	IN	from
a	DT	a
semiconductor	NN	semiconductor
wafer	NN	wafer
onto	IN	onto
a	DT	a
flexible	JJ	flexible
material	NN	material
that	WDT	that
can	MD	can
interface	NN	interface
with	IN	with
the	DT	the
human	JJ	human
body	NN	body
.	SENT	.
These	DT	these
systems	NNS	system
are	VBP	be
about	RB	about
the	DT	the
thickness	NN	thickness
of	IN	of
a	DT	a
human	JJ	human
hair	NN	hair
.	SENT	.
They	PP	they
can	MD	can
measure	VB	measure
the	DT	the
types	NNS	type
of	IN	of
information	NN	information
that	IN	that
we	PP	we
want	VBP	want
,	,	,
things	NNS	thing
such	JJ	such
as	IN	as
:	:	:
bodily	JJ	bodily
movement	NN	movement
,	,	,
bodily	JJ	bodily
temperature	NN	temperature
,	,	,
electrical	JJ	electrical
rhythms	NNS	rhythm
of	IN	of
the	DT	the
body	NN	body
and	CC	and
so	RB	so
forth	RB	forth
.	SENT	.
We	PP	we
can	MD	can
also	RB	also
engineer	VB	engineer
these	DT	these
systems	NNS	system
