Four	CD	four
years	NNS	year
ago	RB	ago
,	,	,
on	IN	on
the	DT	the
TED	VBP	ted
stage	NN	stage
,	,	,
I	PP	I
announced	VBD	announce
a	DT	a
company	NN	company
I	PP	I
was	VBD	be
working	VBG	work
with	IN	with
at	IN	at
the	DT	the
time	NN	time
called	VBN	call
Odeo	NP	<unknown>
.	SENT	.
And	CC	and
because	IN	because
of	IN	of
that	DT	that
announcement	NN	announcement
,	,	,
we	PP	we
got	VBD	get
a	DT	a
big	JJ	big
article	NN	article
in	IN	in
The	DT	the
New	NP	New
York	NP	York
Times	NP	Times
,	,	,
which	WDT	which
led	VBD	lead
to	TO	to
more	JJR	more
press	NN	press
,	,	,
which	WDT	which
led	VBD	lead
to	TO	to
more	JJR	more
attention	NN	attention
,	,	,
and	CC	and
me	PP	me
deciding	VBG	decide
to	TO	to
become	VB	become
CEO	NN	CEO
of	IN	of
that	DT	that
company	NN	company
â	NP	<unknown>
whereas	IN	whereas
I	PP	I
was	VBD	be
just	RB	just
an	DT	an
adviser	NN	adviser
â	NP	<unknown>
and	CC	and
raising	VBG	raise
a	DT	a
round	NN	round
of	IN	of
venture	NN	venture
capital	NN	capital
and	CC	and
ramping	VBG	ramp
up	RP	up
hiring	VBG	hire
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
guys	NNS	guy
I	PP	I
hired	VBD	hire
was	VBD	be
an	DT	an
engineer	NN	engineer
named	VBN	name
Jack	NP	Jack
Dorsey	NP	Dorsey
,	,	,
and	CC	and
a	DT	a
year	NN	year
later	RBR	later
,	,	,
when	WRB	when
we	PP	we
were	VBD	be
trying	VBG	try
to	TO	to
decide	VB	decide
which	WDT	which
way	NN	way
to	TO	to
go	VB	go
with	IN	with
Odeo	NP	<unknown>
,	,	,
Jack	NP	Jack
presented	VBD	present
an	DT	an
idea	NN	idea
he	PP	he
'	''	'
d	SYM	d
been	VBN	be
tinkering	VBG	tinker
around	RP	around
with	IN	with
for	IN	for
a	DT	a
number	NN	number
of	IN	of
years	NNS	year
that	WDT	that
was	VBD	be
based	VBN	base
around	IN	around
sending	VBG	send
simple	JJ	simple
status	NN	status
updates	NNS	update
to	TO	to
friends	NNS	friend
.	SENT	.
We	PP	we
were	VBD	be
also	RB	also
playing	VBG	play
with	IN	with
SMS	NNS	<unknown>
at	IN	at
the	DT	the
time	NN	time
at	IN	at
Odeo	NP	<unknown>
,	,	,
so	IN	so
we	PP	we
kind	NN	kind
of	IN	of
put	VBN	put
two	CD	two
and	CC	and
two	CD	two
together	RB	together
,	,	,
and	CC	and
in	IN	in
early	RB	early
2006	CD	@card@
we	PP	we
launched	VBD	launch
Twitter	NN	twitter
as	IN	as
a	DT	a
side	NN	side
project	NN	project
at	IN	at
Odeo	NP	<unknown>
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
justify	VB	justify
doing	VBG	do
a	DT	a
side	NN	side
project	NN	project
at	IN	at
a	DT	a
startup	NN	startup
,	,	,
where	WRB	where
focus	NN	focus
is	VBZ	be
so	RB	so
critical	JJ	critical
,	,	,
