Since	IN	since
2009	CD	@card@
,	,	,
the	DT	the
world	NN	world
has	VBZ	have
been	VBN	be
stuck	VBN	stick
on	IN	on
a	DT	a
single	JJ	single
narrative	NN	narrative
around	IN	around
a	DT	a
coming	VBG	come
global	JJ	global
food	NN	food
crisis	NN	crisis
and	CC	and
what	WP	what
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
to	TO	to
avoid	VB	avoid
it	PP	it
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
feed	VBP	feed
nine	CD	nine
billion	NN	billion
people	NNS	people
by	IN	by
2050	CD	@card@
?	SENT	?
Every	DT	every
conference	NN	conference
,	,	,
podcast	NN	<unknown>
and	CC	and
dialogue	NN	dialogue
around	IN	around
global	JJ	global
food	NN	food
security	NN	security
starts	VBZ	start
with	IN	with
this	DT	this
question	NN	question
and	CC	and
goes	VBZ	go
on	RP	on
to	TO	to
answer	VB	answer
it	PP	it
by	IN	by
saying	VBG	say
we	PP	we
need	VBP	need
to	TO	to
produce	VB	produce
70	CD	@card@
percent	NN	percent
more	JJR	more
food	NN	food
.	SENT	.
The	DT	the
2050	CD	@card@
narrative	NN	narrative
started	VBD	start
to	TO	to
evolve	VB	evolve
shortly	RB	shortly
after	IN	after
global	JJ	global
food	NN	food
prices	NNS	price
hit	VBD	hit
all-	JJ	<unknown>
time	NN	time
highs	NNS	high
in	IN	in
2008	CD	@card@
.	SENT	.
People	NNS	people
were	VBD	be
suffering	VBG	suffer
and	CC	and
struggling	VBG	struggle
,	,	,
governments	NNS	government
and	CC	and
world	NN	world
leaders	NNS	leader
needed	VBN	need
to	TO	to
show	VB	show
us	PP	us
that	IN	that
they	PP	they
were	VBD	be
paying	VBG	pay
attention	NN	attention
and	CC	and
were	VBD	be
working	VBG	work
to	TO	to
solve	VB	solve
it	PP	it
.	SENT	.
The	DT	the
thing	NN	thing
is	VBZ	be
,	,	,
2050	NP	@card@
is	VBZ	be
so	RB	so
far	RB	far
into	IN	into
the	DT	the
future	NN	future
that	IN	that
we	PP	we
can	MD	can
'	''	'
t	NN	t
even	RB	even
relate	VBP	relate
to	TO	to
it	PP	it
,	,	,
and	CC	and
more	RBR	more
importantly	RB	importantly
,	,	,
if	IN	if
we	PP	we
keep	VBP	keep
doing	VBG	do
what	WP	what
we	PP	we
'	POS	'
re	NN	re
