What	WP	what
'	POS	'
s	NN	S
the	DT	the
worst	JJS	bad
thing	NN	thing
we	PP	we
'	POS	'
ve	NN	ve
ever	RB	ever
done	VBN	do
to	TO	to
the	DT	the
planet	NN	planet
?	SENT	?
The	DT	the
answer	NN	answer
is	VBZ	be
tough	JJ	tough
to	TO	to
hear	VB	hear
and	CC	and
many	JJ	many
people	NNS	people
recoil	VBP	recoil
from	IN	from
it	PP	it
because	IN	because
it	PP	it
conflicts	VBZ	conflict
with	IN	with
some	DT	some
of	IN	of
our	PP$	our
most	RBS	most
cherished	JJ	cherished
beliefs	NNS	belief
.	SENT	.
Farming	NN	farming
.	SENT	.
Farming	NN	farming
is	VBZ	be
the	DT	the
greatest	JJS	great
cause	NN	cause
of	IN	of
habitat	NN	habitat
destruction	NN	destruction
,	,	,
the	DT	the
greatest	JJS	great
cause	NN	cause
of	IN	of
wildlife	NN	wildlife
loss	NN	loss
,	,	,
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
greatest	JJS	great
cause	NN	cause
of	IN	of
extinction	NN	extinction
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
caused	VBD	cause
roughly	RB	roughly
80	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
deforestation	NN	deforestation
this	DT	this
century	NN	century
.	SENT	.
Only	RB	only
29	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
weight	NN	weight
of	IN	of
birds	NNS	bird
on	IN	on
Earth	NP	Earth
consists	VBZ	consist
of	IN	of
wild	JJ	wild
species	NNS	specie
.	SENT	.
And	CC	and
the	DT	the
rest	NN	rest
are	VBP	be
poultry	NN	poultry
.	SENT	.
Just	RB	just
four	CD	four
percent	NN	percent
of	IN	of
mammals	NNS	mammal
,	,	,
by	IN	by
weight	NN	weight
,	,	,
are	VBP	be
wild	JJ	wild
.	SENT	.
36	CD	@card@
percent	NN	percent
is	VBZ	be
accounted	VBN	account
for	IN	for
by	IN	by
humans	NNS	human
,	,	,
and	CC	and
farmed	VBD	farm
animals	NNS	animal
make	VB	make
up	RP	up
the	DT	the
remaining	VBG	remain
60	CD	@card@
percent	NN	percent
.	SENT	.
Yes	UH	yes
,	,	,
look	VB	look
,	,	,
we	PP	we
all	RB	all
need	VBP	need
food	NN	food
and	CC	and
we	PP	we
all	RB	all
need	VBP	need
farming	NN	farming
.	SENT	.
But	CC	but
that	DT	that
shouldn	NN	<unknown>
'	POS	'
t	NN	t
blind	VB	blind
us	PP	us
to	TO	to
the	DT	the
fact	NN	fact
that	IN	that
it	PP	it
'	POS	'
s	NN	S
also	RB	also
among	IN	among
the	DT	the
world	NN	world
'	POS	'
s	NN	S
foremost	RB	foremost
causes	VBZ	cause
of	IN	of
climate	NN	climate
breakdown	NN	breakdown
,	,	,
of	IN	of
water	NN	water
pollution	NN	pollution
,	,	,
of	IN	of
air	NN	air
pollution	NN	pollution
.	SENT	.
But	CC	but
,	,	,
perhaps	RB	perhaps
most	RBS	most
importantly	RB	importantly
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
foremost	JJ	foremost
cause	NN	cause
of	IN	of
land	NN	land
use	NN	use
.	SENT	.
Now	RB	now
I	NP	I
'	POS	'
ve	NNS	<unknown>
come	VBP	come
to	TO	to
see	VB	see
land	NN	land
as	IN	as
perhaps	RB	perhaps
the	DT	the
most	RBS	most
important	JJ	important
of	IN	of
all	DT	all
environmental	JJ	environmental
questions	NNS	question
.	SENT	.
Every	DT	every
acre	NN	acre
of	IN	of
land	NN	land
that	IN	that
we	PP	we
use	VBP	use
for	IN	for
our	PP$	our
own	JJ	own
purposes	NNS	purpose
is	VBZ	be
an	DT	an
acre	NN	acre
that	WDT	that
can	MD	can
'	''	'
t	NN	t
support	NN	support
wild	JJ	wild
ecosystems	NNS	ecosystem
,	,	,
such	JJ	such
as	IN	as
forests	NNS	forest
and	CC	and
wetlands	NNS	wetland
and	CC	and
savannahs	NNS	savannah
,	,	,
on	IN	on
which	WDT	which
the	DT	the
great	JJ	great
majority	NN	majority
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	NN	S
species	NNS	specie
depend	VBP	depend
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
our	PP$	our
use	NN	use
of	IN	of
land	NN	land
which	WDT	which
,	,	,
above	IN	above
all	DT	all
,	,	,
is	VBZ	be
driving	VBG	drive
the	DT	the
sixth	JJ	sixth
great	JJ	great
extinction	NN	extinction
of	IN	of
species	NNS	specie
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
are	VBP	be
some	DT	some
thrilling	VBG	thrill
