Many	JJ	many
of	IN	of
us	PP	us
like	VBP	like
to	TO	to
start	VB	start
the	DT	the
day	NN	day
with	IN	with
a	DT	a
cup	NN	cup
of	IN	of
coffee	NN	coffee
and	CC	and
perhaps	RB	perhaps
end	VB	end
the	DT	the
day	NN	day
with	IN	with
a	DT	a
glass	NN	glass
of	IN	of
wine	NN	wine
or	CC	or
some	DT	some
other	JJ	other
kind	NN	kind
of	IN	of
alcoholic	JJ	alcoholic
drink	NN	drink
.	SENT	.
But	CC	but
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
these	DT	these
two	CD	two
substances	NNS	substance
,	,	,
alcohol	NN	alcohol
and	CC	and
caffeine	NN	caffeine
,	,	,
can	MD	can
have	VB	have
surprising	JJ	surprising
impacts	NNS	impact
on	IN	on
our	PP$	our
sleep	NN	sleep
.	SENT	.
[	SYM	[
Sleeping	NN	sleeping
with	IN	with
Science	NP	Science
]	SYM	]
Let	NP	Let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
caffeine	NN	caffeine
.	SENT	.
Caffeine	NN	caffeine
is	VBZ	be
in	IN	in
a	DT	a
class	NN	class
of	IN	of
drugs	NNS	drug
that	IN	that
we	PP	we
call	VBP	call
the	DT	the
psychoactive	JJ	psychoactive
stimulants	NNS	stimulant
.	SENT	.
And	CC	and
everyone	NN	everyone
knows	VBZ	know
that	IN	that
caffeine	NN	caffeine
can	MD	can
make	VB	make
them	PP	them
more	RBR	more
alert	JJ	alert
.	SENT	.
It	PP	it
can	MD	can
wake	VB	wake
them	PP	them
up	RP	up
.	SENT	.
But	CC	but
there	EX	there
are	VBP	be
at	IN	at
least	JJS	least
two	CD	two
additional	JJ	additional
,	,	,
hidden	JJ	hidden
features	NNS	feature
of	IN	of
caffeine	NN	caffeine
that	IN	that
some	DT	some
people	NNS	people
may	MD	may
not	RB	not
be	VB	be
aware	JJ	aware
of	IN	of
.	SENT	.
The	DT	the
first	JJ	first
is	VBZ	be
the	DT	the
duration	NN	duration
of	IN	of
action	NN	action
of	IN	of
caffeine	NN	caffeine
.	SENT	.
Caffeine	NN	caffeine
,	,	,
for	IN	for
the	DT	the
average	JJ	average
adult	NN	adult
,	,	,
will	MD	will
have	VB	have
what	WP	what
we	PP	we
call	VBP	call
a	DT	a
half-life	NN	half-life
of	IN	of
about	RB	about
five	CD	five
to	TO	to
six	CD	six
hours	NNS	hour
.	SENT	.
What	WP	what
that	WDT	that
means	VBZ	mean
is	VBZ	be
that	IN	that
after	IN	after
about	RB	about
five	CD	five
to	TO	to
six	CD	six
hours	NNS	hour
50	CD	@card@
percent	NN	percent
of	IN	of
that	DT	that
caffeine	NN	caffeine
that	IN	that
you	PP	you
had	VBN	have
is	VBZ	be
still	RB	still
circulating	VBG	circulate
in	IN	in
your	PP$	your
system	NN	system
.	SENT	.
What	WP	what
that	WDT	that
also	RB	also
means	VBZ	mean
is	VBZ	be
that	IN	that
caffeine	NN	caffeine
has	VBZ	have
a	DT	a
quarter-life	NN	<unknown>
of	IN	of
about	RB	about
10	CD	@card@
to	TO	to
12	CD	@card@
hours	NNS	hour
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
say	VBP	say
that	IN	that
you	PP	you
have	VBP	have
a	DT	a
cup	NN	cup
of	IN	of
coffee	NN	coffee
at	IN	at
2pm	NN	2pm
in	IN	in
the	DT	the
evening	NN	evening
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
that	IN	that
almost	RB	almost
a	DT	a
quarter	NN	quarter
of	IN	of
that	DT	that
caffeine	NN	caffeine
is	VBZ	be
still	RB	still
swilling	VBG	swill
around	RP	around
in	IN	in
your	PP$	your
brain	NN	brain
at	IN	at
midnight	NN	midnight
.	SENT	.
And	CC	and
as	IN	as
a	DT	a
result	NN	result
,	,	,
it	PP	it
can	MD	can
make	VB	make
it	PP	it
harder	JJR	hard
for	IN	for
an	DT	an
individual	NN	individual
to	TO	to
fall	VB	fall
asleep	RB	asleep
or	CC	or
even	RB	even
stay	VB	stay
asleep	RB	asleep
soundly	RB	soundly
throughout	IN	throughout
the	DT	the
night	NN	night
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
first	JJ	first
feature	NN	feature
of	IN	of
caffeine	NN	caffeine
.	SENT	.
The	DT	the
second	JJ	second
issue	NN	issue
with	IN	with
caffeine	NN	caffeine
is	VBZ	be
that	IN	that
it	PP	it
can	MD	can
change	VB	change
the	DT	the
quality	NN	quality
of	IN	of
your	PP$	your
sleep	NN	sleep
.	SENT	.
Now	RB	now
some	DT	some
people	NNS	people
will	MD	will
tell	VB	tell
me	PP	me
that	IN	that
I	NP	I
'	POS	'
m	NN	m
one	CD	one
of	IN	of
those	DT	those
individuals	NNS	individual
who	WP	who
can	MD	can
have	VB	have
an	DT	an
espresso	NN	espresso
with	IN	with
dinner	NN	dinner
,	,	,
and	CC	and
I	PP	I
fall	VBP	fall
asleep	RB	asleep
fine	VB	fine
,	,	,
and	CC	and
I	PP	I
can	MD	can
stay	VB	stay
asleep	RB	asleep
.	SENT	.
But	CC	but
even	RB	even
if	IN	if
that	DT	that
'	''	'
s	NNS	<unknown>
true	JJ	true
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
caffeine	NN	caffeine
can	MD	can
actually	RB	actually
decrease	VB	decrease
the	DT	the
amount	NN	amount
of	IN	of
deep	JJ	deep
,	,	,
non-rapid	JJ	non-rapid
eye	NN	eye
movement	NN	movement
sleep	VBP	sleep
that	IN	that
we	PP	we
have	VBP	have
,	,	,
stages	VBZ	stage
three	CD	three
and	CC	and
four	CD	four
of	IN	of
non-REM	NP	<unknown>
sleep	NN	sleep
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
that	IN	that
sort	NN	sort
of	IN	of
restorative	JJ	restorative
deep	JJ	deep
sleep	NN	sleep
.	SENT	.
And	CC	and
as	IN	as
a	DT	a
consequence	NN	consequence
,	,	,
you	PP	you
can	MD	can
wake	VB	wake
up	RP	up
the	DT	the
next	JJ	next
morning	NN	morning
,	,	,
and	CC	and
you	PP	you
don	NN	don
'	POS	'
t	NN	t
feel	NN	feel
refreshed	VBD	refresh
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
feel	NN	feel
restored	VBN	restore
by	IN	by
your	PP$	your
sleep	NN	sleep
.	SENT	.
But	CC	but
you	PP	you
don	VBP	don
'	''	'
t	NN	t
remember	VB	remember
waking	VBG	wake
up	RP	up
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
remember	VBP	remember
struggling	VBG	struggle
to	TO	to
fall	VB	fall
asleep	RB	asleep
,	,	,
so	RB	so
you	PP	you
don	VB	don
'	''	'
t	NN	t
make	VB	make
the	DT	the
connection	NN	connection
,	,	,
but	CC	but
nevertheless	RB	nevertheless
you	PP	you
may	MD	may
then	RB	then
find	VB	find
yourself	PP	yourself
reaching	VBG	reach
for	IN	for
two	CD	two
cups	NNS	cup
of	IN	of
coffee	NN	coffee
in	IN	in
the	DT	the
morning	NN	morning
to	TO	to
wake	VB	wake
up	RP	up
rather	RB	rather
than	IN	than
one	CD	one
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
caffeine	NN	caffeine
,	,	,
but	CC	but
now	RB	now
let	VB	let
'	''	'
s	NNS	<unknown>
move	VBP	move
on	IN	on
to	TO	to
alcohol	NN	alcohol
,	,	,
because	IN	because
alcohol	NN	alcohol
is	VBZ	be
perhaps	RB	perhaps
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
misunderstood	JJ	misunderstood
sleep	NN	sleep
aids	VBZ	aid
out	RP	out
there	RB	there
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
it	PP	it
'	POS	'
s	NN	S
anything	NN	anything
but	CC	but
a	DT	a
sleep	NN	sleep
aid	NN	aid
.	SENT	.
And	CC	and
it	PP	it
can	MD	can
be	VB	be
problematic	JJ	problematic
for	IN	for
your	PP$	your
sleep	NN	sleep
in	IN	in
at	IN	at
least	JJS	least
three	CD	three
different	JJ	different
ways	NNS	way
.	SENT	.
First	RB	first
,	,	,
alcohol	NN	alcohol
is	VBZ	be
in	IN	in
a	DT	a
class	NN	class
of	IN	of
drugs	NNS	drug
that	IN	that
we	PP	we
call	VBP	call
the	DT	the
sedatives	NNS	sedative
.	SENT	.
But	CC	but
sedation	NN	sedation
is	VBZ	be
not	RB	not
sleep	NN	sleep
.	SENT	.
And	CC	and
studies	NNS	study
teach	VBP	teach
us	PP	us
that	IN	that
those	DT	those
two	CD	two
things	NNS	thing
are	VBP	be
really	RB	really
quite	RB	quite
different	JJ	different
.	SENT	.
Sedation	NN	sedation
