Hello	UH	hello
!	SENT	!
My	PP$	my
name	NN	name
is	VBZ	be
Golan	NP	Golan
Levin	NP	Levin
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
an	DT	an
artist	NN	artist
and	CC	and
an	DT	an
engineer	NN	engineer
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
increasingly	RB	increasingly
,	,	,
a	DT	a
more	RBR	more
common	JJ	common
kind	NN	kind
of	IN	of
hybrid	NN	hybrid
.	SENT	.
But	CC	but
I	PP	I
still	RB	still
fall	VBP	fall
into	IN	into
this	DT	this
weird	JJ	weird
crack	NN	crack
where	WRB	where
people	NNS	people
don	VB	don
'	''	'
t	NN	t
seem	VBP	seem
to	TO	to
understand	VB	understand
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
looking	VBG	look
around	RP	around
and	CC	and
I	PP	I
found	VBD	find
this	DT	this
wonderful	JJ	wonderful
picture	NN	picture
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
letter	NN	letter
from	IN	from
"	``	"
Artforum	NP	Artforum
"	''	"
in	IN	in
1967	CD	@card@
saying	VBG	say
"	``	"
We	PP	we
can	MD	can
'	''	'
t	NN	t
imagine	VB	imagine
ever	RB	ever
doing	VBG	do
a	DT	a
special	JJ	special
issue	NN	issue
on	IN	on
electronics	NNS	electronics
or	CC	or
computers	NNS	computer
in	IN	in
art	NN	art
.	SENT	.
"	``	"
And	CC	and
they	PP	they
still	RB	still
haven	NN	haven
'	POS	'
t	NN	t
.	SENT	.
And	CC	and
lest	IN	lest
you	PP	you
think	VBP	think
that	IN	that
you	PP	you
all	RB	all
,	,	,
as	IN	as
the	DT	the
digerati	NN	<unknown>
,	,	,
are	VBP	be
more	RBR	more
enlightened	JJ	enlightened
,	,	,
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
Apple	NP	Apple
iPhone	NN	<unknown>
app	NNS	<unknown>
store	VBP	store
the	DT	the
other	JJ	other
day	NN	day
.	SENT	.
Where	WRB	where
'	POS	'
s	NN	S
art	NN	art
?	SENT	?
I	PP	I
got	VBD	get
productivity	NN	productivity
.	SENT	.
I	PP	I
got	VBD	get
sports	NNS	sport
.	SENT	.
And	CC	and
somehow	RB	somehow
the	DT	the
idea	NN	idea
that	IN	that
one	PP	one
would	MD	would
want	VB	want
to	TO	to
make	VB	make
art	NN	art
for	IN	for
the	DT	the
iPhone	NN	<unknown>
,	,	,
which	WDT	which
my	PP$	my
friends	NNS	friend
and	CC	and
I	PP	I
are	VBP	be
doing	VBG	do
now	RB	now
,	,	,
is	VBZ	be
still	RB	still
not	RB	not
reflected	VBN	reflect
in	IN	in
our	PP$	our
understanding	NN	understanding
of	IN	of
what	WP	what
computers	NNS	computer
are	VBP	be
for	IN	for
.	SENT	.
So	RB	so
,	,	,
from	IN	from
both	DT	both
directions	NNS	direction
,	,	,
there	EX	there
is	VBZ	be
kind	NN	kind
of	IN	of
,	,	,
I	PP	I
think	VBP	think
,	,	,
a	DT	a
lack	NN	lack
of	IN	of
understanding	VBG	understand
about	IN	about
what	WP	what
it	PP	it
could	MD	could
mean	VB	mean
to	TO	to
be	VB	be
an	DT	an
artist	NN	artist
who	WP	who
uses	VBZ	use
the	DT	the
materials	NNS	material
of	IN	of
his	PP$	his
own	JJ	own
day	NN	day
,	,	,
or	CC	or
her	PP$	her
own	JJ	own
day	NN	day
,	,	,
which	WDT	which
I	PP	I
