Catherine	NP	Catherine
Price	NP	Price
:	:	:
Hi	UH	hi
,	,	,
David	NP	David
.	SENT	.
David	NP	David
Biello	NP	Biello
:	:	:
Hello	UH	hello
.	SENT	.
CP	NP	CP
:	:	:
And	CC	and
hello	NN	hello
,	,	,
everyone	NN	everyone
.	SENT	.
DB	NP	DB
:	:	:
I	PP	I
think	VBP	think
we	PP	we
need	VBP	need
to	TO	to
start	VB	start
with	IN	with
the	DT	the
question	NN	question
that	IN	that
some	DT	some
of	IN	of
them	PP	them
may	MD	may
have	VB	have
seen	VBN	see
on	IN	on
their	PP$	their
screen	NN	screen
already	RB	already
:	:	:
what	WP	what
is	VBZ	be
fun	NN	fun
?	SENT	?
CP	NP	CP
:	:	:
You	PP	you
might	MD	might
think	VB	think
that	IN	that
we	PP	we
all	RB	all
know	VBP	know
what	WP	what
fun	NN	fun
is	VBZ	be
,	,	,
but	CC	but
I	PP	I
found	VBD	find
it	PP	it
really	RB	really
interesting	JJ	interesting
in	IN	in
my	PP$	my
research	NN	research
to	TO	to
realize	VB	realize
that	IN	that
the	DT	the
way	NN	way
we	PP	we
use	VBP	use
fun	NN	fun
in	IN	in
our	PP$	our
everyday	JJ	everyday
speech	NN	speech
,	,	,
which	WDT	which
at	IN	at
least	JJS	least
in	IN	in
English	NP	English
,	,	,
is	VBZ	be
very	RB	very
casual	JJ	casual
,	,	,
we	PP	we
kind	RB	kind
of	IN	of
toss	NN	toss
around	IN	around
this	DT	this
word	NN	word
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
different	JJ	different
from	IN	from
the	DT	the
feeling	NN	feeling
you	PP	you
get	VBP	get
from	IN	from
people	NNS	people
if	IN	if
you	PP	you
ask	VBP	ask
them	PP	them
about	IN	about
a	DT	a
memory	NN	memory
from	IN	from
their	PP$	their
own	JJ	own
lives	NNS	life
in	IN	in
which	WDT	which
they	PP	they
had	VBD	have
the	DT	the
most	JJS	most
fun	NN	fun
.	SENT	.
And	CC	and
as	IN	as
part	NN	part
of	IN	of
the	DT	the
research	NN	research
for	IN	for
my	PP$	my
book	NN	book
,	,	,
I	PP	I
did	VBD	do
that	RB	that
.	SENT	.
I	PP	I
asked	VBD	ask
people	NNS	people
from	IN	from
all	DT	all
around	IN	around
the	DT	the
world	NN	world
,	,	,
I	PP	I
see	VBP	see
we	PP	we
have	VBP	have
a	DT	a
ton	NN	ton
of	IN	of
people	NNS	people
from	IN	from
all	DT	all
around	IN	around
the	DT	the
world	NN	world
,	,	,
even	RB	even
in	IN	in
this	DT	this
webinar	NN	<unknown>
.	SENT	.
So	IN	so
the	DT	the
answers	NNS	answer
I	PP	I
got	VBD	get
were	VBD	be
very	RB	very
international	JJ	international
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
really	RB	really
interesting	JJ	interesting
because	IN	because
even	RB	even
though	RB	though
obviously	RB	obviously
people	NNS	people
'	POS	'
s	JJ	<unknown>
individual	JJ	individual
experiences	NNS	experience
were	VBD	be
different	JJ	different
,	,	,
there	EX	there
was	VBD	be
this	DT	this
energy	NN	energy
running	VBG	run
through	IN	through
them	PP	them
that	WDT	that
was	VBD	be
very	RB	very
much	RB	much
the	DT	the
same	JJ	same
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
read	VBP	read
through	IN	through
these	DT	these
answers	NNS	answer
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
thousands	NNS	thousand
of	IN	of
these	DT	these
by	IN	by
now	RB	now
,	,	,
I	PP	I
found	VBD	find
myself	PP	myself
smiling	VBG	smile
but	CC	but
also	RB	also
almost	RB	almost
tearing	VBG	tear
up	RP	up
a	DT	a
lot	NN	lot
of	IN	of
times	NNS	time
.	SENT	.
There	EX	there
was	VBD	be
something	NN	something
really	RB	really
powerful	JJ	powerful
about	IN	about
what	WP	what
people	NNS	people
were	VBD	be
sharing	VBG	share
with	IN	with
me	PP	me
that	WDT	that
went	VBD	go
way	NN	way
beyond	IN	beyond
this	DT	this
lighthearted	JJ	lighthearted
pleasure	NN	pleasure
sense	NN	sense
with	IN	with
which	WDT	which
we	PP	we
often	RB	often
use	VBP	use
the	DT	the
word	NN	word
.	SENT	.
So	RB	so
I	PP	I
ended	VBD	end
up	RP	up
coming	VBG	come
up	RP	up
with	IN	with
a	DT	a
definition	NN	definition
based	VBN	base
on	IN	on
these	DT	these
stories	NNS	story
people	NNS	people
were	VBD	be
sharing	VBG	share
with	IN	with
me	PP	me
and	CC	and
then	RB	then
running	VBG	run
it	PP	it
by	IN	by
them	PP	them
to	TO	to
see	VB	see
if	IN	if
it	PP	it
accurately	RB	accurately
described	VBD	describe
what	WP	what
they	PP	they
had	VBD	have
told	VBN	tell
me	PP	me
.	SENT	.
So	RB	so
I	PP	I
tried	VBD	try
to	TO	to
validate	VB	validate
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
that	IN	that
when	WRB	when
we	PP	we
have	VBP	have
these	DT	these
moments	NNS	moment
of	IN	of
what	WP	what
I	PP	I
think	VBP	think
of	IN	of
as	IN	as
"	``	"
true	JJ	true
"	''	"
fun	NN	fun
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
confluence	NN	confluence
of	IN	of
three	CD	three
states	NNS	state
.	SENT	.
And	CC	and
those	DT	those
are	VBP	be
playfulness	NN	playfulness
,	,	,
connection	NN	connection
and	CC	and
flow	NN	flow
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
you	PP	you
think	VBP	think
of	IN	of
a	DT	a
Venn	NP	Venn
diagram	NN	diagram
with	IN	with
three	CD	three
circles	NNS	circle
in	IN	in
the	DT	the
center	NN	center
,	,	,
you	PP	you
have	VBP	have
true	JJ	true
fun	NN	fun
,	,	,
and	CC	and
then	RB	then
playfulness	NN	playfulness
,	,	,
connection	NN	connection
and	CC	and
flow	NN	flow
.	SENT	.
And	CC	and
just	RB	just
to	TO	to
clarify	VB	clarify
,	,	,
because	IN	because
people	NNS	people
can	MD	can
freak	VB	freak
out	RP	out
in	IN	in
particular	JJ	particular
about	IN	about
playfulness	NN	playfulness
,	,	,
adults	NNS	adult
really	RB	really
get	VBP	get
uncomfortable	JJ	uncomfortable
with	IN	with
playfulness	NN	playfulness
.	SENT	.
It	PP	it
means	VBZ	mean
just	RB	just
having	VBG	have
a	DT	a
lighthearted	JJ	lighthearted
attitude	NN	attitude
.	SENT	.
You	PP	you
can	MD	can
just	RB	just
be	VB	be
lighthearted	JJ	lighthearted
,	,	,
not	RB	not
care	VBP	care
too	RB	too
much	RB	much
about	IN	about
the	DT	the
outcome	NN	outcome
of	IN	of
what	WP	what
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
.	SENT	.
Let	VB	let
go	VB	go
of	IN	of
your	PP$	your
perfectionism	NN	perfectionism
.	SENT	.
Connection	NN	connection
refers	VBZ	refer
to	TO	to
having	VBG	have
a	DT	a
special	JJ	special
shared	JJ	shared
experience	NN	experience
,	,	,
and	CC	and
I	PP	I
do	VBP	do
think	VB	think
some	DT	some
people	NNS	people
can	MD	can
have	VB	have
fun	NN	fun
on	IN	on
their	PP$	their
own	JJ	own
,	,	,
as	IN	as
I	PP	I
say	VBP	say
in	IN	in
my	PP$	my
TED	VB	ted
Talk	NN	talk
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
really	RB	really
interesting	JJ	interesting
because	IN	because
most	JJS	most
of	IN	of
the	DT	the
stories	NNS	story
people	NNS	people
told	VBD	tell
me	PP	me
involved	VBD	involve
other	JJ	other
people	NNS	people
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
asked	VBD	ask
people	NNS	people
,	,	,
"	``	"
What	WP	what
surprised	VBD	surprise
you	PP	you
about	IN	about
what	WP	what
you	PP	you
just	RB	just
told	VBD	tell
me	PP	me
?	SENT	?
"	''	"
A	DT	a
number	NN	number
of	IN	of
people	NNS	people
said	VBD	say
something	NN	something
along	IN	along
the	DT	the
lines	NNS	line
of	IN	of
"	``	"
I	NP	I
'	POS	'
m	NN	m
an	DT	an
introvert	NN	introvert
,	,	,
but	CC	but
everything	NN	everything
I	PP	I
just	RB	just
told	VBD	tell
you	PP	you
involved	VBD	involve
other	JJ	other
people	NNS	people
.	SENT	.
"	''	"
So	RB	so
in	IN	in
the	DT	the
majority	NN	majority
of	IN	of
situations	NNS	situation
,	,	,
another	DT	another
person	NN	person
is	VBZ	be
involved	VBN	involve
.	SENT	.
And	CC	and
then	RB	then
flow	NN	flow
is	VBZ	be
this	DT	this
psychological	JJ	psychological
state	NN	state
where	WRB	where
we	PP	we
get	VBP	get
so	RB	so
wrapped	VB	wrapped
up	RP	up
in	IN	in
what	WP	what
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
,	,	,
actively	RB	actively
engaged	VBN	engage
in	IN	in
what	WP	what
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
that	IN	that
we	PP	we
can	MD	can
lose	VB	lose
track	NN	track
of	IN	of
time	NN	time
.	SENT	.
So	IN	so
an	DT	an
athlete	NN	athlete
playing	VBG	play
a	DT	a
game	NN	game
is	VBZ	be
the	DT	the
most	RBS	most
quintessential	JJ	quintessential
example	NN	example
.	SENT	.
All	DT	all
three	CD	three
of	IN	of
those	DT	those
states	NNS	state
are	VBP	be
great	JJ	great
on	IN	on
their	PP$	their
own	JJ	own
but	CC	but
I	PP	I
believe	VBP	believe
when	WRB	when
you	PP	you
experience	VBP	experience
all	DT	all
three	CD	three
at	IN	at
once	RB	once
,	,	,
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
call	VBP	call
true	JJ	true
fun	NN	fun
.	SENT	.
DB	NP	DB
:	:	:
So	RB	so
to	TO	to
the	DT	the
adult	JJ	adult
question	NN	question
of	IN	of
why	WRB	why
we	PP	we
lose	VBP	lose
playfulness	NN	playfulness
,	,	,
