Clearly	RB	clearly
,	,	,
we	PP	we
'	POS	'
re	NN	re
living	NN	living
in	IN	in
a	DT	a
moment	NN	moment
of	IN	of
crisis	NN	crisis
.	SENT	.
Arguably	RB	arguably
the	DT	the
financial	JJ	financial
markets	NNS	market
have	VBP	have
failed	VBN	fail
us	PP	us
and	CC	and
the	DT	the
aid	NN	aid
system	NN	system
is	VBZ	be
failing	VBG	fail
us	PP	us
,	,	,
and	CC	and
yet	RB	yet
I	PP	I
stand	VBP	stand
firmly	RB	firmly
with	IN	with
the	DT	the
optimists	NNS	optimist
who	WP	who
believe	VBP	believe
that	IN	that
there	EX	there
has	VBZ	have
probably	RB	probably
never	RB	never
been	VBN	be
a	DT	a
more	RBR	more
exciting	JJ	exciting
moment	NN	moment
to	TO	to
be	VB	be
alive	JJ	alive
.	SENT	.
Because	IN	because
of	IN	of
some	DT	some
of	IN	of
technologies	NNS	technology
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
talking	VBG	talk
about	RB	about
.	SENT	.
Because	IN	because
of	IN	of
the	DT	the
resources	NNS	resource
,	,	,
the	DT	the
skills	NNS	skill
,	,	,
and	CC	and
certainly	RB	certainly
the	DT	the
surge	NN	surge
of	IN	of
talent	NN	talent
we	PP	we
'	''	'
re	IN	re
seeing	VBG	see
all	DT	all
around	IN	around
the	DT	the
world	NN	world
,	,	,
with	IN	with
the	DT	the
mindset	NN	mindset
to	TO	to
create	VB	create
change	NN	change
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
president	NN	president
who	WP	who
sees	VBZ	see
himself	PP	himself
as	IN	as
a	DT	a
global	JJ	global
citizen	NN	citizen
,	,	,
who	WP	who
recognizes	VBZ	recognize
that	IN	that
no	RB	no
longer	JJR	long
is	VBZ	be
there	RB	there
a	DT	a
single	JJ	single
superpower	NN	superpower
,	,	,
but	CC	but
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
engage	VB	engage
in	IN	in
a	DT	a
different	JJ	different
way	NN	way
with	IN	with
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
by	IN	by
definition	NN	definition
,	,	,
every	DT	every
one	CD	one
of	IN	of
you	PP	you
who	WP	who
is	VBZ	be
in	IN	in
this	DT	this
room	NN	room
must	MD	must
consider	VB	consider
yourself	PP	yourself
a	DT	a
global	JJ	global
soul	NN	soul
,	,	,
a	DT	a
global	JJ	global
citizen	NN	citizen
.	SENT	.
