Hello	UH	hello
,	,	,
everyone	NN	everyone
.	SENT	.
Growing	VBG	grow
up	RP	up
in	IN	in
my	PP$	my
family	NN	family
gives	VBZ	give
you	PP	you
a	DT	a
certain	JJ	certain
sense	NN	sense
of	IN	of
history	NN	history
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
simply	RB	simply
the	DT	the
latest	JJS	late
in	IN	in
a	DT	a
line	NN	line
that	WDT	that
can	MD	can
be	VB	be
traced	VBN	trace
back	JJ	back
generations	NNS	generation
.	SENT	.
This	DT	this
oak	NN	oak
tree	NN	tree
is	VBZ	be
close	JJ	close
to	TO	to
Windsor	NP	Windsor
Castle	NP	Castle
,	,	,
which	WDT	which
has	VBZ	have
been	VBN	be
home	NN	home
to	TO	to
my	PP$	my
family	NN	family
for	IN	for
over	RB	over
900	CD	@card@
years	NNS	year
.	SENT	.
Thirty-nine	NN	Thirty-nine
monarchs	NNS	monarch
have	VBP	have
lived	VBN	live
here	RB	here
and	CC	and
enjoyed	VBD	enjoy
these	DT	these
beautiful	JJ	beautiful
surroundings	NNS	surroundings
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
walked	VBD	walk
here	RB	here
many	JJ	many
times	NNS	time
myself	PP	myself
,	,	,
and	CC	and
it	PP	it
always	RB	always
amazes	VBZ	amaze
me	PP	me
that	IN	that
some	DT	some
of	IN	of
the	DT	the
trees	NNS	tree
planted	VBN	plant
here	RB	here
,	,	,
living	VBG	live
organisms	NNS	organism
,	,	,
dependent	JJ	dependent
on	IN	on
soil	NN	soil
,	,	,
rain	NN	rain
and	CC	and
sunlight	NN	sunlight
,	,	,
were	VBD	be
here	RB	here
as	IN	as
they	PP	they
laid	VBD	lay
the	DT	the
first	JJ	first
stones	NNS	stone
of	IN	of
Windsor	NP	Windsor
Castle	NP	Castle
.	SENT	.
That	DT	that
makes	VBZ	make
some	DT	some
of	IN	of
the	DT	the
oaks	NNS	oak
here	RB	here
almost	RB	almost
1	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
