So	RB	so
,	,	,
how	WRB	how
many	JJ	many
of	IN	of
you	PP	you
have	VBP	have
ever	RB	ever
gotten	VBN	get
behind	IN	behind
the	DT	the
wheel	NN	wheel
of	IN	of
a	DT	a
car	NN	car
when	WRB	when
you	PP	you
really	RB	really
shouldn	JJ	<unknown>
'	''	'
t	NN	t
have	VBP	have
been	VBN	be
driving	VBG	drive
?	SENT	?
Maybe	RB	maybe
you	PP	you
'	POS	'
re	NN	re
out	RP	out
on	IN	on
the	DT	the
road	NN	road
for	IN	for
a	DT	a
long	JJ	long
day	NN	day
,	,	,
and	CC	and
you	PP	you
just	RB	just
wanted	VBD	want
to	TO	to
get	VB	get
home	NN	home
.	SENT	.
You	PP	you
were	VBD	be
tired	JJ	tired
,	,	,
but	CC	but
you	PP	you
felt	VBD	feel
you	PP	you
could	MD	could
drive	VB	drive
a	DT	a
few	JJ	few
more	JJR	more
miles	NNS	mile
.	SENT	.
Maybe	RB	maybe
you	PP	you
thought	VBD	think
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
had	VBD	have
less	JJR	less
to	TO	to
drink	VB	drink
than	IN	than
everybody	NN	everybody
else	RB	else
,	,	,
I	PP	I
should	MD	should
be	VB	be
the	DT	the
one	CD	one
to	TO	to
go	VB	go
home	NN	home
.	SENT	.
Or	CC	or
maybe	RB	maybe
your	PP$	your
mind	NN	mind
was	VBD	be
just	RB	just
entirely	RB	entirely
elsewhere	RB	elsewhere
.	SENT	.
Does	VBZ	do
this	DT	this
sound	NN	sound
familiar	JJ	familiar
to	TO	to
you	PP	you
?	SENT	?
Now	RB	now
,	,	,
in	IN	in
those	DT	those
situations	NNS	situation
,	,	,
wouldn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
be	VB	be
great	JJ	great
if	IN	if
there	EX	there
was	VBD	be
a	DT	a
button	NN	button
on	IN	on
your	PP$	your
dashboard	NN	dashboard
that	IN	that
you	PP	you
could	MD	could
push	VB	push
,	,	,
and	CC	and
the	DT	the
car	NN	car
would	MD	would
get	VB	get
you	PP	you
home	RB	home
safely	RB	safely
?	SENT	?
Now	RB	now
,	,	,
that	IN	that
'	POS	'
s	RB	<unknown>
been	VBN	be
the	DT	the
promise	NN	promise
of	IN	of
the	DT	the
self-driving	JJ	self-driving
car	NN	car
,	,	,
the	DT	the
autonomous	JJ	autonomous
vehicle	NN	vehicle
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
the	DT	the
dream	NN	dream
since	IN	since
at	IN	at
least	JJS	least
1939	CD	@card@
,	,	,
when	WRB	when
General	NP	General
Motors	NP	Motors
showcased	VBD	showcase
this	DT	this
idea	NN	idea
at	IN	at
their	PP$	their
Futurama	NP	<unknown>
booth	NN	booth
at	IN	at
the	DT	the
World	NP	World
'	POS	'
s	NN	S
Fair	NN	fair
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
one	CD	one
of	IN	of
those	DT	those
dreams	NNS	dream
that	WDT	that
'	POS	'
s	NN	S
always	RB	always
seemed	VBD	seem
about	RB	about
20	CD	@card@
years	NNS	year
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
Now	RB	now
,	,	,
two	CD	two
weeks	NNS	week
ago	RB	ago
,	,	,
that	DT	that
dream	NN	dream
took	VBD	take
a	DT	a
step	NN	step
forward	RB	forward
,	,	,
when	WRB	when
the	DT	the
state	NN	state
of	IN	of
Nevada	NP	Nevada
granted	VBD	grant
Google	NP	<unknown>
'	POS	'
s	JJ	<unknown>
self-driving	JJ	self-driving
car	NN	car
the	DT	the
very	RB	very
first	JJ	first
license	NN	license
for	IN	for
an	DT	an
autonomous	JJ	autonomous
vehicle	NN	vehicle
,	,	,
clearly	RB	clearly
establishing	VBG	establish
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
legal	JJ	legal
for	IN	for
them	PP	them
to	TO	to
test	VB	test
it	PP	it
on	IN	on
the	DT	the
roads	NNS	road
in	IN	in
Nevada	NP	Nevada
.	SENT	.
Now	RB	now
,	,	,
California	NP	California
'	POS	'
s	NN	S
considering	VBG	consider
similar	JJ	similar
legislation	NN	legislation
,	,	,
and	CC	and
this	DT	this
would	MD	would
make	VB	make
sure	JJ	sure
that	IN	that
the	DT	the
autonomous	JJ	autonomous
car	NN	car
is	VBZ	be
not	RB	not
one	CD	one
of	IN	of
those	DT	those
things	NNS	thing
that	WDT	that
has	VBZ	have
to	TO	to
stay	VB	stay
in	IN	in
Vegas	NP	Vegas
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
my	PP$	my
lab	NN	lab
at	IN	at
Stanford	NP	Stanford
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
on	IN	on
autonomous	JJ	autonomous
cars	NNS	car
too	RB	too
,	,	,
but	CC	but
with	IN	with
a	DT	a
slightly	RB	slightly
different	JJ	different
spin	NN	spin
on	IN	on
things	NNS	thing
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
developing	VBG	develop
robotic	JJ	robotic
race	NN	race
cars	NNS	car
,	,	,
cars	NNS	car
that	WDT	that
can	MD	can
actually	RB	actually
push	VB	push
themselves	PP	themselves
to	TO	to
the	DT	the
very	JJ	very
limits	NNS	limit
of	IN	of
physical	JJ	physical
performance	NN	performance
.	SENT	.
Now	RB	now
,	,	,
why	WRB	why
would	MD	would
we	PP	we
want	VB	want
to	TO	to
do	VB	do
such	PDT	such
a	DT	a
thing	NN	thing
?	SENT	?
Well	RB	well
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
two	CD	two
really	RB	really
good	JJ	good
reasons	NNS	reason
for	IN	for
this	DT	this
.	SENT	.
First	RB	first
,	,	,
we	PP	we
believe	VBP	believe
that	IN	that
before	IN	before
people	NNS	people
turn	VBP	turn
over	RB	over
control	VB	control
to	TO	to
an	DT	an
autonomous	JJ	autonomous
car	NN	car
,	,	,
that	DT	that
autonomous	JJ	autonomous
car	NN	car
should	MD	should
be	VB	be
at	IN	at
least	JJS	least
as	RB	as
good	JJ	good
as	IN	as
the	DT	the
very	RB	very
best	JJS	good
human	JJ	human
drivers	NNS	driver
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
like	IN	like
me	PP	me
,	,	,
and	CC	and
the	DT	the
other	JJ	other
70	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
population	NN	population
who	WP	who
know	VBP	know
that	IN	that
we	PP	we
are	VBP	be
above-average	JJ	above-average
drivers	NNS	driver
,	,	,
you	PP	you
understand	VBP	understand
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
very	RB	very
high	JJ	high
bar	NN	bar
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
reason	NN	reason
as	IN	as
well	RB	well
.	SENT	.
Just	RB	just
like	IN	like
race	NN	race
car	NN	car
drivers	NNS	driver
can	MD	can
use	VB	use
all	DT	all
of	IN	of
the	DT	the
friction	NN	friction
between	IN	between
the	DT	the
tire	NN	tire
and	CC	and
the	DT	the
road	NN	road
,	,	,
all	RB	all
of	IN	of
the	DT	the
car	NN	car
'	POS	'
s	NN	S
capabilities	NNS	capability
to	TO	to
go	VB	go
as	RB	as
fast	RB	fast
as	IN	as
possible	JJ	possible
,	,	,
we	PP	we
want	VBP	want
to	TO	to
use	VB	use
all	DT	all
of	IN	of
those	DT	those
capabilities	NNS	capability
to	TO	to
avoid	VB	avoid
any	DT	any
accident	NN	accident
we	PP	we
can	MD	can
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
may	MD	may
push	VB	push
the	DT	the
car	NN	car
to	TO	to
the	DT	the
limits	NNS	limit
not	RB	not
because	IN	because
you	PP	you
'	POS	'
re	NN	re
driving	VBG	drive
too	RB	too
fast	RB	fast
,	,	,
but	CC	but
because	IN	because
you	PP	you
'	POS	'
ve	NN	ve
hit	VBD	hit
an	DT	an
icy	JJ	icy
patch	NN	patch
of	IN	of
road	NN	road
,	,	,
conditions	NNS	condition
have	VBP	have
changed	VBN	change
.	SENT	.
In	IN	in
those	DT	those
situations	NNS	situation
,	,	,
we	PP	we
want	VBP	want
a	DT	a
car	NN	car
that	WDT	that
is	VBZ	be
capable	JJ	capable
enough	RB	enough
to	TO	to
avoid	VB	avoid
any	DT	any
accident	NN	accident
that	WDT	that
can	MD	can
physically	RB	physically
be	VB	be
avoided	VBN	avoid
.	SENT	.
I	PP	I
must	MD	must
confess	VB	confess
