Who	WP	who
are	VBP	be
we	PP	we
?	SENT	?
That	DT	that
is	VBZ	be
the	DT	the
big	JJ	big
question	NN	question
.	SENT	.
And	CC	and
essentially	RB	essentially
we	PP	we
are	VBP	be
just	RB	just
an	DT	an
upright-	NN	<unknown>
walking	NN	walking
,	,	,
big-brained	JJ	<unknown>
,	,	,
super-intelligent	JJ	super-intelligent
ape	NN	ape
.	SENT	.
This	DT	this
could	MD	could
be	VB	be
us	PP	us
.	SENT	.
We	PP	we
belong	VBP	belong
to	TO	to
the	DT	the
family	NN	family
called	VBD	call
the	DT	the
Hominidae	NP	<unknown>
.	SENT	.
We	PP	we
are	VBP	be
the	DT	the
species	NN	species
called	VBD	call
Homo	NN	homo
sapiens	JJ	sapiens
sapiens	JJ	sapiens
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
remember	VB	remember
that	IN	that
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
our	PP$	our
place	NN	place
in	IN	in
the	DT	the
world	NN	world
today	NN	today
and	CC	and
our	PP$	our
future	NN	future
on	IN	on
planet	NN	planet
Earth	NN	earth
.	SENT	.
We	PP	we
are	VBP	be
one	CD	one
species	NNS	specie
of	IN	of
about	RB	about
five	CD	five
and	CC	and
a	DT	a
half	JJ	half
thousand	CD	thousand
mammalian	JJ	mammalian
species	NNS	specie
that	WDT	that
exist	VBP	exist
on	IN	on
planet	NN	planet
Earth	NN	earth
today	NN	today
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
just	RB	just
a	DT	a
tiny	JJ	tiny
fraction	NN	fraction
of	IN	of
all	DT	all
species	NNS	specie
that	WDT	that
have	VBP	have
ever	RB	ever
lived	VBN	live
on	IN	on
the	DT	the
planet	NN	planet
in	IN	in
past	JJ	past
times	NNS	time
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
one	CD	one
species	NNS	specie
out	RB	out
of	IN	of
approximately	RB	approximately
,	,	,
or	CC	or
let	VB	let
'	''	'
s	NNS	<unknown>
say	VBP	say
,	,	,
at	IN	at
least	JJS	least
16	CD	@card@
upright-walking	JJ	upright-walking
apes	NNS	ape
that	WDT	that
have	VBP	have
existed	VBN	exist
over	IN	over
the	DT	the
past	JJ	past
six	CD	six
to	TO	to
eight	CD	eight
million	CD	million
years	NNS	year
.	SENT	.
But	CC	but
as	RB	as
far	RB	far
as	IN	as
we	PP	we
know	VBP	know
,	,	,
we	PP	we
'	POS	'
re	NN	re
the	DT	the
only	JJ	only
upright-walking	NN	upright-walking
ape	NN	ape
that	WDT	that
exists	VBZ	exist
on	IN	on
planet	NN	planet
Earth	NN	earth
today	NN	today
,	,	,
except	IN	except
for	IN	for
the	DT	the
bonobos	NNS	<unknown>
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
remember	VB	remember
that	IN	that
,	,	,
because	IN	because
the	DT	the
bonobos	NNS	<unknown>
are	VBP	be
so	RB	so
human	JJ	human
,	,	,
and	CC	and
they	PP	they
share	VBP	share
99	CD	@card@
percent	NN	percent
of	IN	of
their	PP$	their
genes	NNS	gene
with	IN	with
us	PP	us
.	SENT	.
And	CC	and
we	PP	we
share	VBP	share
our	PP$	our
origins	NNS	origin
with	IN	with
a	DT	a
handful	NN	handful
of	IN	of
the	DT	the
living	VBG	live
great	JJ	great
apes	NNS	ape
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
remember	VB	remember
that	IN	that
we	PP	we
evolved	VBD	evolve
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
know	VBP	know
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
dirty	JJ	dirty
word	NN	word
for	IN	for
some	DT	some
people	NNS	people
,	,	,
but	CC	but
we	PP	we
evolved	VBD	evolve
from	IN	from
common	JJ	common
ancestors	NNS	ancestor
with	IN	with
the	DT	the
gorillas	NNS	gorilla
,	,	,
the	DT	the
chimpanzee	NN	chimpanzee
and	CC	and
also	RB	also
the	DT	the
bonobos	NNS	<unknown>
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
common	JJ	common
past	NN	past
,	,	,
and	CC	and
we	PP	we
have	VBP	have
a	DT	a
common	JJ	common
future	NN	future
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
important	JJ	important
to	TO	to
remember	VB	remember
that	IN	that
all	DT	all
of	IN	of
these	DT	these
great	JJ	great
apes	NNS	ape
have	VBP	have
come	VBN	come
on	RP	on
as	IN	as
long	JJ	long
and	CC	and
as	RB	as
interesting	JJ	interesting
evolutionary	JJ	evolutionary
journey	NN	journey
as	IN	as
we	PP	we
ourselves	PP	ourselves
have	VBP	have
today	NN	today
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
journey	NN	journey
that	WDT	that
is	VBZ	be
of	IN	of
such	JJ	such
interest	NN	interest
to	TO	to
humanity	NN	humanity
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
journey	NN	journey
that	WDT	that
has	VBZ	have
been	VBN	be
the	DT	the
focus	NN	focus
of	IN	of
the	DT	the
past	JJ	past
three	CD	three
generations	NNS	generation
of	IN	of
my	PP$	my
family	NN	family
,	,	,
as	IN	as
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
in	IN	in
East	NP	East
Africa	NP	Africa
looking	VBG	look
for	IN	for
the	DT	the
fossil	NN	fossil
remains	VBZ	remain
of	IN	of
our	PP$	our
ancestors	NNS	ancestor
to	TO	to
try	VB	try
and	CC	and
piece	VB	piece
together	RB	together
our	PP$	our
evolutionary	JJ	evolutionary
past	NN	past
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
we	PP	we
look	VBP	look
for	IN	for
them	PP	them
.	SENT	.
A	DT	a
group	NN	group
of	IN	of
dedicated	JJ	dedicated
young	JJ	young
men	NNS	man
and	CC	and
women	NNS	woman
walk	VBP	walk
very	RB	very
slowly	RB	slowly
out	RB	out
across	IN	across
vast	JJ	vast
areas	NNS	area
of	IN	of
Africa	NP	Africa
,	,	,
looking	VBG	look
for	IN	for
small	JJ	small
fragments	NNS	fragment
of	IN	of
bone	NN	bone
,	,	,
fossil	JJ	fossil
bone	NN	bone
,	,	,
that	WDT	that
may	MD	may
be	VB	be
on	IN	on
the	DT	the
surface	NN	surface
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
an	DT	an
example	NN	example
of	IN	of
what	WP	what
we	PP	we
may	MD	may
do	VB	do
as	IN	as
we	PP	we
walk	VBP	walk
across	IN	across
the	DT	the
landscape	NN	landscape
in	IN	in
Northern	NP	Northern
Kenya	NP	Kenya
,	,	,
looking	VBG	look
for	IN	for
fossils	NNS	fossil
.	SENT	.
I	PP	I
doubt	VBP	doubt
many	JJ	many
of	IN	of
you	PP	you
in	IN	in
the	DT	the
audience	NN	audience
can	MD	can
see	VB	see
the	DT	the
fossil	NN	fossil
that	RB	that
'	POS	'
s	NN	S
in	IN	in
this	DT	this
picture	NN	picture
,	,	,
but	CC	but
if	IN	if
you	PP	you
look	VBP	look
very	RB	very
carefully	RB	carefully
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
jaw	NN	jaw
,	,	,
a	DT	a
lower	JJR	low
jaw	NN	jaw
,	,	,
of	IN	of
a	DT	a
4	CD	@card@
.	SENT	.
1-million-	JJ	<unknown>
year-old	JJ	year-old
upright-walking	NN	upright-walking
ape	NN	ape
as	IN	as
it	PP	it
was	VBD	be
found	VBN	find
at	IN	at
Lake	NP	Lake
Turkana	NP	<unknown>
on	IN	on
the	DT	the
west	JJ	west
side	NN	side
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
extremely	RB	extremely
time-consuming	JJ	time-consuming
,	,	,
labor-intensive	JJ	labor-intensive
and	CC	and
it	PP	it
is	VBZ	be
something	NN	something
that	WDT	that
is	VBZ	be
going	VBG	go
to	TO	to
involve	VB	involve
a	DT	a
lot	NN	lot
more	JJR	more
people	NNS	people
,	,	,
to	TO	to
begin	VB	begin
to	TO	to
piece	VB	piece
together	RB	together
our	PP$	our
past	NN	past
.	SENT	.
We	PP	we
still	RB	still
really	RB	really
haven	NN	haven
'	POS	'
t	NN	t
got	VBD	get
a	DT	a
very	RB	very
complete	JJ	complete
picture	NN	picture
of	IN	of
it	PP	it
.	SENT	.
When	WRB	when
we	PP	we
find	VBP	find
a	DT	a
fossil	NN	fossil
,	,	,
we	PP	we
mark	VBP	mark
it	PP	it
.	SENT	.
Today	NN	today
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
great	JJ	great
technology	NN	technology
:	:	:
we	PP	we
have	VBP	have
GPS	NNS	<unknown>
.	SENT	.
We	PP	we
mark	VBP	mark
it	PP	it
with	IN	with
a	DT	a
GPS	NP	GPS
fix	NN	fix
,	,	,
and	CC	and
we	PP	we
also	RB	also
take	VBP	take
a	DT	a
digital	JJ	digital
photograph	NN	photograph
of	IN	of
the	DT	the
specimen	NN	specimen
,	,	,
so	RB	so
we	PP	we
could	MD	could
essentially	RB	essentially
put	VB	put
it	PP	it
back	RB	back
on	IN	on
the	DT	the
surface	NN	surface
,	,	,
exactly	RB	exactly
where	WRB	where
we	PP	we
found	VBD	find
it	PP	it
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
bring	VB	bring
all	PDT	all
this	DT	this
information	NN	information
into	IN	into
big	JJ	big
GIS	NP	GIS
packages	NNS	package
,	,	,
today	NN	today
.	SENT	.
When	WRB	when
we	PP	we
then	RB	then
find	VBP	find
something	NN	something
very	RB	very
important	JJ	important
,	,	,
like	IN	like
the	DT	the
bones	NNS	bone
of	IN	of
a	DT	a
human	JJ	human
ancestor	NN	ancestor
,	,	,
we	PP	we
begin	VBP	begin
to	TO	to
excavate	VB	excavate
it	PP	it
extremely	RB	extremely
carefully	RB	carefully
and	CC	and
slowly	RB	slowly
,	,	,
using	VBG	use
dental	JJ	dental
picks	NNS	pick
and	CC	and
fine	JJ	fine
paintbrushes	NNS	paintbrush
.	SENT	.
And	CC	and
all	PDT	all
the	DT	the
sediment	NN	sediment
is	VBZ	be
then	RB	then
put	VBN	put
through	IN	through
these	DT	these
screens	NNS	screen
,	,	,
and	CC	and
where	WRB	where
we	PP	we
go	VBP	go
again	RB	again
through	IN	through
it	PP	it
very	RB	very
carefully	RB	carefully
,	,	,
looking	VBG	look
for	IN	for
small	JJ	small
bone	NN	bone
fragments	NNS	fragment
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
then	RB	then
washed	VBN	wash
.	SENT	.
And	CC	and
these	DT	these
things	NNS	thing
are	VBP	be
so	RB	so
exciting	JJ	exciting
.	SENT	.
They	PP	they
are	VBP	be
so	RB	so
often	RB	often
the	DT	the
only	JJ	only
,	,	,
or	CC	or
the	DT	the
very	RB	very
first	JJ	first
time	NN	time
that	IN	that
anybody	NN	anybody
has	VBZ	have
ever	RB	ever
seen	VBN	see
the	DT	the
remains	VBZ	remain
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
very	RB	very
special	JJ	special
moment	NN	moment
,	,	,
when	WRB	when
my	PP$	my
mother	NN	mother
and	CC	and
myself	PP	myself
were	VBD	be
digging	VBG	dig
up	RP	up
some	DT	some
remains	VBZ	remain
of	IN	of
human	JJ	human
ancestors	NNS	ancestor
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
special	JJ	special
things	NNS	thing
to	TO	to
ever	RB	ever
do	VB	do
with	IN	with
your	PP$	your
mother	NN	mother
.	SENT	.
Not	RB	not
many	JJ	many
people	NNS	people
can	MD	can
say	VB	say
that	DT	that
.	SENT	.
But	CC	but
now	RB	now
,	,	,
let	VB	let
me	PP	me
take	VB	take
you	PP	you
back	RB	back
to	TO	to
Africa	NP	Africa
,	,	,
two	CD	two
million	CD	million
years	NNS	year
ago	RB	ago
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
just	RB	just
like	VBP	like
to	TO	to
point	VB	point
out	RP	out
,	,	,
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
map	NN	map
of	IN	of
Africa	NP	Africa
,	,	,
it	PP	it
does	VBZ	do
actually	RB	actually
look	VB	look
like	IN	like
a	DT	a
hominid	JJ	hominid
skull	NN	skull
in	IN	in
its	PP$	its
shape	NN	shape
.	SENT	.
Now	RB	now
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
go	VB	go
to	TO	to
the	DT	the
East	NP	East
African	NP	African
and	CC	and
the	DT	the
Rift	NN	rift
Valley	NP	Valley
.	SENT	.
It	PP	it
essentially	RB	essentially
runs	VBZ	run
up	RP	up
from	IN	from
the	DT	the
Gulf	NP	Gulf
of	IN	of
Aden	NP	Aden
,	,	,
or	CC	or
runs	VBZ	run
down	RP	down
to	TO	to
Lake	NP	Lake
Malawi	NP	Malawi
.	SENT	.
And	CC	and
the	DT	the
Rift	NN	rift
Valley	NP	Valley
is	VBZ	be
a	DT	a
depression	NN	depression
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
basin	NN	basin
,	,	,
and	CC	and
rivers	NNS	river
flow	VBP	flow
down	RP	down
from	IN	from
the	DT	the
highlands	NNS	highland
into	IN	into
the	DT	the
basin	NN	basin
,	,	,
carrying	VBG	carry
sediment	NN	sediment
,	,	,
preserving	VBG	preserve
the	DT	the
bones	NNS	bone
of	IN	of
animals	NNS	animal
that	WDT	that
lived	VBD	live
there	RB	there
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
to	TO	to
become	VB	become
a	DT	a
fossil	NN	fossil
,	,	,
you	PP	you
actually	RB	actually
need	VBP	need
to	TO	to
die	VB	die
somewhere	RB	somewhere
where	WRB	where
your	PP$	your
bones	NNS	bone
will	MD	will
be	VB	be
rapidly	RB	rapidly
buried	VBN	bury
.	SENT	.
You	PP	you
then	RB	then
hope	VBP	hope
that	IN	that
the	DT	the
earth	NN	earth
moves	VBZ	move
in	IN	in
such	PDT	such
a	DT	a
way	NN	way
as	RB	as
to	TO	to
bring	VB	bring
the	DT	the
bones	NNS	bone
back	RB	back
up	RB	up
to	TO	to
the	DT	the
surface	NN	surface
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
hope	VBP	hope
that	IN	that
one	CD	one
of	IN	of
us	PP	us
lot	RB	lot
will	MD	will
walk	VB	walk
around	RP	around
and	CC	and
find	VB	find
small	JJ	small
pieces	NNS	piece
of	IN	of
you	PP	you
.	SENT	.
OK	UH	OK
,	,	,
so	RB	so
it	PP	it
is	VBZ	be
absolutely	RB	absolutely
surprising	JJ	surprising
that	IN	that
we	PP	we
know	VBP	know
as	RB	as
much	RB	much
as	IN	as
we	PP	we
do	VBP	do
know	VB	know
today	NN	today
about	IN	about
our	PP$	our
ancestors	NNS	ancestor
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
incredibly	RB	incredibly
difficult	JJ	difficult
,	,	,
A	NP	A
,	,	,
for	IN	for
these	DT	these
things	NNS	thing
to	TO	to
become	VB	become
—	:	-
to	TO	to
be	VB	be
—	:	-
preserved	VBN	preserve
,	,	,
and	CC	and
secondly	RB	secondly
,	,	,
for	IN	for
them	PP	them
to	TO	to
have	VB	have
been	VBN	be
brought	VBN	bring
back	RB	back
up	RB	up
to	TO	to
the	DT	the
surface	NN	surface
.	SENT	.
And	CC	and
we	PP	we
really	RB	really
have	VBP	have
only	RB	only
spent	VBN	spend
50	CD	@card@
years	NNS	year
looking	VBG	look
for	IN	for
these	DT	these
remains	NNS	remains
,	,	,
and	CC	and
begin	VB	begin
to	TO	to
actually	RB	actually
piece	VB	piece
together	RB	together
our	PP$	our
evolutionary	JJ	evolutionary
story	NN	story
.	SENT	.
So	RB	so
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
go	VBP	go
to	TO	to
Lake	NP	Lake
Turkana	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
one	CD	one
such	JJ	such
lake	NN	lake
basin	NN	basin
in	IN	in
the	DT	the
very	JJ	very
north	NN	north
of	IN	of
our	PP$	our
country	NN	country
,	,	,
Kenya	NP	Kenya
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
look	VBP	look
north	RB	north
here	RB	here
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
river	NN	river
that	WDT	that
flows	VBZ	flow
into	IN	into
the	DT	the
lake	NN	lake
that	RB	that
'	POS	'
s	RB	<unknown>
been	VBN	be
carrying	VBG	carry
sediment	NN	sediment
and	CC	and
preserving	VBG	preserve
the	DT	the
remains	VBZ	remain
of	IN	of
the	DT	the
animals	NNS	animal
that	WDT	that
lived	VBD	live
there	RB	there
.	SENT	.
Fossil	JJ	fossil
sites	NNS	site
run	VBP	run
up	RP	up
and	CC	and
down	RP	down
both	DT	both
lengths	NNS	length
of	IN	of
that	DT	that
lake	NN	lake
basin	NN	basin
,	,	,
which	WDT	which
represents	VBZ	represent
some	DT	some
20	CD	@card@
,	,	,
000	CD	@card@
square	JJ	square
miles	NNS	mile
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
huge	JJ	huge
job	NN	job
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
on	IN	on
our	PP$	our
hands	NNS	hand
.	SENT	.
Two	CD	two
million	CD	million
