Hello	UH	hello
and	CC	and
welcome	VB	welcome
to	TO	to
this	DT	this
special	JJ	special
report	NN	report
where	WRB	where
we	PP	we
take	VBP	take
a	DT	a
look	NN	look
at	IN	at
the	DT	the
big	JJ	big
events	NNS	event
that	WDT	that
have	VBP	have
shaped	VBN	shape
our	PP$	our
world	NN	world
in	IN	in
the	DT	the
last	JJ	last
12	CD	@card@
months	NNS	month
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
Angus	NP	Angus
Hervey	NP	Hervey
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
news	NN	news
.	SENT	.
We	PP	we
begin	VBP	begin
our	PP$	our
broadcast	NN	broadcast
with	IN	with
a	DT	a
story	NN	story
that	WDT	that
has	VBZ	have
dominated	VBN	dominate
headlines	NNS	headline
this	DT	this
past	JJ	past
year	NN	year
,	,	,
Russia	NP	Russia
'	POS	'
s	JJ	<unknown>
invasion	NN	invasion
of	IN	of
Ukraine	NP	Ukraine
.	SENT	.
The	DT	the
war	NN	war
has	VBZ	have
inflicted	VBN	inflict
a	DT	a
terrible	JJ	terrible
human	JJ	human
toll	NN	toll
,	,	,
plunging	VBG	plunge
millions	NNS	million
into	IN	into
an	DT	an
unrelenting	JJ	unrelenting
conflict	NN	conflict
,	,	,
dramatically	RB	dramatically
upending	VBG	upend
international	JJ	international
politics	NNS	politics
and	CC	and
sparking	VBG	spark
turmoil	NN	turmoil
in	IN	in
energy	NN	energy
markets	NNS	market
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
Perhaps	RB	perhaps
the	DT	the
only	JJ	only
thing	NN	thing
scarier	JJR	scary
than	IN	than
a	DT	a
war	NN	war
like	IN	like
this	DT	this
is	VBZ	be
the	DT	the
prospect	NN	prospect
of	IN	of
our	PP$	our
planet	NN	planet
being	VBG	be
ruined	VBN	ruin
by	IN	by
climate	NN	climate
change	NN	change
.	SENT	.
However	RB	however
,	,	,
on	IN	on
that	DT	that
front	NN	front
,	,	,
the	DT	the
news	NN	news
has	VBZ	have
been	VBN	be
somewhat	RB	somewhat
better	JJR	good
.	SENT	.
Specifically	RB	specifically
as	IN	as
a	DT	a
result	NN	result
of	IN	of
this	DT	this
crisis	NN	crisis
,	,	,
the	DT	the
global	JJ	global
fight	NN	fight
against	IN	against
climate	NN	climate
change	NN	change
has	VBZ	have
accelerated	VBN	accelerate
.	SENT	.
In	IN	in
response	NN	response
to	TO	to
Putin	NP	<unknown>
'	POS	'
s	JJ	<unknown>
attempt	NN	attempt
to	TO	to
use	VB	use
gas	NN	gas
and	CC	and
oil	NN	oil
as	IN	as
weapons	NNS	weapon
,	,	,
Europe	NP	Europe
has	VBZ	have
doubled	VBN	double
down	RP	down
on	IN	on
green	JJ	green
energy	NN	energy
.	SENT	.
Last	JJ	last
year	NN	year
,	,	,
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
ever	RB	ever
,	,	,
wind	NN	wind
and	CC	and
solar	JJ	solar
overtook	VBD	overtake
gas	NN	gas
,	,	,
nuclear	JJ	nuclear
or	CC	or
coal	NN	coal
as	IN	as
the	DT	the
continent	NN	continent
'	POS	'
s	JJ	<unknown>
largest	JJS	large
source	NN	source
of	IN	of
electricity	NN	electricity
.	SENT	.
And	CC	and
analysts	NNS	analyst
say	VBP	say
that	IN	that
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
war	NN	war
,	,	,
Europe	NP	Europe
'	POS	'
s	JJ	<unknown>
timeline	NN	timeline
for	IN	for
ditching	VBG	ditch
fossil	JJ	fossil
fuels	NNS	fuel
has	VBZ	have
accelerated	VBN	accelerate
by	IN	by
up	RB	up
to	TO	to
a	DT	a
decade	NN	decade
.	SENT	.
Staying	VBG	stay
with	IN	with
the	DT	the
climate	NN	climate
,	,	,
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
,	,	,
a	DT	a
new	JJ	new
law	NN	law
has	VBZ	have
committed	VBN	commit
hundreds	NNS	hundred
of	IN	of
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
of	IN	of
investment	NN	investment
into	IN	into
renewables	NNS	<unknown>
and	CC	and
electric	JJ	electric
vehicles	NNS	vehicle
,	,	,
putting	VBG	put
the	DT	the
country	NN	country
on	IN	on
track	NN	track
to	TO	to
getting	VBG	get
80	CD	@card@
percent	NN	percent
of	IN	of
its	PP$	its
electricity	NN	electricity
from	IN	from
carbon-free	JJ	<unknown>
sources	NNS	source
by	IN	by
the	DT	the
end	NN	end
of	IN	of
this	DT	this
decade	NN	decade
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
race	NN	race
to	TO	to
build	VB	build
more	RBR	more
clean	JJ	clean
energy	NN	energy
,	,	,
China	NP	China
is	VBZ	be
way	RB	way
ahead	RB	ahead
of	IN	of
both	DT	both
Europe	NP	Europe
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
The	DT	the
country	NN	country
is	VBZ	be
now	RB	now
installing	VBG	install
enough	JJ	enough
solar	JJ	solar
panels	NNS	panel
every	DT	every
day	NN	day
to	TO	to
cover	VB	cover
an	DT	an
area	NN	area
the	DT	the
size	NN	size
of	IN	of
New	NP	New
York	NP	York
'	POS	'
s	NN	S
Central	NP	Central
Park	NP	Park
.	SENT	.
At	IN	at
the	DT	the
current	JJ	current
rate	NN	rate
,	,	,
China	NP	China
will	MD	will
reach	VB	reach
its	PP$	its
climate	NN	climate
targets	VBZ	target
years	NNS	year
ahead	RB	ahead
of	IN	of
schedule	NN	schedule
.	SENT	.
The	DT	the
energy	NN	energy
revolution	NN	revolution
has	VBZ	have
arrived	VBN	arrive
.	SENT	.
Global	JJ	global
fossil	JJ	fossil
fuel	NN	fuel
emissions	NNS	emission
are	VBP	be
now	RB	now
predicted	VBN	predict
to	TO	to
peak	VB	peak
within	IN	within
less	JJR	less
than	IN	than
two	CD	two
years	NNS	year
,	,	,
and	CC	and
the	DT	the
International	NP	International
Energy	NP	Energy
Agency	NP	Agency
says	VBZ	say
that	DT	that
wind	NN	wind
,	,	,
water	NN	water
and	CC	and
sunshine	NN	sunshine
will	MD	will
become	VB	become
the	DT	the
planet	NN	planet
'	POS	'
s	JJ	<unknown>
largest	JJS	large
sources	NNS	source
of	IN	of
electricity	NN	electricity
by	IN	by
2025	CD	@card@
.	SENT	.
To	TO	to
global	JJ	global
health	NN	health
.	SENT	.
Where	WRB	where
many	JJ	many
countries	NNS	country
are	VBP	be
still	RB	still
struggling	VBG	struggle
in	IN	in
the	DT	the
aftermath	NN	aftermath
of	IN	of
the	DT	the
COVID-19	NP	<unknown>
pandemic	NN	pandemic
,	,	,
less	RBR	less
widely	RB	widely
reported	VBN	report
is	VBZ	be
the	DT	the
news	NN	news
that	IN	that
last	JJ	last
year	NN	year
,	,	,
eight	CD	eight
countries	NNS	country
eliminated	VBN	eliminate
