Cultural	JJ	cultural
evolution	NN	evolution
is	VBZ	be
a	DT	a
dangerous	JJ	dangerous
child	NN	child
for	IN	for
any	DT	any
species	NN	species
to	TO	to
let	VB	let
loose	RB	loose
on	IN	on
its	PP$	its
planet	NN	planet
.	SENT	.
By	IN	by
the	DT	the
time	NN	time
you	PP	you
realize	VBP	realize
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
,	,	,
the	DT	the
child	NN	child
is	VBZ	be
a	DT	a
toddler	NN	toddler
,	,	,
up	RB	up
and	CC	and
causing	VBG	cause
havoc	NN	havoc
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
too	RB	too
late	JJ	late
to	TO	to
put	VB	put
it	PP	it
back	RB	back
.	SENT	.
We	PP	we
humans	NNS	human
are	VBP	be
Earth	NP	Earth
'	POS	'
s	JJ	<unknown>
Pandoran	NP	Pandoran
species	NNS	specie
.	SENT	.
We	PP	we
'	''	'
re	IN	re
the	DT	the
ones	NNS	one
who	WP	who
let	VBP	let
the	DT	the
second	JJ	second
replicator	NN	<unknown>
out	IN	out
of	IN	of
its	PP$	its
box	NN	box
,	,	,
and	CC	and
we	PP	we
can	MD	can
'	''	'
t	NN	t
push	VB	push
it	PP	it
back	RB	back
in	RP	in
.	SENT	.
We	PP	we
'	''	'
re	IN	re
seeing	VBG	see
the	DT	the
consequences	NNS	consequence
all	RB	all
around	IN	around
us	PP	us
.	SENT	.
Now	RB	now
that	RB	that
,	,	,
I	PP	I
suggest	VBP	suggest
,	,	,
is	VBZ	be
the	DT	the
view	NN	view
that	WDT	that
comes	VBZ	come
out	RP	out
of	IN	of
taking	VBG	take
memetics	NNS	memetic
seriously	RB	seriously
.	SENT	.
And	CC	and
it	PP	it
gives	VBZ	give
us	PP	us
a	DT	a
new	JJ	new
way	NN	way
of	IN	of
thinking	VBG	think
about	RB	about
not	RB	not
only	RB	only
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
on	IN	on
our	PP$	our
planet	NN	planet
,	,	,
but	CC	but
what	WP	what
might	MD	might
be	VB	be
going	VBG	go
on	IN	on
elsewhere	RB	elsewhere
in	IN	in
the	DT	the
cosmos	NN	cosmos
.	SENT	.
So	RB	so
first	JJ	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
say	VB	say
something	NN	something
about	IN	about
memetics	NNS	memetic
and	CC	and
the	DT	the
theory	NN	theory
of	IN	of
memes	NNS	<unknown>
,	,	,
and	CC	and
secondly	RB	secondly
,	,	,
how	WRB	how
this	DT	this
might	MD	might
answer	VB	answer
questions	NNS	question
about	IN	about
who	WP	who
'	POS	'
s	NN	S
out	IN	out
there	RB	there
,	,	,
if	IN	if
indeed	RB	indeed
anyone	NN	anyone
is	VBZ	be
.	SENT	.
So	RB	so
,	,	,
memetics	NNS	memetic
:	:	:
memetics	NN	<unknown>
is	VBZ	be
founded	VBN	found
on	IN	on
the	DT	the
principle	NN	principle
of	IN	of
Universal	NP	Universal
Darwinism	NP	Darwinism
.	SENT	.
Darwin	NP	Darwin
had	VBD	have
this	DT	this
amazing	JJ	amazing
idea	NN	idea
.	SENT	.
Indeed	RB	indeed
,	,	,
some	DT	some
people	NNS	people
say	VBP	say
it	PP	it
'	''	'
s	VBG	<unknown>
the	DT	the
best	JJS	good
idea	NN	idea
anybody	NN	anybody
ever	RB	ever
had	VBD	have
.	SENT	.
Isn	NP	Isn
'	POS	'
t	NN	t
that	IN	that
a	DT	a
wonderful	JJ	wonderful
thought	NN	thought
,	,	,
that	IN	that
there	EX	there
could	MD	could
be	VB	be
such	PDT	such
a	DT	a
thing	NN	thing
as	IN	as
a	DT	a
best	JJS	good
idea	NN	idea
anybody	NN	anybody
ever	RB	ever
had	VBD	have
?	SENT	?
Do	VBP	do
you	PP	you
think	VBP	think
there	EX	there
could	MD	could
?	SENT	?
Audience	NN	audience
:	:	:
No	UH	no
.	SENT	.
Susan	NP	Susan
Blackmore	NP	Blackmore
:	:	:
Someone	NN	someone
says	VBZ	say
no	RB	no
,	,	,
very	RB	very
loudly	RB	loudly
,	,	,
from	IN	from
over	IN	over
there	RB	there
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
say	VBP	say
yes	RB	yes
,	,	,
and	CC	and
if	IN	if
there	EX	there
is	VBZ	be
,	,	,
I	PP	I
give	VBP	give
the	DT	the
prize	NN	prize
to	TO	to
Darwin	NP	Darwin
.	SENT	.
Why	WRB	why
?	SENT	?
Because	IN	because
the	DT	the
idea	NN	idea
was	VBD	be
so	RB	so
simple	JJ	simple
,	,	,
and	CC	and
yet	RB	yet
it	PP	it
explains	VBZ	explain
all	DT	all
design	NN	design
in	IN	in
the	DT	the
universe	NN	universe
.	SENT	.
I	PP	I
would	MD	would
say	VB	say
not	RB	not
just	RB	just
biological	JJ	biological
design	NN	design
,	,	,
but	CC	but
all	DT	all
