Nadia	NP	Nadia
Drake	NP	Drake
:	:	:
Well	UH	well
,	,	,
I	PP	I
do	VBP	do
want	VB	want
to	TO	to
ask	VB	ask
you	PP	you
about	IN	about
the	DT	the
sharpest	JJS	sharp
new	JJ	new
shiny	JJ	shiny
space	NN	space
telescope	NN	telescope
in	IN	in
the	DT	the
shed	NN	shed
which	WDT	which
happens	VBZ	happen
to	TO	to
be	VB	be
here	RB	here
,	,	,
the	DT	the
James	NP	James
Webb	NP	Webb
Space	NP	Space
Telescope	NN	telescope
,	,	,
or	CC	or
JWST	NP	<unknown>
.	SENT	.
Heidi	NP	Heidi
Hammel	NP	Hammel
:	:	:
We	PP	we
already	RB	already
knew	VBD	know
back	RB	back
then	RB	then
in	IN	in
the	DT	the
late	RB	late
80s	JJ	<unknown>
,	,	,
1990s	NNS	1990s
,	,	,
that	IN	that
the	DT	the
universe	NN	universe
was	VBD	be
expanding	VBG	expand
.	SENT	.
And	CC	and
we	PP	we
knew	VBD	know
that	IN	that
to	TO	to
see	VB	see
the	DT	the
very	RB	very
first	JJ	first
galaxies	NNS	galaxy
and	CC	and
maybe	RB	maybe
even	RB	even
the	DT	the
first	JJ	first
stars	NNS	star
that	WDT	that
ever	RB	ever
formed	VBD	form
in	IN	in
the	DT	the
universe	NN	universe
--	:	--
Because	IN	because
of	IN	of
the	DT	the
expansion	NN	expansion
of	IN	of
the	DT	the
universe	NN	universe
,	,	,
the	DT	the
light	NN	light
from	IN	from
those	DT	those
galaxies	NNS	galaxy
is	VBZ	be
likewise	RB	likewise
expanded	VBN	expand
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
shifted	VBD	shift
from	IN	from
blue	JJ	blue
wavelengths	NNS	wavelength
to	TO	to
longer	JJR	long
wavelengths	NNS	wavelength
,	,	,
red	JJ	red
wavelengths	NNS	wavelength
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
concept	NN	concept
then	RB	then
for	IN	for
the	DT	the
next	JJ	next
generation	NN	generation
space	NN	space
telescope	NN	telescope
was	VBD	be
to	TO	to
build	VB	build
an	DT	an
advanced	JJ	advanced
telescope	NN	telescope
that	WDT	that
really	RB	really
focused	VBD	focus
on	IN	on
the	DT	the
infrared	JJ	infrared
part	NN	part
of	IN	of
the	DT	the
spectrum	NN	spectrum
,	,	,
because	IN	because
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
could	MD	could
see	VB	see
the	DT	the
first	JJ	first
stars	NNS	star
and	CC	and
the	DT	the
first	JJ	first
galaxies	NNS	galaxy
.	SENT	.
I	PP	I
knew	VBD	know
that	IN	that
this	DT	this
telescope	NN	telescope
that	WDT	that
was	VBD	be
being	VBG	be
built	VBN	build
to	TO	to
find	VB	find
it	PP	it
,	,	,
to	TO	to
probe	VB	probe
the	DT	the
light	NN	light
from	IN	from
the	DT	the
first	JJ	first
galaxies	NNS	galaxy
,	,	,
would	MD	would
also	RB	also
be	VB	be
a	DT	a
fabulous	JJ	fabulous
tool	NN	tool
to	TO	to
study	VB	study
Neptune	NP	Neptune
and	CC	and
Uranus	NP	Uranus
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
just	RB	just
knew	VBD	know
that	IN	that
because	IN	because
I	PP	I
knew	VBD	know
it	PP	it
would	MD	would
be	VB	be
big	JJ	big
enough	RB	enough
.	SENT	.
I	PP	I
knew	VBD	know
that	IN	that
because	IN	because
it	PP	it
was	VBD	be
a	DT	a
space	NN	space
telescope	NN	telescope
,	,	,
the	DT	the
images	NNS	image
would	MD	would
be	VB	be
stable	JJ	stable
and	CC	and
pristine	JJ	pristine
.	SENT	.
And	CC	and
I	PP	I
knew	VBD	know
that	IN	that
these	DT	these
wavelengths	NNS	wavelength
of	IN	of
light	NN	light
in	IN	in
the	DT	the
infrared	NN	infrared
had	VBD	have
all	DT	all
sorts	NNS	sort
of	IN	of
interesting	JJ	interesting
molecular	JJ	molecular
signatures	NNS	signature
so	RB	so
that	IN	that
we	PP	we
could	MD	could
learn	VB	learn
about	IN	about
the	DT	the
upper	JJ	upper
atmospheres	NNS	atmosphere
of	IN	of
these	DT	these
planets	NNS	planet
.	SENT	.
And	CC	and
so	IN	so
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
in	IN	in
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
do	VBP	do
this	DT	this
.	SENT	.
"	''	"
So	RB	so
in	IN	in
2002	CD	@card@
,	,	,
I	PP	I
wrote	VBD	write
a	DT	a
proposal	NN	proposal
saying	VBG	say
I	PP	I
would	MD	would
like	VB	like
to	TO	to
be	VB	be
an	DT	an
interdisciplinary	JJ	interdisciplinary
scientist	NN	scientist
for	IN	for
this	DT	this
program	NN	program
to	TO	to
ensure	VB	ensure
that	IN	that
this	DT	this
telescope	NN	telescope
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
do	VB	do
solar	JJ	solar
system	NN	system
observations	NNS	observation
when	WRB	when
it	PP	it
is	VBZ	be
launched	VBN	launch
.	SENT	.
And	CC	and
in	IN	in
2003	CD	@card@
,	,	,
my	PP$	my
proposal	NN	proposal
was	VBD	be
accepted	VBN	accept
,	,	,
and	CC	and
that	DT	that
was	VBD	be
how	WRB	how
I	PP	I
formally	RB	formally
became	VBD	become
involved	VBN	involve
in	IN	in
this	DT	this
telescope	NN	telescope
.	SENT	.
So	RB	so
Webb	NP	Webb
--	:	--
It	PP	it
'	POS	'
s	NNS	<unknown>
different	JJ	different
than	IN	than
Hubble	NP	Hubble
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
different	JJ	different
kind	NN	kind
of	IN	of
telescope	NN	telescope
for	IN	for
a	DT	a
number	NN	number
of	IN	of
reasons	NNS	reason
.	SENT	.
One	PP	one
is	VBZ	be
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
bigger	JJR	big
than	IN	than
Hubble	NP	Hubble
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
six-and-a-half-meter	NN	six-and-a-half-meter
mirror	NN	mirror
--	:	--
the	DT	the
golden	JJ	golden
mirror	NN	mirror
,	,	,
the	DT	the
collecting	VBG	collect
area	NN	area
--	:	--
versus	CC	versus
