How	WRB	how
will	MD	will
we	PP	we
be	VB	be
remembered	VBN	remember
in	IN	in
200	CD	@card@
years	NNS	year
?	SENT	?
I	PP	I
happen	VBP	happen
to	TO	to
live	VB	live
in	IN	in
a	DT	a
little	JJ	little
town	NN	town
,	,	,
Princeton	NP	Princeton
,	,	,
in	IN	in
New	NP	New
Jersey	NP	Jersey
,	,	,
which	WDT	which
every	DT	every
year	NN	year
celebrates	VBZ	celebrate
the	DT	the
great	JJ	great
event	NN	event
in	IN	in
Princeton	NP	Princeton
history	NN	history
:	:	:
the	DT	the
Battle	NN	battle
of	IN	of
Princeton	NP	Princeton
,	,	,
which	WDT	which
was	VBD	be
,	,	,
in	IN	in
fact	NN	fact
,	,	,
a	DT	a
very	RB	very
important	JJ	important
battle	NN	battle
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
first	JJ	first
battle	NN	battle
that	IN	that
George	NP	George
Washington	NP	Washington
won	VBD	win
,	,	,
in	IN	in
fact	NN	fact
,	,	,
and	CC	and
was	VBD	be
pretty	RB	pretty
much	JJ	much
of	IN	of
a	DT	a
turning	VBG	turn
point	NN	point
in	IN	in
the	DT	the
war	NN	war
of	IN	of
independence	NN	independence
.	SENT	.
It	PP	it
happened	VBD	happen
225	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
It	PP	it
was	VBD	be
actually	RB	actually
a	DT	a
terrible	JJ	terrible
disaster	NN	disaster
for	IN	for
Princeton	NP	Princeton
.	SENT	.
The	DT	the
town	NN	town
was	VBD	be
burned	VBN	burn
down	RP	down
;	:	;
it	PP	it
was	VBD	be
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
winter	NN	winter
,	,	,
and	CC	and
it	PP	it
was	VBD	be
a	DT	a
very	JJ	very
,	,	,
very	RB	very
severe	JJ	severe
winter	NN	winter
.	SENT	.
And	CC	and
about	IN	about
a	DT	a
quarter	NN	quarter
of	IN	of
all	PDT	all
the	DT	the
people	NNS	people
in	IN	in
Princeton	NP	Princeton
died	VBD	die
that	DT	that
winter	NN	winter
from	IN	from
hunger	NN	hunger
and	CC	and
cold	JJ	cold
,	,	,
but	CC	but
nobody	NN	nobody
remembers	VBZ	remember
that	DT	that
.	SENT	.
What	WP	what
they	PP	they
remember	VBP	remember
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
the	DT	the
great	JJ	great
triumph	NN	triumph
,	,	,
that	IN	that
the	DT	the
Brits	NNS	brit
were	VBD	be
beaten	VBN	beat
,	,	,
and	CC	and
we	PP	we
won	VBD	win
,	,	,
and	CC	and
that	IN	that
the	DT	the
country	NN	country
was	VBD	be
born	VBN	bear
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
agree	VBP	agree
very	RB	very
emphatically	RB	emphatically
that	IN	that
the	DT	the
pain	NN	pain
of	IN	of
childbirth	NN	childbirth
is	VBZ	be
not	RB	not
remembered	VBN	remember
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
child	NN	child
that	RB	that
'	POS	'
s	NN	S
remembered	VBD	remember
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
'	''	'
re	IN	re
going	VBG	go
through	RP	through
at	IN	at
this	DT	this
time	NN	time
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
just	RB	just
talk	VB	talk
for	IN	for
one	CD	one
minute	NN	minute
about	IN	about
the	DT	the
future	NN	future
of	IN	of
biotechnology	NN	biotechnology
,	,	,
because	IN	because
I	PP	I
think	VBP	think
I	PP	I
know	VBP	know
very	RB	very
little	JJ	little
about	IN	about
that	DT	that
—	:	-
I	PP	I
'	POS	'
m	NN	m
not	RB	not
a	DT	a
biologist	NN	biologist
—	:	-
so	RB	so
everything	NN	everything
I	PP	I
know	VBP	know
about	RB	about
it	PP	it
can	MD	can
be	VB	be
said	VBN	say
in	IN	in
one	CD	one
minute	NN	minute
.	SENT	.
What	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
is	VBZ	be
that	IN	that
we	PP	we
should	MD	should
follow	VB	follow
the	DT	the
model	NN	model
that	WDT	that
has	VBZ	have
been	VBN	be
so	RB	so
successful	JJ	successful
with	IN	with
the	DT	the
electronic	JJ	electronic
industry	NN	industry
,	,	,
that	IN	that
what	WP	what
really	RB	really
turned	VBD	turn
computers	NNS	computer
into	IN	into
a	DT	a
great	JJ	great
success	NN	success
,	,	,
in	IN	in
the	DT	the
world	NN	world
as	IN	as
a	DT	a
whole	NN	whole
,	,	,
is	VBZ	be
toys	NNS	toy
.	SENT	.
As	RB	as
soon	RB	soon
as	IN	as
computers	NNS	computer
became	VBD	become
toys	NNS	toy
,	,	,
when	WRB	when
kids	NNS	kid
could	MD	could
come	VB	come
home	NN	home
and	CC	and
play	VB	play
with	IN	with
them	PP	them
,	,	,
then	RB	then
the	DT	the
industry	NN	industry
really	RB	really
took	VBD	take
off	RP	off
.	SENT	.
And	CC	and
that	WDT	that
has	VBZ	have
to	TO	to
happen	VB	happen
with	IN	with
biotech	NN	biotech
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
huge	JJ	huge
—	:	-
—	:	-
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
huge	JJ	huge
community	NN	community
of	IN	of
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
who	WP	who
are	VBP	be
practical	JJ	practical
biologists	NNS	biologist
,	,	,
who	WP	who
are	VBP	be
dog	NN	dog
breeders	NNS	breeder
,	,	,
pigeon	NN	pigeon
breeders	NNS	breeder
,	,	,
orchid	NN	orchid
breeders	NNS	breeder
,	,	,
rose	VBD	rise
breeders	NNS	breeder
,	,	,
people	NNS	people
who	WP	who
handle	VBP	handle
biology	NN	biology
with	IN	with
their	PP$	their
hands	NNS	hand
,	,	,
and	CC	and
who	WP	who
are	VBP	be
dedicated	VBN	dedicate
to	TO	to
producing	VBG	produce
beautiful	JJ	beautiful
things	NNS	thing
,	,	,
beautiful	JJ	beautiful
creatures	NNS	creature
,	,	,
plants	NNS	plant
,	,	,
animals	NNS	animal
,	,	,
pets	NNS	pet
.	SENT	.
These	DT	these
people	NNS	people
will	MD	will
be	VB	be
empowered	VBN	empower
with	IN	with
biotech	NN	biotech
,	,	,
and	CC	and
that	WDT	that
will	MD	will
be	VB	be
an	DT	an
enormous	JJ	enormous
positive	JJ	positive
step	NN	step
to	TO	to
acceptance	NN	acceptance
of	IN	of
biotechnology	NN	biotechnology
.	SENT	.
That	DT	that
will	MD	will
blow	VB	blow
away	RP	away
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
opposition	NN	opposition
.	SENT	.
When	WRB	when
people	NNS	people
have	VBP	have
this	DT	this
technology	NN	technology
in	IN	in
their	PP$	their
hands	NNS	hand
,	,	,
you	PP	you
have	VBP	have
a	DT	a
do-it-yourself	JJ	do-it-yourself
biotech	NN	biotech
kit	NN	kit
,	,	,
grow	VB	grow
your	PP$	your
own	JJ	own
—	:	-
grow	VB	grow
your	PP$	your
dog	NN	dog
,	,	,
grow	VB	grow
your	PP$	your
own	JJ	own
cat	NN	cat
.	SENT	.
Just	RB	just
buy	VB	buy
the	DT	the
software	NN	software
,	,	,
you	PP	you
design	VBP	design
it	PP	it
.	SENT	.
I	PP	I
won	VBD	win
'	''	'
t	NN	t
say	VBP	say
anymore	RB	anymore
,	,	,
you	PP	you
can	MD	can
take	VB	take
it	PP	it
on	RP	on
from	IN	from
there	RB	there
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
,	,	,
and	CC	and
I	PP	I
think	VBP	think
it	PP	it
has	VBZ	have
to	TO	to
happen	VB	happen
before	IN	before
the	DT	the
technology	NN	technology
becomes	VBZ	become
natural	JJ	natural
,	,	,
becomes	VBZ	become
part	NN	part
of	IN	of
the	DT	the
human	JJ	human
condition	NN	condition
,	,	,
something	NN	something
that	DT	that
everybody	NN	everybody
'	POS	'
s	NNS	<unknown>
familiar	JJ	familiar
with	IN	with
and	CC	and
everybody	NN	everybody
accepts	VBZ	accept
.	SENT	.
So	RB	so
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
leave	VBP	leave
that	IN	that
aside	RB	aside
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
something	NN	something
quite	RB	quite
different	JJ	different
,	,	,
which	WDT	which
is	VBZ	be
what	WP	what
I	PP	I
know	VBP	know
about	RB	about
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
astronomy	NN	astronomy
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
interested	JJ	interested
in	IN	in
searching	VBG	search
for	IN	for
life	NN	life
in	IN	in
the	DT	the
universe	NN	universe
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
open	JJ	open
to	TO	to
us	PP	us
to	TO	to
introduce	VB	introduce
a	DT	a
new	JJ	new
way	NN	way
of	IN	of
doing	VBG	do
that	IN	that
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
ll	NNS	<unknown>
talk	VBP	talk
about	RB	about
for	IN	for
10	CD	@card@
minutes	NNS	minute
,	,	,
or	CC	or
whatever	WDT	whatever
the	DT	the
time	NN	time
remains	VBZ	remain
.	SENT	.
The	DT	the
important	JJ	important
fact	NN	fact
is	VBZ	be
,	,	,
that	IN	that
most	JJS	most
of	IN	of
the	DT	the
real	JJ	real
estate	NN	estate
that	RB	that
'	POS	'
s	NN	S
accessible	JJ	accessible
to	TO	to
us	PP	us
—	:	-
I	PP	I
'	POS	'
m	NN	m
