You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
talked	VBD	talk
about	IN	about
some	DT	some
of	IN	of
these	DT	these
projects	NNS	project
before	IN	before
â	NP	<unknown>
about	IN	about
the	DT	the
human	JJ	human
genome	NN	genome
and	CC	and
what	WP	what
that	WDT	that
might	MD	might
mean	VB	mean
,	,	,
and	CC	and
discovering	VBG	discover
new	JJ	new
sets	NNS	set
of	IN	of
genes	NNS	gene
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
actually	RB	actually
starting	VBG	start
at	IN	at
a	DT	a
new	JJ	new
point	NN	point
:	:	:
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
digitizing	VBG	digitize
biology	NN	biology
,	,	,
and	CC	and
now	RB	now
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
go	VB	go
from	IN	from
that	DT	that
digital	JJ	digital
code	NN	code
into	IN	into
a	DT	a
new	JJ	new
phase	NN	phase
of	IN	of
biology	NN	biology
with	IN	with
designing	VBG	design
and	CC	and
synthesizing	VBG	synthesize
life	NN	life
.	SENT	.
So	RB	so
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
always	RB	always
been	VBN	be
trying	VBG	try
to	TO	to
ask	VB	ask
big	JJ	big
questions	NNS	question
.	SENT	.
"	``	"
What	WP	what
is	VBZ	be
life	NN	life
?	SENT	?
"	``	"
is	VBZ	be
something	NN	something
that	IN	that
I	PP	I
think	VBP	think
many	JJ	many
biologists	NNS	biologist
have	VBP	have
been	VBN	be
trying	VBG	try
to	TO	to
understand	VB	understand
at	IN	at
various	JJ	various
levels	NNS	level
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
tried	VBD	try
various	JJ	various
approaches	NNS	approach
,	,	,
paring	VBG	pare
it	PP	it
down	RP	down
to	TO	to
minimal	JJ	minimal
components	NNS	component
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
digitizing	VBG	digitize
it	PP	it
now	RB	now
for	IN	for
almost	RB	almost
20	CD	@card@
years	NNS	year
;	:	;
when	WRB	when
we	PP	we
sequenced	VBD	<unknown>
the	DT	the
human	JJ	human
genome	NN	genome
,	,	,
it	PP	it
was	VBD	be
going	VBG	go
from	IN	from
the	DT	the
analog	JJ	analog
world	NN	world
of	IN	of
biology	NN	biology
into	IN	into
the	DT	the
digital	JJ	digital
world	NN	world
of	IN	of
the	DT	the
computer	NN	computer
.	SENT	.
Now	RB	now
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
ask	VB	ask
,	,	,
"	``	"
Can	MD	can
we	PP	we
regenerate	VB	regenerate
life	NN	life
or	CC	or
can	MD	can
we	PP	we
create	VB	create
new	JJ	new
life	NN	life
out	RP	out
of	IN	of
this	DT	this
digital	JJ	digital
universe	NN	universe
?	SENT	?
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
map	NN	map
of	IN	of
a	DT	a
small	JJ	small
organism	NN	organism
,	,	,
Mycoplasma	NP	<unknown>
genitalium	NN	<unknown>
,	,	,
that	WDT	that
has	VBZ	have
the	DT	the
smallest	JJS	small
genome	NN	genome
