Back	RB	back
in	IN	in
2003	CD	@card@
,	,	,
the	DT	the
UK	NP	UK
government	NN	government
carried	VBD	carry
out	RP	out
a	DT	a
survey	NN	survey
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
a	DT	a
survey	NN	survey
that	WDT	that
measured	VBD	measure
levels	NNS	level
of	IN	of
numeracy	NN	numeracy
in	IN	in
the	DT	the
population	NN	population
.	SENT	.
And	CC	and
they	PP	they
were	VBD	be
shocked	VBN	shock
to	TO	to
find	VB	find
out	RP	out
that	IN	that
for	IN	for
every	DT	every
100	CD	@card@
working	VBG	work
age	NN	age
adults	NNS	adult
in	IN	in
the	DT	the
country	NN	country
,	,	,
47	CD	@card@
of	IN	of
them	PP	them
lacked	VBD	lack
Level	NP	Level
1	CD	@card@
numeracy	NN	numeracy
skills	NNS	skill
.	SENT	.
Now	RB	now
,	,	,
Level	NP	Level
1	CD	@card@
numeracy	NN	numeracy
skills	NNS	skill
â	NP	<unknown>
that	IN	that
'	POS	'
s	JJ	<unknown>
low-end	JJ	low-end
GCSE	NN	<unknown>
score	NN	score
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
ability	NN	ability
to	TO	to
deal	VB	deal
with	IN	with
fractions	NNS	fraction
,	,	,
percentages	NNS	percentage
and	CC	and
decimals	NNS	decimal
.	SENT	.
So	IN	so
this	DT	this
figure	NN	figure
prompted	VBD	prompt
a	DT	a
lot	NN	lot
of	IN	of
hand-wringing	NN	hand-wringing
in	IN	in
Whitehall	NP	Whitehall
.	SENT	.
Policies	NNS	policy
were	VBD	be
changed	VBN	change
,	,	,
investments	NNS	investment
were	VBD	be
made	VBN	make
,	,	,
and	CC	and
then	RB	then
they	PP	they
ran	VBD	run
the	DT	the
survey	NN	survey
again	RB	again
in	IN	in
2011	CD	@card@
.	SENT	.
So	RB	so
can	MD	can
you	PP	you
guess	VB	guess
what	WP	what
happened	VBD	happen
to	TO	to
this	DT	this
number	NN	number
?	SENT	?
It	PP	it
went	VBD	go
up	RP	up
to	TO	to
49	CD	@card@
.	SENT	.
And	CC	and
in	IN	in
fact	NN	fact
,	,	,
when	WRB	when
I	PP	I
reported	VBD	report
this	DT	this
figure	NN	figure
in	IN	in
the	DT	the
FT	NP	FT
,	,	,
one	CD	one
of	IN	of
our	PP$	our
readers	NNS	reader
joked	VBD	joke
and	CC	and
said	VBD	say
,	,	,
"	``	"
This	DT	this
figure	NN	figure
is	VBZ	be
only	RB	only
shocking	JJ	shocking
to	TO	to
51	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
population	NN	population
.	SENT	.
"	``	"
But	CC	but
I	PP	I
preferred	VBD	prefer
,	,	,
actually	RB	actually
,	,	,
the	DT	the
reaction	NN	reaction
of	IN	of
a	DT	a
schoolchild	NN	schoolchild
when	WRB	when
I	PP	I
presented	VBD	present
at	IN	at
a	DT	a
school	NN	school
this	DT	this
information	NN	information
,	,	,
who	WP	who
raised	VBD	raise
their	PP$	their
hand	NN	hand
and	CC	and
said	VBD	say
,	,	,
"	``	"
How	WRB	how
do	VBP	do
we	PP	we
know	VBP	know
that	IN	that
the	DT	the
person	NN	person
who	WP	who
made	VBD	make
that	DT	that
number	NN	number
isn	NN	isn
'	POS	'
t	NN	t
one	CD	one
of	IN	of
the	DT	the
49	CD	@card@
percent	NN	percent
either	RB	either
?	SENT	?
"	''	"
So	RB	so
clearly	RB	clearly
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
numeracy	NN	numeracy
issue	NN	issue
,	,	,
because	IN	because
these	DT	these
are	VBP	be
important	JJ	important
skills	NNS	skill
for	IN	for
life	NN	life
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
changes	NNS	change
that	WDT	that
we	PP	we
want	VBP	want
to	TO	to
introduce	VB	introduce
in	IN	in
this	DT	this
century	NN	century
involve	VBP	involve
us	PP	us
becoming	VBG	become
more	RBR	more
comfortable	JJ	comfortable
with	IN	with
numbers	NNS	number
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
an	DT	an
English	JJ	English
problem	NN	problem
.	SENT	.
OECD	NP	OECD
this	DT	this
year	NN	year
released	VBD	release
some	DT	some
figures	NNS	figure
looking	VBG	look
at	IN	at
numeracy	NN	numeracy
in	IN	in
young	JJ	young
people	NNS	people
,	,	,
and	CC	and
leading	VBG	lead
the	DT	the
way	NN	way
,	,	,
the	DT	the
USA	NP	USA
â	NP	<unknown>
nearly	RB	nearly
40	CD	@card@
percent	NN	percent
of	IN	of
young	JJ	young
people	NNS	people
in	IN	in
the	DT	the
US	NP	US
have	VBP	have
low	JJ	low
numeracy	NN	numeracy
.	SENT	.
Now	RB	now
,	,	,
England	NP	England
is	VBZ	be
there	RB	there
too	RB	too
,	,	,
but	CC	but
there	EX	there
are	VBP	be
seven	CD	seven
OECD	NP	OECD
countries	NNS	country
with	IN	with
figures	NNS	figure
above	IN	above
20	CD	@card@
percent	NN	percent
.	SENT	.
That	DT	that
is	VBZ	be
a	DT	a
problem	NN	problem
,	,	,
because	IN	because
it	PP	it
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
that	DT	that
way	NN	way
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
far	JJ	far
end	NN	end
of	IN	of
this	DT	this
graph	NN	graph
,	,	,
you	PP	you
can	MD	can
see	VB	see
the	DT	the
Netherlands	NPS	Netherlands
and	CC	and
Korea	NP	Korea
are	VBP	be
in	IN	in
single	JJ	single
figures	NNS	figure
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	NNS	<unknown>
definitely	RB	definitely
a	DT	a
numeracy	NN	numeracy
problem	NN	problem
that	IN	that
we	PP	we
want	VBP	want
to	TO	to
address	VB	address
.	SENT	.
Now	RB	now
,	,	,
as	RB	as
useful	JJ	useful
as	IN	as
studies	NNS	study
like	IN	like
these	DT	these
are	VBP	be
,	,	,
I	PP	I
think	VBP	think
we	PP	we
risk	VB	risk
