Welcome	JJ	welcome
to	TO	to
Thailand	NP	Thailand
.	SENT	.
Now	RB	now
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
young	JJ	young
man	NN	man
â	NP	<unknown>
40	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
the	DT	the
country	NN	country
was	VBD	be
very	RB	very
,	,	,
very	RB	very
poor	JJ	poor
with	IN	with
lots	NNS	lot
and	CC	and
lots	NNS	lot
and	CC	and
lots	NNS	lot
of	IN	of
people	NNS	people
living	VBG	live
in	IN	in
poverty	NN	poverty
.	SENT	.
We	PP	we
decided	VBD	decide
to	TO	to
do	VB	do
something	NN	something
about	IN	about
it	PP	it
,	,	,
but	CC	but
we	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
begin	VB	begin
with	IN	with
a	DT	a
welfare	NN	welfare
program	NN	program
or	CC	or
a	DT	a
poverty	NN	poverty
reduction	NN	reduction
program	NN	program
.	SENT	.
But	CC	but
we	PP	we
began	VBD	begin
with	IN	with
a	DT	a
family-planning	JJ	family-planning
program	NN	program
,	,	,
following	VBG	follow
a	DT	a
very	RB	very
successful	JJ	successful
maternal	JJ	maternal
child	NN	child
health	NN	health
activity	NN	activity
,	,	,
sets	VBZ	set
of	IN	of
activities	NNS	activity
.	SENT	.
So	RB	so
basically	RB	basically
,	,	,
no	DT	no
one	CD	one
would	MD	would
accept	VB	accept
family	NN	family
planning	NN	planning
if	IN	if
their	PP$	their
children	NNS	child
didn	NN	<unknown>
'	POS	'
t	NN	t
survive	VB	survive
.	SENT	.
So	IN	so
the	DT	the
first	JJ	first
step	NN	step
:	:	:
get	VB	get
to	TO	to
the	DT	the
children	NNS	child
,	,	,
get	VBP	get
to	TO	to
the	DT	the
mothers	NNS	mother
,	,	,
and	CC	and
then	RB	then
follow	VB	follow
up	RP	up
with	IN	with
family	NN	family
planning	NN	planning
.	SENT	.
Not	RB	not
just	RB	just
child	NN	child
mortality	NN	mortality
alone	RB	alone
,	,	,
you	PP	you
need	VBP	need
also	RB	also
family	NN	family
planning	NN	planning
.	SENT	.
Now	RB	now
let	VB	let
me	PP	me
take	VB	take
you	PP	you
back	RB	back
as	IN	as
to	TO	to
why	WRB	why
we	PP	we
needed	VBD	need
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
In	IN	in
my	PP$	my
country	NN	country
,	,	,
that	WDT	that
was	VBD	be
the	DT	the
case	NN	case
in	IN	in
1974	CD	@card@
.	SENT	.
Seven	CD	seven
children	NNS	child
per	IN	per
family	NN	family
â	NP	<unknown>
tremendous	JJ	tremendous
growth	NN	growth
at	IN	at
3	CD	@card@
.	SENT	.
3	CD	@card@
percent	NN	percent
.	SENT	.
There	EX	there
was	VBD	be
just	RB	just
no	DT	no
future	NN	future
.	SENT	.
We	PP	we
needed	VBD	need
to	TO	to
reduce	VB	reduce
the	DT	the
population	NN	population
growth	NN	growth
rate	NN	rate
.	SENT	.
So	RB	so
we	PP	we
said	VBD	say
,	,	,
"	``	"
Let	VB	let
'	''	'
s	NNS	<unknown>
do	VBP	do
it	PP	it
.	SENT	.
"	``	"
The	DT	the
women	NNS	woman
said	VBD	say
,	,	,
"	``	"
We	PP	we
agree	VBP	agree
.	SENT	.
We	PP	we
'	POS	'
ll	JJ	<unknown>
use	NN	use
pills	NNS	pill
,	,	,
but	CC	but
we	PP	we
need	VBP	need
a	DT	a
doctor	NN	doctor
to	TO	to
prescribe	VB	prescribe
the	DT	the
pills	NNS	pill
,	,	,
"	''	"
and	CC	and
we	PP	we
had	VBD	have
very	RB	very
,	,	,
very	RB	very
few	JJ	few
doctors	NNS	doctor
.	SENT	.
We	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
take	VB	take
no	DT	no
as	IN	as
an	DT	an
answer	NN	answer
;	:	;
we	PP	we
took	VBD	take
no	RB	no
as	IN	as
a	DT	a
question	NN	question
.	SENT	.
We	PP	we
went	VBD	go
to	TO	to
the	DT	the
nurses	NNS	nurse
and	CC	and
the	DT	the
midwives	NNS	midwife
,	,	,
who	WP	who
were	VBD	be
also	RB	also
women	NNS	woman
,	,	,
and	CC	and
did	VBD	do
a	DT	a
fantastic	JJ	fantastic
job	NN	job
at	IN	at
explaining	VBG	explain
how	WRB	how
to	TO	to
use	VB	use
the	DT	the
pill	NN	pill
.	SENT	.
That	DT	that
was	VBD	be
wonderful	JJ	wonderful
,	,	,
but	CC	but
it	PP	it
