Motor	NP	Motor
racing	NN	racing
is	VBZ	be
a	DT	a
funny	JJ	funny
old	JJ	old
business	NN	business
.	SENT	.
We	PP	we
make	VBP	make
a	DT	a
new	JJ	new
car	NN	car
every	DT	every
year	NN	year
,	,	,
and	CC	and
then	RB	then
we	PP	we
spend	VBP	spend
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
season	NN	season
trying	VBG	try
to	TO	to
understand	VB	understand
what	WP	what
it	PP	it
is	VBZ	be
we	PP	we
'	POS	'
ve	NN	ve
built	VBD	build
to	TO	to
make	VB	make
it	PP	it
better	JJR	good
,	,	,
to	TO	to
make	VB	make
it	PP	it
faster	RBR	faster
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
next	JJ	next
year	NN	year
,	,	,
we	PP	we
start	VBP	start
again	RB	again
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
car	NN	car
you	PP	you
see	VBP	see
in	IN	in
front	NN	front
of	IN	of
you	PP	you
is	VBZ	be
quite	RB	quite
complicated	VBN	complicate
.	SENT	.
The	DT	the
chassis	NN	chassis
is	VBZ	be
made	VBN	make
up	RP	up
of	IN	of
about	RB	about
11	CD	@card@
,	,	,
000	CD	@card@
components	NNS	component
,	,	,
the	DT	the
engine	NN	engine
another	DT	another
6	CD	@card@
,	,	,
000	CD	@card@
,	,	,
the	DT	the
electronics	NN	electronics
about	IN	about
eight	CD	eight
and	CC	and
a	DT	a
half	JJ	half
thousand	CD	thousand
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	NN	S
about	IN	about
25	CD	@card@
,	,	,
000	CD	@card@
things	NNS	thing
there	RB	there
that	WDT	that
can	MD	can
go	VB	go
wrong	JJ	wrong
.	SENT	.
So	IN	so
motor	NN	motor
racing	NN	racing
is	VBZ	be
very	RB	very
much	JJ	much
about	IN	about
attention	NN	attention
to	TO	to
detail	NN	detail
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
about	IN	about
Formula	NN	formula
1	CD	@card@
in	IN	in
particular	JJ	particular
is	VBZ	be
we	PP	we
'	POS	'
re	NN	re
always	RB	always
changing	VBG	change
the	DT	the
car	NN	car
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
always	RB	always
trying	VBG	try
to	TO	to
make	VB	make
it	PP	it
faster	RBR	faster
.	SENT	.
So	IN	so
every	DT	every
two	CD	two
weeks	NNS	week
,	,	,
we	PP	we
will	MD	will
be	VB	be
making	VBG	make
about	IN	about
5	CD	@card@
,	,	,
000	CD	@card@
new	JJ	new
components	NNS	component
to	TO	to
fit	VB	fit
to	TO	to
the	DT	the
car	NN	car
.	SENT	.
Five	CD	five
to	TO	to
10	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
race	NN	race
car	NN	car
will	MD	will
be	VB	be
different	JJ	different
every	DT	every
two	CD	two
weeks	NNS	week
of	IN	of
the	DT	the
year	NN	year
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
we	PP	we
do	VBP	do
that	RB	that
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
start	VBP	start
our	PP$	our
life	NN	life
with	IN	with
the	DT	the
racing	NN	racing
car	NN	car
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
sensors	NNS	sensor
on	IN	on
the	DT	the
car	NN	car
to	TO	to
measure	VB	measure
things	NNS	thing
.	SENT	.
On	IN	on
the	DT	the
race	NN	race
car	NN	car
in	IN	in
front	NN	front
of	IN	of
you	PP	you
here	RB	here
there	EX	there
are	VBP	be
about	RB	about
120	CD	@card@
sensors	NNS	sensor
when	WRB	when
it	PP	it
goes	VBZ	go
into	IN	into
a	DT	a
race	NN	race
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
measuring	VBG	measure
all	DT	all
sorts	NNS	sort
of	IN	of
things	NNS	thing
around	IN	around
the	DT	the
car	NN	car
.	SENT	.
That	DT	that
data	NN	data
is	VBZ	be
logged	VBN	log
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
logging	NN	logging
about	IN	about
500	CD	@card@
different	JJ	different
parameters	NNS	parameter
within	IN	within
the	DT	the
data	NN	data
systems	NNS	system
,	,	,
about	RB	about
13	CD	@card@
,	,	,
000	CD	@card@
health	NN	health
parameters	NNS	parameter
and	CC	and
events	NNS	event
to	TO	to
say	VB	say
when	WRB	when
things	NNS	thing
are	VBP	be
not	RB	not
working	VBG	work
the	DT	the
way	NN	way
they	PP	they
should	MD	should
do	VB	do
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
sending	VBG	send
that	IN	that
data	NNS	datum
back	RB	back
to	TO	to
the	DT	the
garage	NN	garage
using	VBG	use
telemetry	NN	telemetry
at	IN	at
a	DT	a
rate	NN	rate
of	IN	of
two	CD	two
to	TO	to
four	CD	four
megabits	NNS	megabit
per	IN	per
second	JJ	second
.	SENT	.
So	RB	so
during	IN	during
a	DT	a
two-	NN	two-
hour	NN	hour
race	NN	race
,	,	,
each	DT	each
car	NN	car
will	MD	will
be	VB	be
sending	VBG	send
750	CD	@card@
million	CD	million
numbers	NNS	number
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
twice	RB	twice
as	IN	as
many	JJ	many
numbers	NNS	number
as	IN	as
words	NNS	word
that	IN	that
each	DT	each
of	IN	of
us	PP	us
speaks	VBZ	speak
in	IN	in
a	DT	a
lifetime	NN	lifetime
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
huge	JJ	huge
amount	NN	amount
of	IN	of
data	NNS	datum
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
enough	RB	enough
just	RB	just
to	TO	to
have	VB	have
data	NNS	datum
and	CC	and
measure	VB	measure
it	PP	it
.	SENT	.
You	PP	you
need	VBP	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
do	VB	do
something	NN	something
with	IN	with
it	PP	it
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
spent	VBD	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
and	CC	and
effort	NN	effort
in	IN	in
turning	VBG	turn
the	DT	the
data	NNS	datum
into	IN	into
stories	NNS	story
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
tell	VB	tell
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
state	NN	state
of	IN	of
the	DT	the
engine	NN	engine
,	,	,
how	WRB	how
are	VBP	be
the	DT	the
tires	NNS	tire
degrading	JJ	degrading
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
situation	NN	situation
with	IN	with
fuel	NN	fuel
consumption	NN	consumption
?	SENT	?
So	RB	so
all	RB	all
of	IN	of
this	DT	this
is	VBZ	be
taking	VBG	take
data	NNS	datum
and	CC	and
turning	VBG	turn
it	PP	it
into	IN	into
knowledge	NN	knowledge
that	IN	that
we	PP	we
can	MD	can
act	VB	act
upon	RP	upon
.	SENT	.
Okay	RB	okay
,	,	,
so	RB	so
let	VBD	let
'	''	'
s	NNS	<unknown>
have	VBP	have
a	DT	a
look	NN	look
at	IN	at
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
data	NNS	datum
