Pat	NP	Pat
Mitchell	NP	Mitchell
:	:	:
So	RB	so
,	,	,
Ava	NP	Ava
,	,	,
I	PP	I
told	VBD	tell
you	PP	you
this	DT	this
already	RB	already
,	,	,
thank	VB	thank
you	PP	you
for	IN	for
the	DT	the
special	JJ	special
privilege	NN	privilege
to	TO	to
see	VB	see
the	DT	the
film	NN	film
.	SENT	.
I	PP	I
wish	VBP	wish
it	PP	it
was	VBD	be
something	NN	something
that	IN	that
we	PP	we
could	MD	could
share	VB	share
with	IN	with
each	DT	each
and	CC	and
every	DT	every
one	CD	one
of	IN	of
you	PP	you
,	,	,
but	CC	but
here	RB	here
,	,	,
I	PP	I
will	MD	will
tell	VB	tell
you	PP	you
,	,	,
you	PP	you
absolutely	RB	absolutely
must	MD	must
see	VB	see
"	``	"
Origin	NN	origin
"	''	"
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
a	DT	a
theater	NN	theater
.	SENT	.
But	CC	but
knowing	VBG	know
the	DT	the
book	NN	book
and	CC	and
how	WRB	how
complex	JJ	complex
and	CC	and
challenging	VBG	challenge
and	CC	and
how	WRB	how
deeply	RB	deeply
researched	VBN	research
the	DT	the
thesis	NN	thesis
of	IN	of
this	DT	this
monumental	JJ	monumental
piece	NN	piece
of	IN	of
work	NN	work
,	,	,
that	WDT	that
,	,	,
as	IN	as
I	PP	I
said	VBD	say
,	,	,
left	VBD	leave
my	PP$	my
heart	NN	heart
pounding	VBG	pound
and	CC	and
my	PP$	my
mind	NN	mind
reeling	VBG	reel
,	,	,
what	WP	what
inspired	VBD	inspire
you	PP	you
to	TO	to
take	VB	take
this	DT	this
project	NN	project
on	IN	on
and	CC	and
translate	VB	translate
it	PP	it
to	TO	to
a	DT	a
feature	NN	feature
film	NN	film
?	SENT	?
Ava	NP	Ava
DuVernay	NP	<unknown>
:	:	:
I	PP	I
'	POS	'
m	NN	m
always	RB	always
happy	JJ	happy
to	TO	to
sit	VB	sit
with	IN	with
you	PP	you
,	,	,
so	RB	so
thank	VB	thank
you	PP	you
for	IN	for
having	VBG	have
me	PP	me
,	,	,
folks	NNS	folk
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
people	NNS	people
told	VBD	tell
me	PP	me
this	DT	this
was	VBD	be
an	DT	an
unadaptable	JJ	unadaptable
book	NN	book
,	,	,
so	RB	so
the	DT	the
only	JJ	only
logical	JJ	logical
thing	NN	thing
to	TO	to
do	VB	do
is	VBZ	be
to	TO	to
try	VB	try
to	TO	to
adapt	VB	adapt
it	PP	it
.	SENT	.
But	CC	but
the	DT	the
book	NN	book
really	RB	really
grabbed	VBD	grab
me	PP	me
.	SENT	.
The	DT	the
first	JJ	first
time	NN	time
I	PP	I
read	VBP	read
it	PP	it
,	,	,
I	PP	I
was	VBD	be
taken	VBN	take
by	IN	by
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
didn	NNS	<unknown>
'	POS	'
t	NN	t
quite	RB	quite
get	VB	get
it	PP	it
,	,	,
and	CC	and
that	IN	that
frustrated	VBN	frustrate
me	PP	me
,	,	,
so	RB	so
I	PP	I
read	VBP	read
it	PP	it
again	RB	again
,	,	,
and	CC	and
I	PP	I
just	RB	just
,	,	,
I	PP	I
read	VBD	read
it	PP	it
three	CD	three
times	NNS	time
,	,	,
and	CC	and
started	VBD	start
to	TO	to
feel	VB	feel
really	RB	really
connected	VBN	connect
to	TO	to
some	DT	some
of	IN	of
the	DT	the
stories	NNS	story
and	CC	and
some	DT	some
of	IN	of
the	DT	the
characters	NNS	character
that	IN	that
the	DT	the
author	NN	author
uses	VBZ	use
to	TO	to
bring	VB	bring
us	PP	us
into	IN	into
this	DT	this
idea	NN	idea
that	IN	that
she	PP	she
has	VBZ	have
,	,	,
this	DT	this
thesis	NN	thesis
that	IN	that
so	RB	so
much	RB	much
of	IN	of
our	PP$	our
oppression	NN	oppression
is	VBZ	be
linked	VBN	link
,	,	,
and	CC	and
that	IN	that
if	IN	if
we	PP	we
embrace	VBP	embrace
the	DT	the
commonalities	NNS	commonality
of	IN	of
our	PP$	our
challenges	NNS	challenge
,	,	,
that	IN	that
there	EX	there
was	VBD	be
a	DT	a
way	NN	way
forward	RB	forward
,	,	,
a	DT	a
blueprint	NN	blueprint
to	TO	to
trying	VBG	try
to	TO	to
,	,	,
kind	NN	kind
of	IN	of
,	,	,
combat	VB	combat
some	DT	some
of	IN	of
our	PP$	our
social	JJ	social
ills	NNS	ill
.	SENT	.
And	CC	and
so	RB	so
within	IN	within
that	IN	that
,	,	,
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
hard	JJ	hard
movie	NN	movie
to	TO	to
make	VB	make
,	,	,
just	RB	just
that	RB	that
,	,	,
but	CC	but
I	PP	I
'	POS	'
d	NN	d
heard	VBD	hear
about	IN	about
these	DT	these
beautiful	JJ	beautiful
stories	NNS	story
about	IN	about
her	PP$	her
life	NN	life
--	:	--
she	PP	she
'	POS	'
s	NN	S
a	DT	a
remarkable	JJ	remarkable
woman	NN	woman
,	,	,
Isabel	NP	Isabel
Wilkerson	NP	Wilkerson
.	SENT	.
So	RB	so
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Maybe	RB	maybe
I	PP	I
can	MD	can
use	VB	use
her	PP$	her
life	NN	life
and	CC	and
work	NN	work
as	IN	as
the	DT	the
impetus	NN	impetus
for	IN	for
the	DT	the
story	NN	story
.	SENT	.
"	''	"
And	CC	and
so	RB	so
I	PP	I
started	VBD	start
to	TO	to
try	VB	try
to	TO	to
find	VB	find
those	DT	those
parallels	NNS	parallel
,	,	,
and	CC	and
I	PP	I
felt	VBD	feel
guided	VBN	guide
through	IN	through
the	DT	the
process	NN	process
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
sometimes	RB	sometimes
,	,	,
you	PP	you
just	RB	just
get	VBP	get
in	IN	in
a	DT	a
groove	NN	groove
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
friend	NN	friend
who	WP	who
cooks	VBZ	cook
really	RB	really
well	RB	well
,	,	,
I	PP	I
really	RB	really
don	VBP	don
'	POS	'
t	NN	t
.	SENT	.
And	CC	and
she	PP	she
just	RB	just
gets	VBZ	get
in	IN	in
a	DT	a
groove	NN	groove
.	SENT	.
She	PP	she
can	MD	can
make	VB	make
something	NN	something
out	RP	out
of	IN	of
whatever	WDT	whatever
'	POS	'
s	NN	S
in	IN	in
the	DT	the
kitchen	NN	kitchen
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
even	RB	even
look	VBP	look
like	IN	like
they	PP	they
connect	VBP	connect
,	,	,
but	CC	but
she	PP	she
can	MD	can
put	VB	put
it	PP	it
together	RB	together
.	SENT	.
This	DT	this
film	NN	film
was	VBD	be
the	DT	the
first	JJ	first
time	NN	time
I	PP	I
felt	VBD	feel
like	IN	like
I	PP	I
got	VBD	get
in	IN	in
a	DT	a
groove	NN	groove
,	,	,
out	RB	out
of	IN	of
everything	NN	everything
that	IN	that
I	PP	I
made	VBD	make
.	SENT	.
And	CC	and
the	DT	the
two	CD	two
things	NNS	thing
,	,	,
her	PP$	her
life	NN	life
and	CC	and
the	DT	the
historical	JJ	historical
context	NN	context
of	IN	of
"	``	"
Caste	NN	caste
,	,	,
"	``	"
somehow	RB	somehow
fit	VB	fit
together	RB	together
,	,	,
even	RB	even
though	RB	though
on	IN	on
its	PP$	its
surface	NN	surface
,	,	,
it	PP	it
may	MD	may
not	RB	not
look	VB	look
like	IN	like
it	PP	it
.	SENT	.
PM	NN	pm
:	:	:
And	CC	and
I	PP	I
think	VBP	think
