What	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
,	,	,
in	IN	in
the	DT	the
spirit	NN	spirit
of	IN	of
collaborative	JJ	collaborative
creativity	NN	creativity
,	,	,
is	VBZ	be
simply	RB	simply
repeat	VB	repeat
many	JJ	many
of	IN	of
the	DT	the
points	NNS	point
that	IN	that
the	DT	the
three	CD	three
people	NNS	people
before	IN	before
me	PP	me
have	VBP	have
already	RB	already
made	VBN	make
,	,	,
but	CC	but
do	VB	do
them	PP	them
â	NP	<unknown>
this	DT	this
is	VBZ	be
called	VBN	call
"	``	"
creative	JJ	creative
collaboration	NN	collaboration
;	:	;
"	``	"
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
called	VBD	call
"	``	"
borrowing	VBG	borrow
"	''	"
â	NP	<unknown>
but	CC	but
do	VB	do
it	PP	it
through	IN	through
a	DT	a
particular	JJ	particular
perspective	NN	perspective
,	,	,
and	CC	and
that	WDT	that
is	VBZ	be
to	TO	to
ask	VB	ask
about	IN	about
the	DT	the
role	NN	role
of	IN	of
users	NNS	user
and	CC	and
consumers	NNS	consumer
in	IN	in
this	DT	this
emerging	VBG	emerge
world	NN	world
of	IN	of
collaborative	JJ	collaborative
creativity	NN	creativity
that	IN	that
Jimmy	NP	Jimmy
and	CC	and
others	NNS	other
have	VBP	have
talked	VBN	talk
about	RB	about
.	SENT	.
Let	VB	let
me	PP	me
just	RB	just
ask	VB	ask
you	PP	you
,	,	,
to	TO	to
start	VB	start
with	IN	with
,	,	,
this	DT	this
simple	JJ	simple
question	NN	question
:	:	:
who	WP	who
invented	VBD	invent
the	DT	the
mountain	NN	mountain
bike	NN	bike
?	SENT	?
Because	IN	because
traditional	JJ	traditional
economic	JJ	economic
theory	NN	theory
would	MD	would
say	VB	say
,	,	,
well	RB	well
,	,	,
the	DT	the
mountain	NN	mountain
bike	NN	bike
was	VBD	be
probably	RB	probably
invented	VBN	invent
by	IN	by
some	DT	some
big	JJ	big
bike	NN	bike
corporation	NN	corporation
that	WDT	that
had	VBD	have
a	DT	a
big	JJ	big
R&D	NN	R&D
lab	NN	lab
where	WRB	where
they	PP	they
were	VBD	be
thinking	VBG	think
up	RP	up
new	JJ	new
projects	NNS	project
,	,	,
and	CC	and
it	PP	it
came	VBD	come
out	RP	out
of	IN	of
there	RB	there
.	SENT	.
It	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
come	VBN	come
from	IN	from
there	RB	there
.	SENT	.
Another	DT	another
answer	NN	answer
might	MD	might
be	VB	be
,	,	,
well	UH	well
,	,	,
it	PP	it
came	VBD	come
from	IN	from
a	DT	a
sort	NN	sort
of	IN	of
lone	JJ	lone
genius	NN	genius
working	VBG	work
in	IN	in
his	PP$	his
garage	NN	garage
,	,	,
who	WP	who
,	,	,
working	VBG	work
away	RB	away
on	IN	on
different	JJ	different
kinds	NNS	kind
of	IN	of
bikes	NNS	bike
,	,	,
comes	VBZ	come
up	RP	up
with	IN	with
a	DT	a
bike	NN	bike
out	RP	out
of	IN	of
thin	JJ	thin
air	NN	air
.	SENT	.
It	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
come	VBN	come
from	IN	from
there	RB	there
.	SENT	.
The	DT	the
mountain	NN	mountain
bike	NN	bike
came	VBD	come
from	IN	from
users	NNS	user
,	,	,
came	VBD	come
from	IN	from
young	JJ	young
users	NNS	user
,	,	,
particularly	RB	particularly
a	DT	a
group	NN	group
in	IN	in
Northern	NP	Northern
California	NP	California
,	,	,
who	WP	who
were	VBD	be
frustrated	VBN	frustrate
with	IN	with
traditional	JJ	traditional
racing	NN	racing
bikes	NNS	bike
,	,	,
which	WDT	which
were	VBD	be
those	DT	those
sort	NN	sort
of	IN	of
bikes	NNS	bike
that	IN	that
Eddy	NP	Eddy
Merckx	NP	<unknown>
rode	VBD	ride
,	,	,
or	CC	or
your	PP$	your
big	JJ	big
