[	SYM	[
This	DT	this
talk	NN	talk
contains	VBZ	contain
graphic	JJ	graphic
images	NNS	image
]	SYM	]
My	PP$	my
parents	NNS	parent
always	RB	always
wanted	VBD	want
me	PP	me
to	TO	to
be	VB	be
a	DT	a
doctor	NN	doctor
.	SENT	.
But	CC	but
a	DT	a
doctor	NN	doctor
that	WDT	that
studies	VBZ	study
how	WRB	how
vultures	NNS	vulture
eat	VBP	eat
dead	JJ	dead
things	NNS	thing
is	VBZ	be
probably	RB	probably
not	RB	not
the	DT	the
type	NN	type
of	IN	of
doctor	NN	doctor
my	PP$	my
parents	NNS	parent
had	VBN	have
in	IN	in
mind	NN	mind
.	SENT	.
I	PP	I
study	VBP	study
vulture	NN	vulture
scavenging	VBG	scavenge
behavior	NN	behavior
and	CC	and
how	WRB	how
vultures	NNS	vulture
affect	VBP	affect
crime	NN	crime
scenes	NNS	scene
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
how	WRB	how
we	PP	we
take	VBP	take
vultures	NNS	vulture
for	IN	for
granted	VBN	grant
in	IN	in
forensic	JJ	forensic
science	NN	science
.	SENT	.
Before	IN	before
we	PP	we
do	VBP	do
that	IN	that
,	,	,
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
a	DT	a
story	NN	story
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
take	VB	take
a	DT	a
trip	NN	trip
,	,	,
all	RB	all
1	CD	@card@
,	,	,
000	CD	@card@
of	IN	of
us	PP	us
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
May	NP	May
2014	CD	@card@
and	CC	and
we	PP	we
'	POS	'
re	NN	re
standing	NN	standing
in	IN	in
a	DT	a
park	NN	park
in	IN	in
Nashville	NP	Nashville
,	,	,
Tennessee	NP	Tennessee
,	,	,
because	IN	because
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
at	IN	at
a	DT	a
horse	NN	horse
race	NN	race
.	SENT	.
As	IN	as
we	PP	we
wait	VBP	wait
for	IN	for
the	DT	the
porta	NP	Porta
potty	NN	potty
,	,	,
we	PP	we
see	VBP	see
two	CD	two
ladies	NNS	lady
in	IN	in
their	PP$	their
Sunday	NP	Sunday
best	RBS	well
:	:	:
heels	NNS	heel
,	,	,
pearls	NNS	pearl
and	CC	and
lovely	JJ	lovely
,	,	,
floppy	JJ	floppy
derby	NN	derby
hats	NNS	hat
.	SENT	.
At	IN	at
any	DT	any
moment	NN	moment
,	,	,
we	PP	we
expect	VBP	expect
them	PP	them
to	TO	to
start	VB	start
talking	VBG	talk
about	IN	about
their	PP$	their
grandma	NN	grandma
'	POS	'
s	JJ	<unknown>
fine	NN	fine
china	NN	china
.	SENT	.
But	CC	but
they	PP	they
don	NN	don
'	POS	'
t	NN	t
.	SENT	.
Instead	RB	instead
,	,	,
we	PP	we
hear	VBP	hear
them	PP	them
say	VBP	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
look	VB	look
