What	WP	what
images	NNS	image
do	VBP	do
we	PP	we
see	VBP	see
from	IN	from
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
?	SENT	?
We	PP	we
see	VBP	see
natural	JJ	natural
disasters	NNS	disaster
,	,	,
war	NN	war
,	,	,
terror	NN	terror
.	SENT	.
We	PP	we
see	VBP	see
refugees	NNS	refugee
,	,	,
and	CC	and
we	PP	we
see	VBP	see
horrible	JJ	horrible
diseases	NNS	disease
.	SENT	.
Right	RB	right
?	SENT	?
We	PP	we
see	VBP	see
beautiful	JJ	beautiful
beaches	NNS	beach
,	,	,
cute	JJ	cute
animals	NNS	animal
,	,	,
beautiful	JJ	beautiful
nature	NN	nature
,	,	,
cultural	JJ	cultural
rites	NNS	rite
and	CC	and
stuff	NN	stuff
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
'	POS	'
re	NN	re
supposed	VBN	suppose
to	TO	to
make	VB	make
the	DT	the
connection	NN	connection
in	IN	in
our	PP$	our
head	NN	head
and	CC	and
create	VB	create
a	DT	a
worldview	NN	<unknown>
out	RP	out
of	IN	of
this	DT	this
.	SENT	.
And	CC	and
how	WRB	how
is	VBZ	be
that	IN	that
possible	JJ	possible
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
world	NN	world
seems	VBZ	seem
so	RB	so
strange	JJ	strange
.	SENT	.
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
it	PP	it
is	VBZ	be
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
the	DT	the
world	NN	world
is	VBZ	be
that	DT	that
strange	JJ	strange
,	,	,
actually	RB	actually
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
an	DT	an
idea	NN	idea
.	SENT	.
So	RB	so
,	,	,
imagine	VB	imagine
the	DT	the
world	NN	world
as	IN	as
a	DT	a
street	NN	street
,	,	,
where	WRB	where
the	DT	the
poorest	JJS	poor
live	JJ	live
on	IN	on
one	CD	one
end	NN	end
and	CC	and
the	DT	the
