B	LS	b
.	SENT	.
J	NP	J
.	SENT	.
was	VBD	be
one	CD	one
of	IN	of
many	JJ	many
fellow	JJ	fellow
inmates	NNS	inmate
who	WP	who
had	VBD	have
big	JJ	big
plans	NNS	plan
for	IN	for
the	DT	the
future	NN	future
.	SENT	.
He	PP	he
had	VBD	have
a	DT	a
vision	NN	vision
.	SENT	.
When	WRB	when
he	PP	he
got	VBD	get
out	RP	out
,	,	,
he	PP	he
was	VBD	be
going	VBG	go
to	TO	to
leave	VB	leave
the	DT	the
dope	NN	dope
game	NN	game
for	IN	for
good	JJ	good
and	CC	and
fly	VB	fly
straight	JJ	straight
,	,	,
and	CC	and
he	PP	he
was	VBD	be
actually	RB	actually
working	VBG	work
on	IN	on
merging	VBG	merge
his	PP$	his
two	CD	two
passions	NNS	passion
into	IN	into
one	CD	one
vision	NN	vision
.	SENT	.
He	PP	he
'	POS	'
d	NN	d
spent	VBD	spend
10	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
to	TO	to
buy	VB	buy
a	DT	a
website	NN	website
that	WDT	that
exclusively	RB	exclusively
featured	VBD	feature
women	NNS	woman
having	VBG	have
sex	NN	sex
on	IN	on
top	NN	top
of	IN	of
or	CC	or
inside	IN	inside
of	IN	of
luxury	NN	luxury
sports	NNS	sport
cars	NNS	car
.	SENT	.
It	PP	it
was	VBD	be
my	PP$	my
first	JJ	first
week	NN	week
in	IN	in
federal	JJ	federal
prison	NN	prison
,	,	,
and	CC	and
I	PP	I
was	VBD	be
learning	VBG	learn
quickly	RB	quickly
that	IN	that
it	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
what	WP	what
you	PP	you
see	VBP	see
on	IN	on
TV	NN	TV
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
it	PP	it
was	VBD	be
teeming	VBG	teem
with	IN	with
smart	JJ	smart
,	,	,
ambitious	JJ	ambitious
men	NNS	man
whose	WP$	whose
business	NN	business
instincts	NNS	instinct
were	VBD	be
in	IN	in
many	JJ	many
cases	NNS	case
as	IN	as
sharp	JJ	sharp
as	IN	as
those	DT	those
of	IN	of
the	DT	the
CEOs	NNS	CEO
who	WP	who
had	VBD	have
wined	VBN	wine
and	CC	and
dined	VBD	dine
me	PP	me
six	CD	six
months	NNS	month
earlier	RBR	earlier
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
rising	VBG	rise
star	NN	star
in	IN	in
the	DT	the
Missouri	NP	Missouri
Senate	NP	Senate
.	SENT	.
Now	RB	now
,	,	,
95	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
guys	NNS	guy
that	IN	that
I	PP	I
was	VBD	be
locked	VBN	lock
up	RP	up
with	IN	with
had	VBD	have
been	VBN	be
drug	NN	drug
dealers	NNS	dealer
on	IN	on
the	DT	the
outside	NN	outside
,	,	,
but	CC	but
when	WRB	when
they	PP	they
talked	VBD	talk
about	RB	about
what	WP	what
they	PP	they
did	VBD	do
,	,	,
they	PP	they
talked	VBD	talk
about	IN	about
it	PP	it
in	IN	in
a	DT	a
different	JJ	different
jargon	NN	jargon
,	,	,
but	CC	but
the	DT	the
business	NN	business
concepts	NNS	concept
that	IN	that
they	PP	they
talked	VBD	talk
about	IN	about
weren	NNS	<unknown>
'	POS	'
t	NN	t
unlike	IN	unlike
those	DT	those
that	WDT	that
you	PP	you
'	POS	'
d	NN	d
learn	VBP	learn
in	IN	in
a	DT	a
first	JJ	first
year	NN	year
MBA	NP	MBA
class	NN	class
at	IN	at
Wharton	NP	Wharton
:	:	:
promotional	JJ	promotional
incentives	NNS	incentive
,	,	,
you	PP	you
never	RB	never
charge	VBP	charge
a	DT	a
first-time	JJ	first-time
user	NN	user
,	,	,
focus-	NN	<unknown>
grouping	NN	grouping
new	JJ	new
product	NN	product
launches	NNS	launch
,	,	,
territorial	JJ	territorial
expansion	NN	expansion
.	SENT	.
But	CC	but
they	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
spend	VB	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
reliving	VBG	relive
the	DT	the
glory	NN	glory
days	NNS	day
.	SENT	.
For	IN	for
the	DT	the
most	JJS	most
part	NN	part
,	,	,
everyone	NN	everyone
was	VBD	be
just	RB	just
trying	VBG	try
to	TO	to
survive	VB	survive
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
harder	RBR	harder
than	IN	than
you	PP	you
might	MD	might
think	VB	think
.	SENT	.
Contrary	JJ	contrary
to	TO	to
what	WP	what
most	JJS	most
people	NNS	people
think	VBP	think
,	,	,
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
pay	NN	pay
,	,	,
taxpayers	NNS	taxpayer
don	NN	don
'	POS	'
t	NN	t
pay	NN	pay
,	,	,
for	IN	for
your	PP$	your
life	NN	life
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
in	IN	in
prison	NN	prison
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
pay	VB	pay
for	IN	for
your	PP$	your
own	JJ	own
life	NN	life
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
pay	VB	pay
for	IN	for
your	PP$	your
soap	NN	soap
,	,	,
your	PP$	your
deodorant	NN	deodorant
,	,	,
toothbrush	NN	toothbrush
,	,	,
toothpaste	NN	toothpaste
,	,	,
all	RB	all
of	IN	of
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
hard	JJ	hard
for	IN	for
a	DT	a
couple	NN	couple
of	IN	of
reasons	NNS	reason
.	SENT	.
First	RB	first
,	,	,
everything	NN	everything
'	POS	'
s	NN	S
marked	VBD	mark
up	RB	up
30	CD	@card@
to	TO	to
50	CD	@card@
percent	NN	percent
from	IN	from
what	WP	what
you	PP	you
'	POS	'
d	NN	d
pay	NN	pay
on	IN	on
the	DT	the
street	NN	street
,	,	,
and	CC	and
second	JJ	second
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
make	VB	make
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
.	SENT	.
I	PP	I
unloaded	VBD	unload
trucks	NNS	truck
.	SENT	.
That	DT	that
was	VBD	be
my	PP$	my
full-time	JJ	full-time
job	NN	job
,	,	,
unloading	VBG	unload
trucks	NNS	truck
at	IN	at
a	DT	a
food	NN	food
warehouse	NN	warehouse
,	,	,
for	IN	for
$5	NN	<unknown>
.	SENT	.
25	CD	@card@
,	,	,
not	RB	not
an	DT	an
hour	NN	hour
,	,	,
but	CC	but
per	IN	per
month	NN	month
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
you	PP	you
survive	VB	survive
?	SENT	?
Well	RB	well
,	,	,
you	PP	you
learn	VBP	learn
to	TO	to
hustle	VB	hustle
,	,	,
all	DT	all
kinds	NNS	kind
of	IN	of
hustles	NNS	hustle
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
legal	JJ	legal
hustles	NNS	hustle
.	SENT	.
You	PP	you
pay	VBP	pay
everything	NN	everything
in	IN	in
stamps	NNS	stamp
.	SENT	.
Those	DT	those
are	VBP	be
the	DT	the
currency	NN	currency
.	SENT	.
You	PP	you
charge	VBP	charge
another	DT	another
inmate	NN	inmate
to	TO	to
clean	VB	clean
his	PP$	his
cell	NN	cell
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
sort	NN	sort
of	IN	of
illegal	JJ	illegal
