Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
question	NN	question
we	PP	we
need	VBP	need
to	TO	to
rethink	VB	rethink
together	RB	together
:	:	:
What	WP	what
should	MD	should
be	VB	be
the	DT	the
role	NN	role
of	IN	of
money	NN	money
and	CC	and
markets	NNS	market
in	IN	in
our	PP$	our
societies	NNS	society
?	SENT	?
Today	NN	today
,	,	,
there	EX	there
are	VBP	be
very	RB	very
few	JJ	few
things	NNS	thing
that	IN	that
money	NN	money
can	NN	can
'	POS	'
t	NN	t
buy	NN	buy
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
sentenced	VBD	sentence
to	TO	to
a	DT	a
jail	NN	jail
term	NN	term
in	IN	in
Santa	NP	Santa
Barbara	NP	Barbara
,	,	,
California	NP	California
,	,	,
you	PP	you
should	MD	should
know	VB	know
that	IN	that
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
like	IN	like
the	DT	the
standard	JJ	standard
accommodations	NNS	accommodation
,	,	,
you	PP	you
can	MD	can
buy	VB	buy
a	DT	a
prison	NN	prison
cell	NN	cell
upgrade	NN	upgrade
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
true	JJ	true
.	SENT	.
For	IN	for
how	WRB	how
much	RB	much
,	,	,
do	VBP	do
you	PP	you
think	VBP	think
?	SENT	?
What	WP	what
would	MD	would
you	PP	you
guess	VB	guess
?	SENT	?
Five	CD	five
hundred	CD	hundred
dollars	NNS	dollar
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
Ritz-Carlton	NP	Ritz-Carlton
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
jail	NN	jail
!	SENT	!
Eighty-two	NP	<unknown>
dollars	NNS	dollar
a	DT	a
night	NN	night
.	SENT	.
Eighty-two	NP	<unknown>
dollars	NNS	dollar
a	DT	a
night	NN	night
.	SENT	.
If	IN	if
you	PP	you
go	VBP	go
to	TO	to
an	DT	an
amusement	NN	amusement
park	NN	park
and	CC	and
don	NN	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
stand	VB	stand
in	IN	in
the	DT	the
long	JJ	long
lines	NNS	line
for	IN	for
the	DT	the
popular	JJ	popular
rides	NNS	ride
,	,	,
there	EX	there
is	VBZ	be
now	RB	now
a	DT	a
solution	NN	solution
.	SENT	.
In	IN	in
many	JJ	many
theme	NN	theme
parks	NNS	park
,	,	,
you	PP	you
can	MD	can
pay	VB	pay
extra	JJ	extra
to	TO	to
jump	VB	jump
to	TO	to
the	DT	the
head	NN	head
of	IN	of
the	DT	the
line	NN	line
.	SENT	.
They	PP	they
call	VBP	call
them	PP	them
Fast	JJ	fast
Track	NN	track
or	CC	or
VIP	NP	VIP
tickets	NNS	ticket
.	SENT	.
And	CC	and
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
only	RB	only
happening	VBG	happen
in	IN	in
amusement	NN	amusement
parks	NNS	park
.	SENT	.
In	IN	in
Washington	NP	Washington
,	,	,
D	NP	D
.	SENT	.
C	LS	c
.	SENT	.
,	,	,
long	JJ	long
lines	NNS	line
,	,	,
queues	VBZ	queue
sometimes	RB	sometimes
form	VB	form
for	IN	for
important	JJ	important
Congressional	JJ	congressional
hearings	NNS	hearing
.	SENT	.
Now	RB	now
some	DT	some
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
like	VBP	like
to	TO	to
wait	VB	wait
in	IN	in
long	JJ	long
queues	NNS	queue
,	,	,
maybe	RB	maybe
overnight	JJ	overnight
,	,	,
even	RB	even
in	IN	in
the	DT	the
rain	NN	rain
.	SENT	.
So	RB	so
now	RB	now
,	,	,
for	IN	for
lobbyists	NNS	lobbyist
and	CC	and
others	NNS	other
who	WP	who
are	VBP	be
very	RB	very
keen	JJ	keen
to	TO	to
attend	VB	attend
these	DT	these
hearings	NNS	hearing
but	CC	but
don	NN	don
'	POS	'
t	NN	t
like	VBP	like
to	TO	to
wait	VB	wait
,	,	,
there	EX	there
are	VBP	be
companies	NNS	company
,	,	,
line-standing	VBG	line-stand
companies	NNS	company
,	,	,
and	CC	and
you	PP	you
can	MD	can
go	VB	go
to	TO	to
them	PP	them
.	SENT	.
You	PP	you
can	MD	can
pay	VB	pay
them	PP	them
a	DT	a
certain	JJ	certain
amount	NN	amount
of	IN	of
money	NN	money
,	,	,
they	PP	they
hire	VBP	hire
homeless	JJ	homeless
people	NNS	people
and	CC	and
others	NNS	other
who	WP	who
need	VBP	need
a	DT	a
job	NN	job
to	TO	to
stand	VB	stand
waiting	VBG	wait
in	IN	in
the	DT	the
line	NN	line
for	IN	for
as	RB	as
long	JJ	long
as	IN	as
it	PP	it
takes	VBZ	take
,	,	,
and	CC	and
the	DT	the
lobbyist	NN	lobbyist
,	,	,
just	RB	just
before	IN	before
the	DT	the
hearing	NN	hearing
begins	VBZ	begin
,	,	,
can	MD	can
take	VB	take
his	PP$	his
or	CC	or
her	PP$	her
place	NN	place
at	IN	at
the	DT	the
head	NN	head
of	IN	of
the	DT	the
line	NN	line
and	CC	and
a	DT	a
seat	NN	seat
in	IN	in
the	DT	the
front	NN	front
of	IN	of
the	DT	the
room	NN	room
.	SENT	.
Paid	VBN	pay
line	NN	line
standing	NN	standing
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
happening	NN	happening
,	,	,
the	DT	the
recourse	NN	recourse
to	TO	to
market	NN	market
mechanisms	NNS	mechanism
and	CC	and
market	NN	market
thinking	NN	thinking
and	CC	and
market	NN	market
solutions	NNS	solution
,	,	,
in	IN	in
bigger	JJR	big
arenas	NNS	arena
.	SENT	.
Take	VB	take
the	DT	the
way	NN	way
we	PP	we
fight	VBP	fight
our	PP$	our
wars	NNS	war
.	SENT	.
Did	VBD	do
you	PP	you
know	VBP	know
that	IN	that
,	,	,
in	IN	in
Iraq	NP	Iraq
and	CC	and
Afghanistan	NP	Afghanistan
,	,	,
there	EX	there
were	VBD	be
more	JJR	more
private	JJ	private
military	JJ	military
contractors	NNS	contractor
on	IN	on
the	DT	the
ground	NN	ground
than	IN	than
there	EX	there
were	VBD	be
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
military	JJ	military
troops	NNS	troop
?	SENT	?
Now	RB	now
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
because	IN	because
we	PP	we
had	VBD	have
a	DT	a
public	JJ	public
debate	NN	debate
about	RB	about
whether	IN	whether
we	PP	we
wanted	VBD	want
to	TO	to
outsource	NN	outsource
war	NN	war
to	TO	to
private	JJ	private
companies	NNS	company
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
what	WP	what
has	VBZ	have
happened	VBN	happen
.	SENT	.
Over	IN	over
the	DT	the
past	JJ	past
three	CD	three
decades	NNS	decade
,	,	,
we	PP	we
have	VBP	have
lived	VBN	live
through	IN	through
a	DT	a
quiet	JJ	quiet
revolution	NN	revolution
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
drifted	VBD	drift
almost	RB	almost
without	IN	without
realizing	VBG	realize
it	PP	it
from	IN	from
having	VBG	have
a	DT	a
market	NN	market
economy	NN	economy
to	TO	to
becoming	VBG	become
market	NN	market
societies	NNS	society
.	SENT	.
The	DT	the
difference	NN	difference
is	VBZ	be
this	DT	this
:	:	:
A	DT	a
market	NN	market
economy	NN	economy
is	VBZ	be
a	DT	a
tool	NN	tool
,	,	,
a	DT	a
valuable	JJ	valuable
and	CC	and
effective	JJ	effective
tool	NN	tool
,	,	,
for	IN	for
organizing	VBG	organize
productive	JJ	productive
activity	NN	activity
,	,	,
but	CC	but
a	DT	a
market	NN	market
society	NN	society
is	VBZ	be
a	DT	a
place	NN	place
where	WRB	where
almost	RB	almost
everything	NN	everything
is	VBZ	be
up	RB	up
for	IN	for
sale	NN	sale
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
way	NN	way
of	IN	of
life	NN	life
,	,	,
in	IN	in
which	WDT	which
market	NN	market
thinking	NN	thinking
and	CC	and
market	NN	market
values	NNS	value
begin	VBP	begin
to	TO	to
dominate	VB	dominate
every	DT	every
aspect	NN	aspect
