When	WRB	when
I	PP	I
was	VBD	be
growing	VBG	grow
up	RP	up
,	,	,
I	PP	I
really	RB	really
liked	VBD	like
playing	VBG	play
hide-and-seek	NN	hide-and-seek
a	DT	a
lot	NN	lot
.	SENT	.
One	CD	one
time	NN	time
,	,	,
though	RB	though
,	,	,
I	PP	I
thought	VBD	think
climbing	VBG	climb
a	DT	a
tree	NN	tree
would	MD	would
lead	VB	lead
to	TO	to
a	DT	a
great	JJ	great
hiding	NN	hiding
spot	NN	spot
,	,	,
but	CC	but
I	PP	I
fell	VBD	fall
and	CC	and
broke	VBD	break
my	PP$	my
arm	NN	arm
.	SENT	.
I	PP	I
actually	RB	actually
started	VBD	start
first	JJ	first
grade	NN	grade
with	IN	with
a	DT	a
big	JJ	big
cast	NN	cast
all	DT	all
over	IN	over
my	PP$	my
torso	NN	torso
.	SENT	.
It	PP	it
was	VBD	be
taken	VBN	take
off	IN	off
six	CD	six
weeks	NNS	week
later	RBR	later
,	,	,
but	CC	but
even	RB	even
then	RB	then
,	,	,
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
extend	VB	extend
my	PP$	my
elbow	NN	elbow
,	,	,
and	CC	and
I	PP	I
had	VBD	have
to	TO	to
do	VB	do
physical	JJ	physical
therapy	NN	therapy
to	TO	to
flex	VB	flex
and	CC	and
extend	VB	extend
it	PP	it
,	,	,
100	CD	@card@
times	NNS	time
per	IN	per
day	NN	day
,	,	,
seven	CD	seven
days	NNS	day
per	IN	per
week	NN	week
.	SENT	.
I	PP	I
barely	RB	barely
did	VBD	do
it	PP	it
,	,	,
because	IN	because
I	PP	I
found	VBD	find
it	PP	it
boring	JJ	boring
and	CC	and
painful	JJ	painful
,	,	,
and	CC	and
as	IN	as
a	DT	a
result	NN	result
,	,	,
it	PP	it
took	VBD	take
me	PP	me
another	DT	another
six	CD	six
weeks	NNS	week
to	TO	to
get	VB	get
better	RBR	well
.	SENT	.
Many	JJ	many
years	NNS	year
later	RBR	later
,	,	,
my	PP$	my
mom	NN	mom
developed	VBD	develop
frozen	JJ	frozen
shoulder	NN	shoulder
,	,	,
which	WDT	which
leads	VBZ	lead
to	TO	to
pain	NN	pain
and	CC	and
stiffness	NN	stiffness
in	IN	in
the	DT	the
shoulder	NN	shoulder
.	SENT	.
The	DT	the
person	NN	person
I	PP	I
believed	VBD	believe
for	IN	for
half	NN	half
of	IN	of
my	PP$	my
life	NN	life
to	TO	to
have	VB	have
superpowers	NNS	superpower
suddenly	RB	suddenly
needed	VBD	need
help	VB	help
to	TO	to
get	VB	get
dressed	VBN	dress
or	CC	or
to	TO	to
cut	VB	cut
food	NN	food
.	SENT	.
She	PP	she
went	VBD	go
each	DT	each
week	NN	week
to	TO	to
physical	JJ	physical
therapy	NN	therapy
,	,	,
but	CC	but
just	RB	just
like	IN	like
me	PP	me
,	,	,
she	PP	she
barely	RB	barely
