Anjali	NP	Anjali
Grover	NP	Grover
:	:	:
What	WP	what
we	PP	we
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
is	VBZ	be
unprecedented	JJ	unprecedented
levels	NNS	level
of	IN	of
investment	NN	investment
and	CC	and
innovation	NN	innovation
.	SENT	.
But	CC	but
in	IN	in
order	NN	order
for	IN	for
us	PP	us
to	TO	to
solve	VB	solve
the	DT	the
problem	NN	problem
in	IN	in
time	NN	time
,	,	,
we	PP	we
need	VBP	need
to	TO	to
put	VB	put
pressure	NN	pressure
on	IN	on
our	PP$	our
leaders	NNS	leader
to	TO	to
take	VB	take
action	NN	action
now	RB	now
.	SENT	.
[	SYM	[
An	DT	an
action	NN	action
plan	NN	plan
for	IN	for
solving	VBG	solve
the	DT	the
climate	NN	climate
crisis	NN	crisis
]	SYM	]
[	SYM	[
An	DT	an
updated	VBN	update
action	NN	action
plan	NN	plan
for	IN	for
solving	VBG	solve
the	DT	the
climate	NN	climate
crisis	NN	crisis
]	SYM	]
David	NP	David
Biello	NP	Biello
:	:	:
You	PP	you
guys	NNS	guy
have	VBP	have
a	DT	a
plan	NN	plan
to	TO	to
solve	VB	solve
climate	NN	climate
change	NN	change
.	SENT	.
Tell	VB	tell
me	PP	me
about	IN	about
that	DT	that
.	SENT	.
Ryan	NP	Ryan
Panchadsaram	NP	<unknown>
:	:	:
We	PP	we
do	VBP	do
.	SENT	.
Back	RB	back
in	IN	in
2020	CD	@card@
,	,	,
we	PP	we
set	VBD	set
out	RP	out
to	TO	to
apply	VB	apply
OKRs	NNS	<unknown>
to	TO	to
the	DT	the
climate	NN	climate
crisis	NN	crisis
.	SENT	.
And	CC	and
OKRs	NP	<unknown>
are	VBP	be
objectives	NNS	objective
and	CC	and
key	JJ	key
results	NNS	result
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
goal-setting	NN	goal-setting
tool	NN	tool
used	VBN	use
by	IN	by
thousands	NNS	thousand
of	IN	of
organizations	NNS	organization
to	TO	to
reach	VB	reach
for	IN	for
their	PP$	their
most	RBS	most
audacious	JJ	audacious
goals	NNS	goal
.	SENT	.
And	CC	and
so	RB	so
in	IN	in
2021	CD	@card@
,	,	,
we	PP	we
published	VBD	publish
a	DT	a
book	NN	book
and	CC	and
an	DT	an
action	NN	action
plan	NN	plan
.	SENT	.
And	CC	and
that	DT	that
action	NN	action
plan	NN	plan
described	VBD	describe
how	WRB	how
to	TO	to
tackle	VB	tackle
the	DT	the
climate	NN	climate
crisis	NN	crisis
.	SENT	.
But	CC	but
it	PP	it
used	VBD	use
these	DT	these
OKRs	NN	<unknown>
.	SENT	.
So	RB	so
10	CD	@card@
objectives	NNS	objective
of	IN	of
what	WP	what
we	PP	we
need	VBP	need
to	TO	to
accomplish	VB	accomplish
,	,	,
each	DT	each
paired	VBN	pair
with	IN	with
a	DT	a
handful	NN	handful
of	IN	of
KRs	NP	KR
to	TO	to
tell	VB	tell
us	PP	us
how	WRB	how
we	PP	we
get	VBP	get
there	EX	there
,	,	,
what	WP	what
we	PP	we
need	VBP	need
to	TO	to
really	RB	really
do	VB	do
.	SENT	.
And	CC	and
then	RB	then
in	IN	in
2022	CD	@card@
,	,	,
we	PP	we
updated	VBD	update
speedandscale	NN	speedandscale
.	SENT	.
com	NN	com
to	TO	to
track	VB	track
how	WRB	how
we	PP	we
were	VBD	be
doing	VBG	do
.	SENT	.
And	CC	and
now	RB	now
,	,	,
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
2024	CD	@card@
,	,	,
we	PP	we
'	POS	'
re	NN	re
setting	VBG	set
out	RP	out
to	TO	to
answer	VB	answer
the	DT	the
hard	JJ	hard
question	NN	question
of	IN	of
how	WRB	how
are	VBP	be
we	PP	we
doing	VBG	do
in	IN	in
tackling	VBG	tackle
the	DT	the
climate	NN	climate
crisis	NN	crisis
.	SENT	.
DB	NP	DB
:	:	:
So	RB	so
in	IN	in
2021	CD	@card@
,	,	,
you	PP	you
joined	VBD	join
us	PP	us
in	IN	in
Edinburgh	NP	Edinburgh
and	CC	and
gave	VBD	give
a	DT	a
talk	NN	talk
on	IN	on
stage	NN	stage
with	IN	with
John	NP	John
Doerr	NP	Doerr
.	SENT	.
John	NP	John
Doerr	NP	Doerr
:	:	:
There	EX	there
are	VBP	be
six	CD	six
big	JJ	big
objectives	NNS	objective
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
electrify	VB	electrify
transportation	NN	transportation
,	,	,
which	WDT	which
means	VBZ	mean
stop	VB	stop
using	VBG	use
diesel	NN	diesel
and	CC	and
gas	NN	gas
for	IN	for
our	PP$	our
vehicles	NNS	vehicle
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
decarbonize	VB	decarbonize
the	DT	the
grid	NN	grid
with	IN	with
wind	NN	wind
and	CC	and
solar	JJ	solar
and	CC	and
nuclear	JJ	nuclear
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
fix	VB	fix
our	PP$	our
food	NN	food
systems	NNS	system
.	SENT	.
And	CC	and
that	DT	that
includes	VBZ	include
eating	VBG	eat
less	JJR	less
meat	NN	meat
and	CC	and
dairy	NN	dairy
,	,	,
reducing	VBG	reduce
food	NN	food
waste	NN	waste
and	CC	and
improving	VBG	improve
our	PP$	our
soil	NN	soil
health	NN	health
.	SENT	.
Fourth	JJ	fourth
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
protect	VB	protect
nature	NN	nature
:	:	:
