Imagine	VB	imagine
spending	VBG	spend
seven	CD	seven
years	NNS	year
at	IN	at
MIT	NP	MIT
and	CC	and
research	NN	research
laboratories	NNS	laboratory
,	,	,
only	RB	only
to	TO	to
find	VB	find
out	RP	out
that	IN	that
you	PP	you
'	''	'
re	IN	re
a	DT	a
performance	NN	performance
artist	NN	artist
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
also	RB	also
a	DT	a
software	NN	software
engineer	NN	engineer
,	,	,
and	CC	and
I	PP	I
make	VBP	make
lots	NNS	lot
of	IN	of
different	JJ	different
kinds	NNS	kind
of	IN	of
art	NN	art
with	IN	with
the	DT	the
computer	NN	computer
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
the	DT	the
main	JJ	main
thing	NN	thing
that	IN	that
I	NP	I
'	POS	'
m	NN	m
interested	JJ	interested
in	IN	in
is	VBZ	be
trying	VBG	try
to	TO	to
find	VB	find
a	DT	a
way	NN	way
of	IN	of
making	VBG	make
the	DT	the
computer	NN	computer
into	IN	into
a	DT	a
personal	JJ	personal
mode	NN	mode
of	IN	of
expression	NN	expression
.	SENT	.
And	CC	and
many	JJ	many
of	IN	of
you	PP	you
out	IN	out
there	EX	there
are	VBP	be
the	DT	the
heads	NNS	head
of	IN	of
Macromedia	NP	Macromedia
and	CC	and
Microsoft	NP	Microsoft
,	,	,
and	CC	and
in	IN	in
a	DT	a
way	NN	way
those	DT	those
are	VBP	be
my	PP$	my
bane	NN	bane
:	:	:
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
great	JJ	great
homogenizing	VBG	homogenize
force	NN	force
that	IN	that
software	NN	software
imposes	VBZ	impose
on	IN	on
people	NNS	people
and	CC	and
limits	VBZ	limit
the	DT	the
way	NN	way
they	PP	they
think	VBP	think
about	RB	about
what	WP	what
'	POS	'
s	NNS	<unknown>
possible	JJ	possible
on	IN	on
the	DT	the
computer	NN	computer
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
it	PP	it
'	POS	'
s	NN	S
also	RB	also
a	DT	a
great	JJ	great
liberating	VBG	liberate
force	NN	force
that	WDT	that
makes	VBZ	make
possible	JJ	possible
,	,	,
you	PP	you
know	VBP	know
,	,	,
publishing	NN	publishing
and	CC	and
so	RB	so
forth	RB	forth
,	,	,
and	CC	and
standards	NNS	standard
,	,	,
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
But	CC	but
,	,	,
in	IN	in
a	DT	a
way	NN	way
,	,	,
the	DT	the
computer	NN	computer
makes	VBZ	make
possible	RB	possible
much	RB	much
more	JJR	more
than	IN	than
what	WP	what
most	JJS	most
people	NNS	people
think	VBP	think
,	,	,
and	CC	and
my	PP$	my
art	NN	art
has	VBZ	have
just	RB	just
been	VBN	be
about	RB	about
trying	VBG	try
to	TO	to
find	VB	find
a	DT	a
personal	JJ	personal
way	NN	way
of	IN	of
using	VBG	use
the	DT	the
computer	NN	computer
,	,	,
and	CC	and
so	RB	so
I	PP	I
end	VBP	end
up	RP	up
writing	VBG	write
software	NN	software
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
Chris	NP	Chris
has	VBZ	have
asked	VBN	ask
me	PP	me
to	TO	to
do	VB	do
a	DT	a
short	JJ	short
performance	NN	performance
,	,	,
and	CC	and
so	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
take	VB	take
just	RB	just
this	DT	this
time	NN	time
—	:	-
maybe	RB	maybe
10	CD	@card@
minutes	NNS	minute
—	:	-
to	TO	to
do	VB	do
that	IN	that
,	,	,
and	CC	and
hopefully	RB	hopefully
at	IN	at
the	DT	the
end	NN	end
have	VBP	have
just	RB	just
a	DT	a
moment	NN	moment
to	TO	to
show	VB	show
you	PP	you
a	DT	a
couple	NN	couple
of	IN	of
my	PP$	my
other	JJ	other
projects	NNS	project
in	IN	in
video	JJ	video
form	NN	form
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
about	IN	about
a	DT	a
minute	NN	minute
left	VBD	leave
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
just	RB	just
like	VBP	like
to	TO	to
show	VB	show
a	DT	a
clip	NN	clip
from	IN	from
a	DT	a
most	RBS	most
recent	JJ	recent
project	NN	project
.	SENT	.
I	PP	I
did	VBD	do
a	DT	a
performance	NN	performance
with	IN	with
two	CD	two
singers	NNS	singer
who	WP	who
specialize	VBP	specialize
in	IN	in
making	VBG	make
strange	JJ	strange
noises	NNS	noise
with	IN	with
their	PP$	their
mouths	NNS	mouth
.	SENT	.
And	CC	and
this	DT	this
just	RB	just
came	VBD	come
off	RP	off
last	JJ	last
September	NP	September
at	IN	at
ARS	NP	ARS
Electronica	NP	Electronica
;	:	;
we	PP	we
repeated	VBD	repeat
it	PP	it
in	IN	in
England	NP	England
.	SENT	.
And	CC	and
the	DT	the
idea	NN	idea
is	VBZ	be
to	TO	to
visualize	VB	visualize
their	PP$	their
speech	NN	speech
and	CC	and
song	NN	song
behind	IN	behind
them	PP	them
with	IN	with
a	DT	a
large	JJ	large
screen	NN	screen
.	SENT	.
We	PP	we
used	VBD	use
a	DT	a
computer	NN	computer
vision	NN	vision
tracking	VBG	track
system	NN	system
in	IN	in
order	NN	order
to	TO	to
know	VB	know
where	WRB	where
they	PP	they
were	VBD	be
.	SENT	.
And	CC	and
since	IN	since
we	PP	we
know	VBP	know
where	WRB	where
their	PP$	their
heads	NNS	head
are	VBP	be
,	,	,
and	CC	and
we	PP	we
have	VBP	have
a	DT	a
wireless	NN	wireless
mic	JJ	<unknown>
on	IN	on
them	PP	them
that	IN	that
we	PP	we
'	''	'
re	IN	re
processing	VBG	process
the	DT	the
sound	NN	sound
from	IN	from
,	,	,
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
create	VB	create
visualizations	NNS	visualization
which	WDT	which
are	VBP	be
linked	VBN	link
very	RB	very
tightly	RB	tightly
to	TO	to
what	WP	what
they	PP	they
'	POS	'
re	NN	re
doing	VBG	do
with	IN	with
their	PP$	their
speech	NN	speech
.	SENT	.
This	DT	this
will	MD	will
take	VB	take
about	RB	about
30	CD	@card@
seconds	NNS	second
or	CC	or
so	RB	so
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
making	VBG	make
a	DT	a
,	,	,
kind	NN	kind
of	IN	of
,	,	,
cheek-flapping	VBG	cheek-flap
sound	NN	sound
.	SENT	.
Well	RB	well
,	,	,
suffice	VB	suffice
it	PP	it
to	TO	to
say	VB	say
it	PP	it
'	POS	'
s	NN	S
not	RB	not
all	RB	all
like	IN	like
that	DT	that
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
it	PP	it
.	SENT	.
Thanks	NNS	thanks
very	RB	very
much	RB	much
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
always	RB	always
lots	VBZ	lot
more	RBR	more
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
overtime	NN	overtime
,	,	,
so	RB	so
I	PP	I
just	RB	just
wanted	VBD	want
to	TO	to
say	VB	say
you	PP	you
can	MD	can
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
in	IN	in
New	NP	New
York	NP	York
,	,	,
you	PP	you
can	MD	can
check	VB	check
out	RP	out
my	PP$	my
work	NN	work
at	IN	at
the	DT	the
Whitney	NP	Whitney
Biennial	JJ	biennial
next	JJ	next
week	NN	week
,	,	,
and	CC	and
also	RB	also
at	IN	at
Bitforms	NP	<unknown>
Gallery	NP	Gallery
in	IN	in
Chelsea	NP	Chelsea
.	SENT	.
And	CC	and
with	IN	with
that	DT	that
,	,	,
I	PP	I
think	VBP	think
I	PP	I
should	MD	should
give	VB	give
up	RP	up
the	DT	the
stage	NN	stage
,	,	,
so	RB	so
,	,	,
thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
