June	NP	June
2010	CD	@card@
.	SENT	.
I	PP	I
landed	VBD	land
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
Rome	NP	Rome
,	,	,
Italy	NP	Italy
.	SENT	.
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
there	RB	there
to	TO	to
sightsee	VB	sightsee
.	SENT	.
I	PP	I
was	VBD	be
there	RB	there
to	TO	to
solve	VB	solve
world	NN	world
hunger	NN	hunger
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
I	PP	I
was	VBD	be
a	DT	a
25-year-old	JJ	25-year-old
PhD	JJ	<unknown>
student	NN	student
armed	VBN	arm
with	IN	with
a	DT	a
prototype	NN	prototype
tool	NN	tool
developed	VBD	develop
back	RB	back
at	IN	at
my	PP$	my
university	NN	university
,	,	,
and	CC	and
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
help	VB	help
the	DT	the
World	NP	World
Food	NP	Food
Programme	NN	programme
fix	NN	fix
hunger	NN	hunger
.	SENT	.
So	RB	so
I	PP	I
strode	VBD	stride
into	IN	into
the	DT	the
headquarters	NN	headquarters
building	NN	building
and	CC	and
my	PP$	my
eyes	NNS	eye
scanned	VBD	scan
the	DT	the
row	NN	row
of	IN	of
UN	NP	UN
flags	NNS	flag
,	,	,
and	CC	and
I	PP	I
smiled	VBD	smile
as	IN	as
I	PP	I
thought	VBD	think
to	TO	to
myself	PP	myself
,	,	,
"	''	"
The	DT	the
engineer	NN	engineer
is	VBZ	be
here	RB	here
.	SENT	.
"	``	"
Give	VB	give
me	PP	me
your	PP$	your
data	NNS	datum
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
optimize	VB	optimize
everything	NN	everything
.	SENT	.
Tell	VB	tell
me	PP	me
the	DT	the
food	NN	food
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
purchased	VBD	purchase
,	,	,
tell	VB	tell
me	PP	me
where	WRB	where
it	PP	it
'	POS	'
s	NN	S
going	VBG	go
and	CC	and
when	WRB	when
it	PP	it
needs	VBZ	need
to	TO	to
be	VB	be
there	RB	there
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
the	DT	the
shortest	JJS	short
,	,	,
fastest	JJS	fast
,	,	,
cheapest	JJS	cheap
,	,	,
best	RBS	well
set	VBN	set
of	IN	of
routes	NNS	route
to	TO	to
take	VB	take
for	IN	for
the	DT	the
food	NN	food
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
save	VB	save
money	NN	money
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
avoid	VB	avoid
delays	NNS	delay
and	CC	and
disruptions	NNS	disruption
,	,	,
and	CC	and
bottom	JJ	bottom
line	NN	line
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
save	VB	save
lives	NNS	life
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
welcome	NN	welcome
.	SENT	.
I	PP	I
thought	VBD	think
it	PP	it
was	VBD	be
going	VBG	go
to	TO	to
take	VB	take
12	CD	@card@
months	NNS	month
,	,	,
OK	UH	OK
,	,	,
maybe	RB	maybe
even	RB	even
13	CD	@card@
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
quite	RB	quite
how	WRB	how
it	PP	it
panned	VBD	pan
out	RP	out
.	SENT	.
Just	RB	just
a	DT	a
couple	NN	couple
of	IN	of
months	NNS	month
into	IN	into
the	DT	the
project	NN	project
,	,	,
my	PP$	my
French	JJ	French
boss	NN	boss
,	,	,
he	PP	he
told	VBD	tell
me	PP	me
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
Mallory	NP	Mallory
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
idea	NN	idea
,	,	,
but	CC	but
the	DT	the
data	NNS	datum
you	PP	you
need	VBP	need
for	IN	for
your	PP$	your
algorithms	NNS	algorithm
is	VBZ	be
not	RB	not
there	RB	there
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
right	JJ	right
idea	NN	idea
but	CC	but
at	IN	at
the	DT	the
wrong	JJ	wrong
time	NN	time
,	,	,
and	CC	and
the	DT	the
right	JJ	right
idea	NN	idea
at	IN	at
the	DT	the
wrong	JJ	wrong
time	NN	time
is	VBZ	be
the	DT	the
wrong	JJ	wrong
idea	NN	idea
.	SENT	.
"	``	"
Project	NN	project
over	RP	over
.	SENT	.
I	PP	I
was	VBD	be
