Everyone	NN	everyone
'	POS	'
s	NN	S
heard	VBD	hear
of	IN	of
the	DT	the
tired	JJ	tired
old	JJ	old
adage	NN	adage
of	IN	of
paying	VBG	pay
yourself	PP	yourself
first	JJ	first
.	SENT	.
But	CC	but
that	DT	that
saying	VBG	say
lacks	VBZ	lack
a	DT	a
lot	NN	lot
of	IN	of
useful	JJ	useful
details	NNS	detail
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
actually	RB	actually
pay	VBP	pay
yourself	PP	yourself
first	JJ	first
?	SENT	?
So	IN	so
today	NN	today
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
lead	VBP	lead
you	PP	you
through	IN	through
some	DT	some
changes	NNS	change
you	PP	you
can	MD	can
make	VB	make
to	TO	to
improve	VB	improve
your	PP$	your
saving	NN	saving
strategy	NN	strategy
.	SENT	.
[	SYM	[
Your	PP$	your
Money	NN	money
and	CC	and
Your	PP$	your
Mind	NN	mind
with	IN	with
Wendy	NP	Wendy
De	NP	De
La	NP	La
Rosa	NP	Rosa
]	SYM	]
First	JJ	first
and	CC	and
foremost	RB	foremost
,	,	,
you	PP	you
should	MD	should
focus	VB	focus
on	IN	on
only	RB	only
one	CD	one
goal	NN	goal
at	IN	at
a	DT	a
time	NN	time
.	SENT	.
Typically	RB	typically
,	,	,
we	PP	we
think	VBP	think
about	IN	about
having	VBG	have
multiple	JJ	multiple
savings	NNS	saving
goals	NNS	goal
for	IN	for
multiple	JJ	multiple
things	NNS	thing
.	SENT	.
We	PP	we
have	VBP	have
an	DT	an
emergency	NN	emergency
savings	NN	savings
fund	NN	fund
,	,	,
a	DT	a
vacation	NN	vacation
fund	NN	fund
,	,	,
a	DT	a
wedding	NN	wedding
fund	NN	fund
,	,	,
a	DT	a
car	NN	car
fund	NN	fund
.	SENT	.
.	SENT	.
.	SENT	.
But	CC	but
one	CD	one
great	JJ	great
study	NN	study
compared	VBN	compare
people	NNS	people
'	POS	'
s	NN	S
savings	NN	savings
progress	NN	progress
when	WRB	when
they	PP	they
had	VBD	have
one	CD	one
savings	NNS	saving
goal	NN	goal
compared	VBN	compare
to	TO	to
five	CD	five
savings	NNS	saving
goals	NNS	goal
.	SENT	.
And	CC	and
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
when	WRB	when
participants	NNS	participant
had	VBD	have
just	RB	just
one	CD	one
savings	NN	savings
goal	NN	goal
,	,	,
they	PP	they
saved	VBD	save
more	JJR	more
than	IN	than
when	WRB	when
they	PP	they
had	VBD	have
five	CD	five
.	SENT	.
The	DT	the
research	NN	research
showed	VBD	show
that	IN	that
if	IN	if
you	PP	you
made	VBD	make
progress	NN	progress
in	IN	in
just	RB	just
one	CD	one
of	IN	of
your	PP$	your
savings	NN	savings
accounts	NNS	account
,	,	,
you	PP	you
'	POS	'
d	NN	d
think	VB	think
you	PP	you
'	POS	'
ve	NN	ve
made	VBD	make
progress	NN	progress
across	IN	across
all	DT	all
of	IN	of
them	PP	them
.	SENT	.
Like	IN	like
multitasking	VBG	multitask
at	IN	at
work	NN	work
,	,	,
splitting	VBG	split
your	PP$	your
attention	NN	attention
across	IN	across
multiple	JJ	multiple
savings	NNS	saving
goals	NNS	goal
just	RB	just
isn	NP	isn
'	POS	'
t	NN	t
efficient	JJ	efficient
.	SENT	.
Now	RB	now
,	,	,
that	IN	that
'	POS	'
s	NN	S
not	RB	not
to	TO	to
say	VB	say
that	IN	that
this	DT	this
will	MD	will
be	VB	be
your	PP$	your
only	JJ	only
savings	NNS	saving
goal	NN	goal
;	:	;
you	PP	you
'	POS	'
ll	NNS	<unknown>
have	VBP	have
many	JJ	many
more	JJR	more
throughout	IN	throughout
your	PP$	your
life	NN	life
.	SENT	.
But	CC	but
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
think	VB	think
about	IN	about
the	DT	the
one	CD	one
thing	NN	thing
that	IN	that
you	PP	you
want	VBP	want
to	TO	to
focus	VB	focus
on	IN	on
over	IN	over
the	DT	the
next	JJ	next
six	CD	six
months	NNS	month
to	TO	to
a	DT	a
year	NN	year
.	SENT	.
Start	NN	start
with	IN	with
your	PP$	your
emergency	NN	emergency
savings	NNS	saving
fund	NN	fund
,	,	,
even	RB	even
if	IN	if
it	PP	it
'	POS	'
s	NN	S
500	CD	@card@
dollars	NNS	dollar
or	CC	or
600	CD	@card@
dollars	NNS	dollar
,	,	,
the	DT	the
average	JJ	average
cost	NN	cost
of	IN	of
a	DT	a
car	NN	car
repair	NN	repair
,	,	,
and	CC	and
then	RB	then
go	VB	go
from	IN	from
there	RB	there
