Two	CD	two
weeks	NNS	week
ago	RB	ago
I	PP	I
was	VBD	be
in	IN	in
my	PP$	my
studio	NN	studio
in	IN	in
Paris	NP	Paris
,	,	,
and	CC	and
the	DT	the
phone	NN	phone
rang	VBD	ring
and	CC	and
I	PP	I
heard	VBD	hear
,	,	,
"	``	"
Hey	NP	Hey
,	,	,
JR	NP	JR
,	,	,
you	PP	you
won	VBD	win
the	DT	the
TED	VB	ted
Prize	NP	Prize
2011	CD	@card@
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
make	VB	make
a	DT	a
wish	NN	wish
to	TO	to
save	VB	save
the	DT	the
world	NN	world
.	SENT	.
"	``	"
I	PP	I
was	VBD	be
lost	VBN	lose
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
save	IN	save
the	DT	the
world	NN	world
.	SENT	.
Nobody	NN	nobody
can	MD	can
.	SENT	.
The	DT	the
world	NN	world
is	VBZ	be
fucked	VBN	fuck
up	RP	up
.	SENT	.
Come	VBN	come
on	IN	on
,	,	,
you	PP	you
have	VBP	have
dictators	NNS	dictator
ruling	VBG	rule
the	DT	the
world	NN	world
,	,	,
population	NN	population
is	VBZ	be
growing	VBG	grow
by	IN	by
millions	NNS	million
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
more	JJR	more
fish	NN	fish
in	IN	in
the	DT	the
sea	NN	sea
,	,	,
the	DT	the
North	NP	North
Pole	NP	Pole
is	VBZ	be
melting	VBG	melt
and	CC	and
as	IN	as
the	DT	the
last	JJ	last
TED	VB	ted
Prize	NP	Prize
winner	NN	winner
said	VBD	say
,	,	,
we	PP	we
'	POS	'
re	NN	re
all	DT	all
becoming	VBG	become
fat	NN	fat
.	SENT	.
Except	IN	except
maybe	RB	maybe
French	JJ	French
people	NNS	people
.	SENT	.
Whatever	WDT	whatever
.	SENT	.
So	RB	so
I	PP	I
called	VBD	call
back	RB	back
and	CC	and
I	PP	I
told	VBD	tell
her	PP	her
,	,	,
"	''	"
Look	NP	Look
,	,	,
Amy	NP	Amy
,	,	,
tell	VBP	tell
the	DT	the
TED	VBP	ted
guys	NNS	guy
I	PP	I
just	RB	just
won	VBD	win
'	''	'
t	NN	t
show	NN	show
up	RB	up
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
do	VBP	do
anything	NN	anything
to	TO	to
save	VB	save
the	DT	the
world	NN	world
.	SENT	.
"	''	"
She	PP	she
said	VBD	say
,	,	,
"	``	"
Hey	NP	Hey
,	,	,
JR	NP	JR
,	,	,
your	PP$	your
wish	NN	wish
is	VBZ	be
not	RB	not
to	TO	to
save	VB	save
the	DT	the
world	NN	world
,	,	,
but	CC	but
to	TO	to
change	VB	change
the	DT	the
world	NN	world
.	SENT	.
"	''	"
"	``	"
Oh	UH	oh
,	,	,
all	DT	all
right	NN	right
.	SENT	.
"	''	"
"	``	"
That	RB	that
'	''	'
s	NNS	<unknown>
cool	VBP	cool
.	SENT	.
"	``	"
I	PP	I
mean	VBP	mean
,	,	,
technology	NN	technology
,	,	,
politics	NNS	politics
,	,	,
business	NN	business
do	VBP	do
change	VB	change
the	DT	the
world	NN	world
—	:	-
not	RB	not
always	RB	always
in	IN	in
a	DT	a
good	JJ	good
way	NN	way
,	,	,
but	CC	but
they	PP	they
do	VBP	do
.	SENT	.
What	WP	what
about	IN	about
art	NN	art
?	SENT	?
Could	MD	could
art	NN	art
change	VB	change
the	DT	the
world	NN	world
?	SENT	?
I	PP	I
started	VBD	start
when	WRB	when
I	PP	I
was	VBD	be
15	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
And	CC	and
at	IN	at
that	DT	that
time	NN	time
,	,	,
I	PP	I
was	VBD	be
not	RB	not
thinking	VBG	think
about	IN	about
changing	VBG	change
the	DT	the
world	NN	world
.	SENT	.
I	PP	I
was	VBD	be
doing	VBG	do
graffiti	NNS	graffito
—	:	-
writing	VBG	write
