Mark	NP	Mark
Zuckerberg	NP	Zuckerberg
,	,	,
a	DT	a
journalist	NN	journalist
was	VBD	be
asking	VBG	ask
him	PP	him
a	DT	a
question	NN	question
about	IN	about
the	DT	the
news	NN	news
feed	NN	feed
.	SENT	.
And	CC	and
the	DT	the
journalist	NN	journalist
was	VBD	be
asking	VBG	ask
him	PP	him
,	,	,
"	``	"
Why	WRB	why
is	VBZ	be
this	DT	this
so	RB	so
important	JJ	important
?	SENT	?
"	''	"
And	CC	and
Zuckerberg	NP	Zuckerberg
said	VBD	say
,	,	,
"	``	"
A	DT	a
squirrel	NNS	squirrel
dying	VBG	die
in	IN	in
your	PP$	your
front	JJ	front
yard	NN	yard
may	MD	may
be	VB	be
more	RBR	more
relevant	JJ	relevant
to	TO	to
your	PP$	your
interests	NNS	interest
right	RB	right
now	RB	now
than	IN	than
people	NNS	people
dying	VBG	die
in	IN	in
Africa	NP	Africa
.	SENT	.
"	``	"
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	RB	about
what	WP	what
a	DT	a
Web	NP	Web
based	VBN	base
on	IN	on
that	DT	that
idea	NN	idea
of	IN	of
relevance	NN	relevance
might	MD	might
look	VB	look
like	IN	like
.	SENT	.
So	RB	so
when	WRB	when
I	PP	I
was	VBD	be
growing	VBG	grow
up	RP	up
in	IN	in
a	DT	a
really	RB	really
rural	JJ	rural
area	NN	area
in	IN	in
Maine	NP	Maine
,	,	,
the	DT	the
Internet	NN	Internet
meant	VBD	mean
something	NN	something
very	RB	very
different	JJ	different
to	TO	to
me	PP	me
.	SENT	.
It	PP	it
meant	VBD	mean
a	DT	a
connection	NN	connection
to	TO	to
the	DT	the
world	NN	world
.	SENT	.
It	PP	it
meant	VBD	mean
something	NN	something
that	WDT	that
would	MD	would
connect	VB	connect
us	PP	us
all	RB	all
together	RB	together
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
sure	JJ	sure
that	IN	that
it	PP	it
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
great	JJ	great
for	IN	for
democracy	NN	democracy
and	CC	and
for	IN	for
our	PP$	our
society	NN	society
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
shift	NN	shift
in	IN	in
how	WRB	how
information	NN	information
is	VBZ	be
flowing	VBG	flow
online	JJ	online
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
invisible	NN	invisible
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
pay	NN	pay
attention	NN	attention
to	TO	to
it	PP	it
,	,	,
it	PP	it
could	MD	could
be	VB	be
a	DT	a
real	JJ	real
problem	NN	problem
.	SENT	.
So	RB	so
I	PP	I
first	RB	first
noticed	VBD	notice
this	DT	this
in	IN	in
a	DT	a
place	NN	place
I	PP	I
spend	VBP	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
—	:	-
my	PP$	my
Facebook	NN	<unknown>
page	NN	page
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
progressive	NN	progressive
,	,	,
politically	RB	politically
—	:	-
big	JJ	big
surprise	NN	surprise
—	:	-
but	CC	but
I	PP	I
'	POS	'
ve	NN	ve
always	RB	always
gone	VBN	go
out	RP	out
of	IN	of
my	PP$	my
way	NN	way
to	TO	to
meet	VB	meet
conservatives	NNS	conservative
.	SENT	.
I	PP	I
like	VBP	like
hearing	VBG	hear
what	WP	what
they	PP	they
'	POS	'
re	NN	re
thinking	VBG	think
about	RB	about
;	:	;
I	PP	I
like	VBP	like
seeing	VBG	see
what	WP	what
they	PP	they
link	VBP	link
to	TO	to
;	:	;
I	PP	I
like	VBP	like
learning	VBG	learn
a	DT	a
thing	NN	thing
or	CC	or
two	CD	two
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
was	VBD	be
surprised	VBN	surprise
when	WRB	when
I	PP	I
noticed	VBD	notice
one	CD	one
day	NN	day
that	IN	that
the	DT	the
conservatives	NNS	conservative
had	VBD	have
disappeared	VBN	disappear
from	IN	from
my	PP$	my
Facebook	NN	<unknown>
feed	NN	feed
.	SENT	.
And	CC	and
what	WP	what
it	PP	it
turned	VBD	turn
out	RP	out
was	VBD	be
going	VBG	go
on	RP	on
was	VBD	be
that	IN	that
Facebook	NP	<unknown>
was	VBD	be
looking	VBG	look
at	IN	at
which	WDT	which
links	NNS	link
I	PP	I
clicked	VBD	click
on	IN	on
,	,	,
and	CC	and
it	PP	it
was	VBD	be
noticing	VBG	notice
that	IN	that
,	,	,
actually	RB	actually
,	,	,
I	PP	I
was	VBD	be
clicking	VBG	click
more	JJR	more
on	IN	on
my	PP$	my
