Yeah	RB	yeah
,	,	,
so	RB	so
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
ago	RB	ago
I	PP	I
was	VBD	be
turning	VBG	turn
60	CD	@card@
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
like	IN	like
being	VBG	be
60	CD	@card@
.	SENT	.
And	CC	and
I	PP	I
started	VBD	start
grappling	VBG	grapple
with	IN	with
this	DT	this
existential	JJ	existential
angst	NN	angst
of	IN	of
what	WP	what
little	RB	little
I	PP	I
had	VBD	have
done	VBN	do
with	IN	with
my	PP$	my
life	NN	life
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
the	DT	the
resume	NN	resume
of	IN	of
breaking	VBG	break
this	DT	this
record	NN	record
here	RB	here
,	,	,
it	PP	it
was	VBD	be
more	RBR	more
like	JJ	like
,	,	,
who	WP	who
had	VBD	have
I	PP	I
become	VBN	become
?	SENT	?
How	WRB	how
had	VBD	have
I	PP	I
spent	VBD	spend
my	PP$	my
valuable	JJ	valuable
time	NN	time
?	SENT	?
How	WRB	how
could	MD	could
this	DT	this
have	VBP	have
gone	VBN	go
by	IN	by
like	JJ	like
lightning	NN	lightning
?	SENT	?
And	CC	and
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
forgive	VB	forgive
myself	PP	myself
for	IN	for
the	DT	the
countless	JJ	countless
,	,	,
countless	JJ	countless
hours	NNS	hour
I	PP	I
had	VBD	have
lost	VBN	lose
in	IN	in
negative	JJ	negative
thought	NN	thought
—	:	-
all	PDT	all
the	DT	the
time	NN	time
I	PP	I
had	VBD	have
spent	VBN	spend
beating	VBG	beat
myself	PP	myself
up	RP	up
for	IN	for
losing	VBG	lose
my	PP$	my
marriage	NN	marriage
and	CC	and
not	RB	not
stopping	VBG	stop
the	DT	the
sexual	JJ	sexual
abuse	NN	abuse
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
kid	NN	kid
and	CC	and
career	NN	career
moves	NNS	move
and	CC	and
this	DT	this
and	CC	and
this	DT	this
and	CC	and
this	DT	this
.	SENT	.
Just	RB	just
why	WRB	why
,	,	,
why	WRB	why
didn	NNS	<unknown>
'	POS	'
t	NN	t
I	PP	I
do	VBP	do
it	PP	it
better	JJR	good
?	SENT	?
Why	WRB	why
?	SENT	?
Why	WRB	why
?	SENT	?
Why	WRB	why
?	SENT	?
And	CC	and
then	RB	then
my	PP$	my
mother	NN	mother
died	VBD	die
at	IN	at
82	CD	@card@
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
starting	VBG	start
thinking	NN	thinking
,	,	,
not	RB	not
only	RB	only
am	VBP	be
I	PP	I
not	RB	not
happy	JJ	happy
with	IN	with
the	DT	the
past	NN	past
,	,	,
now	RB	now
I	NP	I
'	POS	'
m	NN	m
getting	VBG	get
choked	VBN	choke
with	IN	with
,	,	,
"	''	"
I	NP	I
'	POS	'
ve	NN	ve
only	RB	only
got	VBD	get
22	CD	@card@
years	NNS	year
left	VBD	leave
.	SENT	.
"	``	"
What	WP	what
am	VBP	be
I	PP	I
going	VBG	go
to	TO	to
do	VB	do
with	IN	with
this	DT	this
short	JJ	short
amount	NN	amount
of	IN	of
time	NN	time
that	RB	that
'	POS	'
s	NN	S
just	RB	just
fleeting	JJ	fleeting
?	SENT	?
And	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
in	IN	in
the	DT	the
present	NN	present
whatsoever	RB	whatsoever
.	SENT	.
And	CC	and
I	PP	I
decided	VBD	decide
the	DT	the
remedy	NN	remedy
to	TO	to
all	DT	all
this	DT	this
malaise	NN	malaise
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
for	IN	for
me	PP	me
to	TO	to
chase	VB	chase
an	DT	an
elevated	JJ	elevated
dream	NN	dream
,	,	,
an	DT	an
extreme	JJ	extreme
dream	NN	dream
,	,	,
something	NN	something
that	WDT	that
would	MD	would
require	VB	require
utter	JJ	utter
conviction	NN	conviction
and	CC	and
unwavering	VBG	unwaver
passion	NN	passion
,	,	,
something	NN	something
that	WDT	that
would	MD	would
make	VB	make
me	PP	me
be	VB	be
my	PP$	my
best	JJS	good
self	NN	self
in	IN	in
every	DT	every
aspect	NN	aspect
of	IN	of
my	PP$	my
life	NN	life
,	,	,
every	DT	every
minute	NN	minute
of	IN	of
every	DT	every
day	NN	day
,	,	,
because	IN	because
the	DT	the
dream	NN	dream
was	VBD	be
so	RB	so
big	JJ	big
that	IN	that
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
get	VB	get
there	RB	there
without	IN	without
that	DT	that
kind	NN	kind
of	IN	of
behavior	NN	behavior
and	CC	and
that	DT	that
kind	NN	kind
of	IN	of
conviction	NN	conviction
.	SENT	.
And	CC	and
I	PP	I
decided	VBD	decide
,	,	,
it	PP	it
was	VBD	be
an	DT	an
old	JJ	old
dream	NN	dream
that	WDT	that
was	VBD	be
lingering	VBG	linger
,	,	,
that	WDT	that
was	VBD	be
from	IN	from
so	RB	so
many	JJ	many
years	NNS	year
ago	RB	ago
,	,	,
three	CD	three
decades	NNS	decade
ago	RB	ago
—	:	-
the	DT	the
only	JJ	only
sort	NN	sort
of	IN	of
world	NN	world
class	NN	class
swim	VBP	swim
I	PP	I
had	VBD	have
tried	VBN	try
and	CC	and
failed	VBN	fail
at	IN	at
back	RB	back
in	IN	in
my	PP$	my
20s	NNS	20s
—	:	-
was	VBD	be
going	VBG	go
from	IN	from
Cuba	NP	Cuba
to	TO	to
Florida	NP	Florida
.	SENT	.
It	PP	it
was	VBD	be
deep	JJ	deep
in	IN	in
my	PP$	my
imagination	NN	imagination
.	SENT	.
No	DT	no
one	CD	one
'	POS	'
s	NN	S
ever	RB	ever
done	VBN	do
it	PP	it
without	IN	without
a	DT	a
shark	NN	shark
cage	NN	cage
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
daunting	JJ	daunting
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
than	IN	than
a	DT	a
hundred	CD	hundred
miles	NNS	mile
across	IN	across
a	DT	a
difficult	JJ	difficult
passage	NN	passage
of	IN	of
ocean	NN	ocean
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
probably	RB	probably
,	,	,
at	IN	at
my	PP$	my
speed	NN	speed
,	,	,
at	IN	at
my	PP$	my
age	NN	age
—	:	-
for	IN	for
anybody	NN	anybody
'	POS	'
s	JJ	<unknown>
speed	NN	speed
at	IN	at
anybody	NN	anybody
'	POS	'
s	NN	S
age	NN	age
—	:	-
going	VBG	go
to	TO	to
take	VB	take
60	CD	@card@
,	,	,
maybe	RB	maybe
70	CD	@card@
,	,	,
hours	NNS	hour
of	IN	of
continuous	JJ	continuous
swimming	NN	swimming
,	,	,
never	RB	never
getting	VBG	get
out	RP	out
on	IN	on
the	DT	the
boat	NN	boat
.	SENT	.
And	CC	and
I	PP	I
started	VBD	start
to	TO	to
train	VB	train
.	SENT	.
I	PP	I
hadn	NNS	<unknown>
'	POS	'
t	NN	t
swum	VBD	swim
for	IN	for
