"	``	"
My	PP$	my
Air	NP	Air
Jordans	NPS	Jordan
cost	VBD	cost
a	DT	a
hundred	CD	hundred
with	IN	with
tax	NN	tax
.	SENT	.
My	PP$	my
suede	NN	suede
Starters	NNS	starter
jacket	NN	jacket
says	VBZ	say
Raiders	NNS	raider
on	IN	on
the	DT	the
back	NN	back
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
stylin	NN	<unknown>
'	POS	'
,	,	,
smilin	NP	smilin
'	POS	'
,	,	,
lookin	NN	lookin
'	POS	'
real	JJ	real
mean	NN	mean
,	,	,
because	IN	because
it	PP	it
ain	NN	ain
'	POS	'
t	NN	t
about	IN	about
being	VBG	be
heard	VBN	hear
,	,	,
just	RB	just
being	VBG	be
seen	VBN	see
.	SENT	.
My	PP$	my
leather	NN	leather
Adidas	NP	Adidas
baseball	NN	baseball
cap	NN	cap
matches	VBZ	match
my	PP$	my
fake	JJ	fake
Gucci	NP	Gucci
backpack	NN	backpack
.	SENT	.
Ain	NN	ain
'	POS	'
t	NN	t
nobody	NN	nobody
who	WP	who
looks	VBZ	look
as	RB	as
good	JJ	good
as	IN	as
me	PP	me
,	,	,
but	CC	but
this	DT	this
costs	NNS	cost
money	NN	money
,	,	,
it	PP	it
sure	JJ	sure
ain	NN	ain
'	POS	'
t	NN	t
free	JJ	free
,	,	,
and	CC	and
I	PP	I
gots	VBZ	<unknown>
no	DT	no
job	NN	job
,	,	,
no	DT	no
money	NN	money
at	IN	at
all	DT	all
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
easy	JJ	easy
to	TO	to
steal	VB	steal
all	PDT	all
this	DT	this
from	IN	from
the	DT	the
mall	NN	mall
.	SENT	.
Parents	NNS	parent
say	VBP	say
I	PP	I
shouldn	NN	<unknown>
'	POS	'
t	NN	t
,	,	,
but	CC	but
I	PP	I
knows	VBZ	know
I	PP	I
should	MD	should
.	SENT	.
Got	VBN	get
to	TO	to
do	VB	do
what	WP	what
I	PP	I
can	MD	can
to	TO	to
make	VB	make
sure	JJ	sure
I	PP	I
look	VBP	look
good	JJ	good
,	,	,
and	CC	and
the	DT	the
reason	NN	reason
I	PP	I
have	VBP	have
to	TO	to
look	VB	look
real	JJ	real
good	NN	good
,	,	,
well	RB	well
,	,	,
to	TO	to
tell	VB	tell
you	PP	you
the	DT	the
truth	NN	truth
,	,	,
man	UH	man
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
why	WRB	why
.	SENT	.
Guess	VB	guess
it	PP	it
makes	VBZ	make
me	PP	me
feel	VBP	feel
special	JJ	special
inside	NN	inside
.	SENT	.
When	WRB	when
I	PP	I
'	POS	'
m	NN	m
wearing	VBG	wear
fresh	JJ	fresh
gear	NN	gear
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
hide	VB	hide
,	,	,
and	CC	and
I	PP	I
really	RB	really
must	MD	must
get	VB	get
some	DT	some
new	JJ	new
