Each	DT	each
of	IN	of
you	PP	you
possesses	VBZ	possess
the	DT	the
most	RBS	most
powerful	JJ	powerful
,	,	,
dangerous	JJ	dangerous
and	CC	and
subversive	JJ	subversive
trait	NN	trait
that	IN	that
natural	JJ	natural
selection	NN	selection
has	VBZ	have
ever	RB	ever
devised	VBN	devise
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
piece	NN	piece
of	IN	of
neural	JJ	neural
audio	JJ	audio
technology	NN	technology
for	IN	for
rewiring	VBG	rewire
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
minds	NNS	mind
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
your	PP$	your
language	NN	language
,	,	,
of	IN	of
course	NN	course
,	,	,
because	IN	because
it	PP	it
allows	VBZ	allow
you	PP	you
to	TO	to
implant	VB	implant
a	DT	a
thought	NN	thought
from	IN	from
your	PP$	your
mind	NN	mind
directly	RB	directly
into	IN	into
someone	NN	someone
else	RB	else
'	POS	'
s	NN	S
mind	NN	mind
,	,	,
and	CC	and
they	PP	they
can	MD	can
attempt	VB	attempt
to	TO	to
do	VB	do
the	DT	the
same	JJ	same
to	TO	to
you	PP	you
,	,	,
without	IN	without
either	DT	either
of	IN	of
you	PP	you
having	VBG	have
to	TO	to
perform	VB	perform
surgery	NN	surgery
.	SENT	.
Instead	RB	instead
,	,	,
when	WRB	when
you	PP	you
speak	VBP	speak
,	,	,
you	PP	you
'	POS	'
re	NN	re
actually	RB	actually
using	VBG	use
a	DT	a
form	NN	form
of	IN	of
telemetry	NN	telemetry
not	RB	not
so	RB	so
different	JJ	different
from	IN	from
the	DT	the
remote	JJ	remote
control	NN	control
device	NN	device
for	IN	for
your	PP$	your
television	NN	television
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
that	IN	that
,	,	,
whereas	IN	whereas
that	DT	that
device	NN	device
relies	VBZ	rely
on	IN	on
pulses	NNS	pulse
of	IN	of
infrared	JJ	infrared
light	NN	light
,	,	,
your	PP$	your
language	NN	language
relies	VBZ	rely
on	IN	on
pulses	NNS	pulse
