Hello	UH	hello
everybody	NN	everybody
,	,	,
thanks	NNS	thanks
for	IN	for
having	VBG	have
me	PP	me
today	NN	today
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
little	JJ	little
bit	NN	bit
injured	VBN	injure
,	,	,
but	CC	but
it	PP	it
takes	VBZ	take
more	JJR	more
than	IN	than
a	DT	a
car	NN	car
to	TO	to
stop	VB	stop
me	PP	me
from	IN	from
talking	VBG	talk
to	TO	to
you	PP	you
.	SENT	.
Maybe	RB	maybe
a	DT	a
tank	NN	tank
?	SENT	?
So	IN	so
today	NN	today
,	,	,
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
microprinter	NN	microprinter
,	,	,
about	IN	about
my	PP$	my
work	NN	work
,	,	,
how	WRB	how
everything	NN	everything
started	VBD	start
,	,	,
what	WP	what
was	VBD	be
my	PP$	my
motivation	NN	motivation
to	TO	to
build	VB	build
the	DT	the
smallest	JJS	small
3-D	JJ	<unknown>
printer	NN	printer
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
Let	NP	Let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
my	PP$	my
daily	JJ	daily
business	NN	business
.	SENT	.
So	RB	so
,	,	,
my	PP$	my
normal	JJ	normal
working	VBG	work
field	NN	field
is	VBZ	be
called	VBN	call
two-	NN	two-
photon	NN	photon
polymerization	NN	polymerization
.	SENT	.
It	PP	it
sounds	VBZ	sound
very	RB	very
nerdy	JJ	nerdy
,	,	,
it	PP	it
is	VBZ	be
very	RB	very
nerdy	JJ	nerdy
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
need	VBP	need
for	IN	for
making	VBG	make
this	DT	this
stuff	NN	stuff
?	SENT	?
You	PP	you
need	VBP	need
a	DT	a
complex	JJ	complex
laser	NN	laser
system	NN	system
,	,	,
a	DT	a
so-	NN	<unknown>
called	VBD	call
femtosecond	JJ	femtosecond
laser	NN	laser
system	NN	system
,	,	,
which	WDT	which
you	PP	you
focus	VBP	focus
onto	IN	onto
a	DT	a
very	RB	very
tiny	JJ	tiny
spot	NN	spot
—	:	-
very	RB	very
,	,	,
very	RB	very
,	,	,
very	RB	very
tiny	JJ	tiny
—	:	-
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
expensive	JJ	expensive
,	,	,
not	RB	not
very	RB	very
durable	JJ	durable
laser	NN	laser
system	NN	system
.	SENT	.
And	CC	and
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
you	PP	you
need	VBP	need
a	DT	a
very	RB	very
complex	JJ	complex
positioning	NN	positioning
system	NN	system
.	SENT	.
We	PP	we
call	VBP	call
it	PP	it
"	``	"
Agathe	NP	Agathe
,	,	,
"	``	"
because	IN	because
it	PP	it
'	POS	'
s	NN	S
very	RB	very
