Today	NP	Today
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
show	VB	show
you	PP	you
the	DT	the
future	NN	future
of	IN	of
the	DT	the
way	NN	way
we	PP	we
make	VBP	make
things	NNS	thing
.	SENT	.
I	PP	I
believe	VBP	believe
that	IN	that
soon	RB	soon
our	PP$	our
buildings	NNS	building
and	CC	and
machines	NNS	machine
will	MD	will
be	VB	be
self-assembling	VBG	self-assemble
,	,	,
replicating	VBG	replicate
and	CC	and
repairing	VBG	repair
themselves	PP	themselves
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
what	WP	what
I	PP	I
believe	VBP	believe
is	VBZ	be
the	DT	the
current	JJ	current
state	NN	state
of	IN	of
manufacturing	NN	manufacturing
,	,	,
and	CC	and
then	RB	then
compare	VBP	compare
that	IN	that
to	TO	to
some	DT	some
natural	JJ	natural
systems	NNS	system
.	SENT	.
So	RB	so
in	IN	in
the	DT	the
current	JJ	current
state	NN	state
of	IN	of
manufacturing	NN	manufacturing
,	,	,
we	PP	we
have	VBP	have
skyscrapers	NNS	skyscraper
—	:	-
two	CD	two
and	CC	and
a	DT	a
half	JJ	half
years	NNS	year
[	SYM	[
of	IN	of
assembly	NN	assembly
time	NN	time
]	SYM	]
,	,	,
500	CD	@card@
,	,	,
000	CD	@card@
to	TO	to
a	DT	a
million	CD	million
parts	NNS	part
,	,	,
fairly	RB	fairly
complex	JJ	complex
,	,	,
new	JJ	new
,	,	,
exciting	JJ	exciting
technologies	NNS	technology
in	IN	in
steel	NN	steel
,	,	,
concrete	NN	concrete
,	,	,
glass	NN	glass
.	SENT	.
We	PP	we
have	VBP	have
exciting	JJ	exciting
machines	NNS	machine
that	WDT	that
can	MD	can
take	VB	take
us	PP	us
into	IN	into
space	NN	space
—	:	-
five	CD	five
years	NNS	year
[	SYM	[
of	IN	of
assembly	NN	assembly
time	NN	time
]	SYM	]
,	,	,
2	CD	@card@
.	SENT	.
5	CD	@card@
million	CD	million
parts	NNS	part
.	SENT	.
But	CC	but
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
,	,	,
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
natural	JJ	natural
systems	NNS	system
,	,	,
we	PP	we
have	VBP	have
proteins	NNS	protein
that	WDT	that
have	VBP	have
two	CD	two
million	CD	million
types	NNS	type
,	,	,
can	MD	can
fold	VB	fold
in	IN	in
10	CD	@card@
,	,	,
000	CD	@card@
nanoseconds	NNS	nanosecond
,	,	,
or	CC	or
DNA	NP	DNA
with	IN	with
three	CD	three
billion	NN	billion
base	NN	base
pairs	VBZ	pair
we	PP	we
can	MD	can
replicate	VB	replicate
in	IN	in
roughly	RB	roughly
an	DT	an
hour	NN	hour
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	NNS	<unknown>
all	RB	all
of	IN	of
this	DT	this
complexity	NN	complexity
in	IN	in
our	PP$	our
natural	JJ	natural
systems	NNS	system
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
extremely	RB	extremely
efficient	JJ	efficient
,	,	,
far	RB	far
more	RBR	more
efficient	JJ	efficient
than	IN	than
anything	NN	anything
we	PP	we
can	MD	can
build	VB	build
,	,	,
far	RB	far
more	RBR	more
complex	JJ	complex
than	IN	than
anything	NN	anything
we	PP	we
can	MD	can
build	VB	build
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
far	RB	far
more	RBR	more
efficient	JJ	efficient
in	IN	in
terms	NNS	term
of	IN	of
energy	NN	energy
.	SENT	.
They	PP	they
