Hello	UH	hello
.	SENT	.
Actually	RB	actually
,	,	,
that	IN	that
'	POS	'
s	NN	S
"	``	"
hello	NN	hello
"	''	"
in	IN	in
Bauer	NP	Bauer
Bodoni	NP	<unknown>
for	IN	for
the	DT	the
typographically	RB	typographically
hysterical	JJ	hysterical
amongst	IN	amongst
us	PP	us
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
threads	NNS	thread
that	WDT	that
seems	VBZ	seem
to	TO	to
have	VB	have
come	VBN	come
through	IN	through
loud	JJ	loud
and	CC	and
clear	JJ	clear
in	IN	in
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
days	NNS	day
is	VBZ	be
this	DT	this
need	NN	need
to	TO	to
reconcile	VB	reconcile
what	WP	what
the	DT	the
Big	NP	Big
wants	VBZ	want
â	NP	<unknown>
the	DT	the
"	``	"
Big	JJ	big
"	''	"
being	VBG	be
the	DT	the
organization	NN	organization
,	,	,
the	DT	the
system	NN	system
,	,	,
the	DT	the
country	NN	country
â	NP	<unknown>
and	CC	and
what	WP	what
the	DT	the
"	``	"
Small	JJ	small
"	''	"
wants	VBZ	want
â	NP	<unknown>
the	DT	the
individual	NN	individual
,	,	,
the	DT	the
person	NN	person
.	SENT	.
And	CC	and
how	WRB	how
do	VBP	do
you	PP	you
bring	VB	bring
those	DT	those
two	CD	two
things	NNS	thing
together	RB	together
?	SENT	?
Charlie	NP	Charlie
Ledbetter	NP	Ledbetter
,	,	,
yesterday	NN	yesterday
,	,	,
I	PP	I
thought	VBD	think
,	,	,
talked	VBD	talk
very	RB	very
articulately	RB	articulately
about	IN	about
this	DT	this
need	NN	need
to	TO	to
bring	VB	bring
consumers	NNS	consumer
,	,	,
to	TO	to
bring	VB	bring
people	NNS	people
into	IN	into
the	DT	the
process	NN	process
of	IN	of
creating	VBG	create
things	NNS	thing
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
today	NN	today
.	SENT	.
So	RB	so
,	,	,
bringing	VBG	bring
together	RB	together
the	DT	the
Small	NP	Small
to	TO	to
help	VB	help
facilitate	VB	facilitate
and	CC	and
create	VB	create
the	DT	the
Big	NP	Big
,	,	,
I	PP	I
think	VBP	think
,	,	,
is	VBZ	be
something	NN	something
that	IN	that
we	PP	we
believe	VBP	believe
in	IN	in
â	NP	<unknown>
something	NN	something
I	PP	I
believe	VBP	believe
in	IN	in
,	,	,
and	CC	and
something	NN	something
that	IN	that
we	PP	we
