Charles	NP	Charles
Van	NP	Van
Doren	NP	Doren
,	,	,
who	WP	who
was	VBD	be
later	RBR	later
a	DT	a
senior	JJ	senior
editor	NN	editor
of	IN	of
Britannica	NP	Britannica
,	,	,
said	VBD	say
the	DT	the
ideal	JJ	ideal
encyclopedia	NN	encyclopedia
should	MD	should
be	VB	be
radical	JJ	radical
â	NP	<unknown>
it	PP	it
should	MD	should
stop	VB	stop
being	VBG	be
safe	JJ	safe
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
know	VBP	know
anything	NN	anything
about	IN	about
the	DT	the
history	NN	history
of	IN	of
Britannica	NP	Britannica
since	IN	since
1962	CD	@card@
,	,	,
it	PP	it
was	VBD	be
anything	NN	anything
but	CC	but
radical	JJ	radical
:	:	:
still	RB	still
a	DT	a
very	RB	very
completely	RB	completely
safe	JJ	safe
,	,	,
stodgy	JJ	stodgy
type	NN	type
of	IN	of
encyclopedia	NN	encyclopedia
.	SENT	.
Wikipedia	NP	<unknown>
,	,	,
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
begins	VBZ	begin
with	IN	with
a	DT	a
very	RB	very
radical	JJ	radical
idea	NN	idea
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
for	IN	for
all	DT	all
of	IN	of
us	PP	us
to	TO	to
imagine	VB	imagine
a	DT	a
world	NN	world
in	IN	in
which	WDT	which
every	DT	every
single	JJ	single
person	NN	person
on	IN	on
the	DT	the
planet	NN	planet
is	VBZ	be
given	VBN	give
free	JJ	free
access	NN	access
to	TO	to
the	DT	the
sum	NN	sum
of	IN	of
all	DT	all
human	JJ	human
knowledge	NN	knowledge
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
'	''	'
re	IN	re
doing	VBG	do
.	SENT	.
So	IN	so
Wikipedia	NP	<unknown>
â	NP	<unknown>
you	PP	you
just	RB	just
saw	VBD	see
the	DT	the
little	JJ	little
demonstration	NN	demonstration
of	IN	of
it	PP	it
â	NP	<unknown>
it	PP	it
'	POS	'
s	NN	S
a	DT	a
freely	RB	freely
licensed	JJ	licensed
encyclopedia	NN	encyclopedia
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
written	VBN	write
by	IN	by
thousands	NNS	thousand
of	IN	of
volunteers	NNS	volunteer
all	RB	all
over	IN	over
the	DT	the
world	NN	world
in	IN	in
many	JJ	many
,	,	,
many	JJ	many
languages	NNS	language
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
written	VBN	write
using	VBG	use
wiki	NP	<unknown>
software	NN	software
â	NP	<unknown>
which	WDT	which
is	VBZ	be
the	DT	the
type	NN	type
of	IN	of
software	NN	software
he	PP	he
just	RB	just
demonstrated	VBD	demonstrate
â	NP	<unknown>
so	IN	so
anyone	NN	anyone
can	MD	can
quickly	RB	quickly
edit	VB	edit
and	CC	and
save	VB	save
,	,	,
and	CC	and
it	PP	it
goes	VBZ	go
live	VB	live
on	IN	on
the	DT	the
Internet	NN	Internet
immediately	RB	immediately
.	SENT	.
And	CC	and
everything	NN	everything
about	IN	about
Wikipedia	NP	<unknown>
is	VBZ	be
managed	VBN	manage
by	IN	by
virtually	RB	virtually
an	DT	an
all-volunteer	JJ	all-volunteer
staff	NN	staff
.	SENT	.
So	RB	so
when	WRB	when
Yochai	NP	<unknown>
is	VBZ	be
talking	VBG	talk
about	IN	about
new	JJ	new
methods	NNS	method
of	IN	of
organization	NN	organization
,	,	,
he	PP	he
'	POS	'
s	NN	S
exactly	RB	exactly
describing	VBG	describe
Wikipedia	NP	<unknown>
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
today	NN	today
is	VBZ	be
tell	VB	tell
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
about	RB	about
how	WRB	how
it	PP	it
really	RB	really
works	VBZ	work
on	IN	on
the	DT	the
inside	NN	inside
.	SENT	.
So	RB	so
Wikipedia	NP	<unknown>
'	POS	'
s	NNS	<unknown>
owned	VBN	own
by	IN	by
the	DT	the
Wikimedia	NP	Wikimedia
