If if
we we
look look
around around
us us
, ,
much much
of of
what what
surrounds surround
us us
started start
life life
as as
various various
rocks rock
and and
sludge sludge
buried bury
in in
the the
ground ground
in in
various various
places place
in in
the the
world world
. .
But but
, ,
of of
course course
, ,
they they
don don
' '
t t
look look
like like
rocks rock
and and
sludge sludge
now now
. .
They they
look look
like like
TV tv
cameras camera
, ,
monitors monitor
, ,
annoying annoy
radio radio
mics mics
. .
And and
so so
this this
magical magical
transformation transformation
is be
what what
I i
was be
trying try
to to
get get
at at
with with
my my
project project
, ,
which which
became become
known know
as as
the the
Toaster toaster
Project project
. .
And and
it it
was be
also also
inspired inspire
by by
this this
quote quote
from from
Douglas douglas
Adams adams
, ,
and and
the the
situation situation
is be
from from
" "
The the
Hitchhiker hitchhiker
' '
s s
Guide guide
to to
the the
Galaxy galaxy
. .
" "
And and
the the
situation situation
it it
describes describe
is be
the the
hero hero
of of
the the
book book
— -
he he
' '
s s
a a
20th-century 20th-century
man man
— -
finds find
himself himself
alone alone
on on
a a
strange strange
planet planet
populated populate
only only
by by
a a
technologically technologically
primitive primitive
people people
. .
And and
he he
kind kind
of of
assumes assume
that that
, ,
yes yes
, ,
he he
' '
ll ll
become become
— -
these these
villagers villager
— -
he he
' '
ll ll
become become
their their
emperor emperor
and and
transform transform
their their
society society
with with
his his
wonderful wonderful
command command
of of
technology technology
and and
science science
and and
the the
elements element
, ,
but but
, ,
of of
course course
, ,
realizes realize
that that
without without
the the
rest rest
of of
human human
society society
, ,
he he
can can
barely barely
make make
a a
sandwich sandwich
, ,
let let
alone alone
a a
toaster toaster
. .
But but
he he
didn didn
' '
t t
have have
Wikipedia wikipedia
. .
So so
I i
thought think
, ,
okay okay
, ,
I i
' '
ll ll
try try
and and
make make
an an
electric electric
toaster toaster
from from
scratch scratch
. .
And and
, ,
working work
on on
the the
idea idea
that that
the the
cheapest cheap
electric electric
toaster toaster
would would
also also
be be
the the
simplest simple
to to
reverse-engineer reverse-engineer
, ,
I i
went go
and and
bought buy
the the
cheapest cheap
toaster toaster
I i
could could
find find
, ,
took take
it it
home home
and and
was be
kind kind
of of
dismayed dismay
to to
discover discover
that that
, ,
inside inside
this this
object object
, ,
which which
I i
' '
d d
bought buy
for for
just just
3 @card@
. .
49 @card@
pounds pound
, ,
there there
were be
400 @card@
different different
bits bit
made make
out out
of of
a a
hundred-plus hundred-plus
different different
materials material
. .
I i
didn didn
' '
t t
have have
the the
rest rest
of of
my my
life life
to to
do do
this this
project project
. .
I i
had have
maybe maybe
nine nine
months month
. .
So so
I i
thought think
, ,
okay okay
, ,
I i
' '
ll ll
start start
with with
five five
. .
And and
these these
were be
steel steel
, ,
mica mica
, ,
plastic plastic
, ,
copper copper
and and
nickel nickel
. .
So so
, ,
starting start
with with
steel steel
: :
how how
do do
you you
make make
steel steel
? ?
I i
went go
and and
knocked knock
on on
the the
door door
of of
the the
Rio rio
Tinto tinto
Chair chair
of of
Advanced advanced
Mineral mineral
Extraction extraction
at at
the the
Royal royal
School school
of of
Mines mines
and and
said say
, ,
" "
How how
do do
you you
make make
steel steel
? ?
" "
And and
Professor professor
Cilliers cilliers
was be
very very
kind kind
and and
talked talk
me me
through through
it it
. .
And and
my my
vague vague
rememberings remembering
from from
GCSE gcse
science science
— -
well well
, ,
steel steel
comes come
from from
iron iron
, ,
so so
I i
phoned phone
up up
an an
iron iron
mine mine
. .
And and
said say
, ,
" "
Hi hi
, ,
I i
' '
m m
trying try
to to
make make
a a
toaster toaster
. .
Can can
I i
come come
up up
and and
get get
some some
iron iron
? ?
" "
Unfortunately unfortunately
, ,
when when
I i
got get
there there
— -
emerges emerge
Ray ray
. .
He he
had have
misheard mishear
me me
and and
thought think
I i
was be
coming come
up up
because because
I i
was be
trying try
to to
make make
a a
poster poster
, ,
and and
so so
wasn wasn
' '
t t
prepared prepare
to to
take take
me me
into into
the the
mines mine
. .
But but
after after
some some
nagging nagging
, ,
I i
got get
him him
to to
do do
that that
. .
Ray ray
: :
It it
was be
Crease crease
Limestone limestone
, ,
and and
that that
was be
produced produce
by by
sea sea
creatures creature
350 @card@
million million
years year
ago ago
in in
a a
nice nice
, ,
warm warm
, ,
sunny sunny
atmosphere atmosphere
. .
When when
you you
study study
geology geology
, ,
you you
can can
see see
what what
' '
s s
happened happen
in in
the the
past past
, ,
and and
there there
were be
terrific terrific
changes change
in in
the the
earth earth
. .
Thomas thomas
Thwaites thwaites
: :
As as
you you
can can
see see
, ,
they they
had have
the the
Christmas christmas
decorations decoration
up up
. .
And and
of of
course course
, ,
it it
wasn wasn
' '
t t
actually actually
a a
working work
mine mine
anymore anymore
, ,
because because
, ,
though though
Ray ray
was be
a a
miner miner
there there
, ,
the the
mine mine
had have
closed close
and and
had have
been be
reopened reopen
as as
a a
kind kind
of of
tourist tourist
attraction attraction
, ,
because because
, ,
of of
course course
, ,
it it
can can
' '
t t
compete compete
on on
the the
scale scale
of of
operations operation
which which
are be
happening happen
in in
South south
America america
, ,
Australia australia
, ,
wherever wherever
. .
But but
anyway anyway
, ,
I i
got get
my my
suitcase suitcase
of of
iron iron
ore ore
and and
dragged drag
it it
back back
to to
London london
on on
the the
train train
, ,
and and
then then
was be
faced face
with with
the the
problem problem
: :
Okay okay
, ,
how how
do do
you you
make make
this this
rock rock
into into
components component
for for
a a
toaster toaster
? ?
So so
I i
went go
back back
to to
Professor professor
Cilliers cilliers
, ,
and and
he he
said say
, ,
" "
Go go
to to
the the
library library
. .
" "
So so
I i
did do
and and
was be
looking look
through through
the the
undergraduate undergraduate
textbooks textbook
on on
metallurgy metallurgy
— -
completely completely
useless useless
for for
what what
I i
was be
trying try
to to
do do
. .
Because because
, ,
of of
course course
, ,
they they
don don
' '
t t
actually actually
tell tell
you you
how how
to to
do do
it it
if if
you you
want want
to to
do do
it it
yourself yourself
and and
you you
don don
' '
t t
have have
a a
smelting smelt
plant plant
. .
So so
I i
ended end
up up
going go
to to
the the
History history
of of
Science science
Library library
and and
looking look
at at
this this
book book
. .
This this
is be
the the
first first
textbook textbook
on on
metallurgy metallurgy
written write
in in
the the
West west
, ,
at at
least least
. .
And and
there there
you you
can can
see see
that that
woodcut woodcut
is be
basically basically
what what
I i
ended end
up up
doing do
. .
But but
instead instead
of of
a a
bellows bellow
, ,
I i
had have
a a
leaf leaf
blower blower
. .
And and
that that
was be
something something
that that
reoccurred reoccurred
throughout throughout
the the
project project
, ,
was be
, ,
the the
smaller small
the the
scale scale
you you
want want
to to
work work
on on
, ,
the the
further further
back back
in in
time time
you you
have have
to to
go go
. .
And and
so so
this this
is be
after after
a a
day day
and and
about about
half half
a a
night night
smelting smelt
this this
iron iron
. .
I i
dragged drag
out out
this this
stuff stuff
, ,
and and
it it
wasn wasn
' '
t t
iron iron
. .
But but
luckily luckily
, ,
I i
found find
a a
patent patent
online online
for for
industrial industrial
furnaces furnace
that that
use use
microwaves microwave
, ,
and and
at at
30 @card@
minutes minute
at at
full full
power power
, ,
and and
I i
was be
able able
to to
finish finish
off off
the the
process process
. .
So so
, ,
my my
next next
— -
The the
next next
thing thing
I i
was be
trying try
to to
get get
was be
copper copper
. .
Again again
, ,
this this
mine mine
was be
once once
the the
largest large
copper copper
mine mine
in in
the the
world world
. .
It it
' '
s s
not not
anymore anymore
, ,
but but
I i
found find
a a
retired retire
geology geology
professor professor
to to
take take
me me
down down
, ,
and and
he he
said say
, ,
" "
Okay okay
, ,
I i
' '
ll ll
let let
you you
have have
some some
water water
from from
the the
mine mine
. .
" "
And and
the the
reason reason
I i
was be
interested interested
in in
getting get
water water
is be
because because
water water
which which
goes go
through through
mines mine
becomes become
kind kind
of of
acidic acidic
and and
will will
start start
picking pick
up up
, ,
dissolving dissolve
the the
minerals mineral
from from
the the
mine mine
. .
And and
a a
good good
example example
of of
this this
is be
the the
Rio rio
Tinto tinto
, ,
which which
is be
in in
Portugal portugal
. .
As as
you you
can can
see see
, ,
it it
' '
s s
got get
lots lot
and and
lots lot
of of
minerals mineral
dissolved dissolve
in in
it it
. .
So so
many many
such such
that that
it it
' '
s s
now now
just just
a a
home home
for for
bacteria bacterium
who who
really really
like like
acidic acidic
, ,
toxic toxic
conditions condition
. .
But but
anyway anyway
, ,
the the
water water
I i
dragged drag
back back
from from
the the
Isle isle
of of
Anglesey anglesey
where where
the the
mine mine
was be
— -
there there
was be
enough enough
copper copper
in in
it it
such such
that that
I i
could could
cast cast
the the
pins pin
of of
my my
metal metal
electric electric
plug plug
. .
So so
my my
next next
thing thing
: :
I i
was be
off off
to to
Scotland scotland
to to
get get
mica mica
. .
And and
mica mica
is be
a a
mineral mineral
which which
is be
a a
very very
good good
insulator insulator
and and
very very
good good
at at
insulating insulate
electricity electricity
. .
That that
' '
s s
me me
getting get
mica mica
. .
And and
the the
last last
material material
I i
' '
m m
going go
to to
talk talk
about about
today today
is be
plastic plastic
, ,
and and
, ,
of of
course course
, ,
my my
toaster toaster
had have
to to
have have
a a
plastic plastic
case case
. .
Plastic plastic
is be
the the
defining define
feature feature
of of
cheap cheap
electrical electrical
goods good
. .
And and
so so
plastic plastic
comes come
from from
oil oil
, ,
so so
I i
phoned phone
up up
BP bp
and and
spent spend
a a
good good
half half
an an
hour hour
trying try
to to
convince convince
the the
PR pr
office office
at at
BP bp
that that
it it
would would
be be
fantastic fantastic
for for
them them
if if
they they
flew fly
me me
to to
an an
oil oil
rig rig
and and
let let
me me
have have
a a
jug jug
of of
oil oil
. .
BP bp
obviously obviously
has have
a a
bit bit
more more
on on
their their
mind mind
now now
. .
But but
even even
then then
they they
weren weren
' '
t t
convinced convince
and and
said say
, ,
" "
Okay okay
, ,
we we
' '
ll ll
phone phone
you you
back back
" "
— -
never never
did do
. .
So so
I i
looked look
at at
other other
ways way
of of
making make
plastic plastic
. .
And and
you you
can can
actually actually
make make
plastic plastic
from from
obviously obviously
oils oil
which which
come come
from from
plants plant
, ,
but but
also also
from from
starches starch
. .
So so
this this
is be
attempting attempt
to to
make make
potato potato
starch starch
plastic plastic
. .
And and
for for
a a
while while
that that
was be
looking look
really really
good good
. .
I i
poured pour
it it
into into
the the
mold mold
, ,
which which
you you
can can
see see
there there
, ,
which which
I i
' '
ve ve
made make
from from
a a
tree tree
trunk trunk
. .
And and
it it
was be
looking look
good good
for for
a a
while while
, ,
but but
I i
left leave
it it
outside outside
, ,
because because
you you
had have
to to
leave leave
it it
outside outside
to to
dry dry
, ,
and and
unfortunately unfortunately
I i
came come
back back
and and
there there
were be
snails snail
eating eat
the the
unhydrolyzed unhydrolyzed
bits bit
of of
potato potato
. .
So so
kind kind
of of
out out
of of
desperation desperation
, ,
