Have have
you you
ever ever
wondered wonder
what what
animals animal
think think
and and
feel feel
? ?
Let let
' '
s s
start start
with with
a a
question question
: :
Does do
my my
dog dog
really really
love love
me me
, ,
or or
does do
she she
just just
want want
a a
treat treat
? ?
Well well
, ,
it it
' '
s s
easy easy
to to
see see
that that
our our
dog dog
really really
loves love
us us
, ,
easy easy
to to
see see
, ,
right right
, ,
what what
' '
s s
going go
on on
in in
that that
fuzzy fuzzy
little little
head head
. .
What what
is be
going go
on on
? ?
Something something
' '
s s
going go
on on
. .
But but
why why
is be
the the
question question
always always
do do
they they
love love
us us
? ?
Why why
is be
it it
always always
about about
us us
? ?
Why why
are be
we we
such such
narcissists narcissist
? ?
I i
found find
a a
different different
question question
to to
ask ask
animals animal
. .
Who who
are be
you you
? ?
There there
are be
capacities capacity
of of
the the
human human
mind mind
that that
we we
tend tend
to to
think think
are be
capacities capacity
only only
of of
the the
human human
mind mind
. .
But but
is be
that that
true true
? ?
What what
are be
other other
beings being
doing do
with with
those those
brains brain
? ?
What what
are be
they they
thinking think
and and
feeling feel
? ?
Is be
there there
a a
way way
to to
know know
? ?
I i
think think
there there
is be
a a
way way
in in
. .
I i
think think
there there
are be
several several
ways way
in in
. .
We we
can can
look look
at at
evolution evolution
, ,
we we
can can
look look
at at
their their
brains brain
and and
we we
can can
watch watch
what what
they they
do do
. .
The the
first first
thing thing
to to
remember remember
is be
: :
our our
brain brain
is be
inherited inherit
. .
The the
first first
neurons neuron
came come
from from
jellyfish jellyfish
. .
Jellyfish jellyfish
gave give
rise rise
to to
the the
first first
chordates chordate
. .
The the
first first
chordates chordate
gave give
rise rise
to to
the the
first first
vertebrates vertebrate
. .
The the
vertebrates vertebrate
came come
out out
of of
the the
sea sea
, ,
and and
here here
we we
are be
. .
But but
it it
' '
s s
still still
true true
that that
a a
neuron neuron
, ,
a a
nerve nerve
cell cell
, ,
looks look
the the
same same
in in
a a
crayfish crayfish
, ,
a a
bird bird
or or
you you
. .
What what
does do
that that
say say
about about
the the
minds mind
of of
crayfish crayfish
? ?
Can can
we we
