They they
told tell
me me
that that
I i
' '
m m
a a
traitor traitor
to to
my my
own own
profession profession
, ,
that that
I i
should should
be be
fired fire
, ,
have have
my my
medical medical
license license
taken take
away away
, ,
that that
I i
should should
go go
back back
to to
my my
own own
country country
. .
My my
email email
got get
hacked hack
. .
In in
a a
discussion discussion
forum forum
for for
other other
doctors doctor
, ,
someone someone
took take
credit credit
for for
" "
Twitter-bombing twitter-bomb
" "
my my
account account
. .
Now now
, ,
I i
didn didn
' '
t t
know know
if if
this this
was be
a a
good good
or or
bad bad
thing thing
, ,
but but
then then
came come
the the
response response
: :
" "
Too too
bad bad
it it
wasn wasn
' '
t t
a a
real real
bomb bomb
. .
" "
I i
never never
thought think
that that
I i
would would
do do
something something
that that
would would
provoke provoke
this this
level level
of of
anger anger
among among
other other
doctors doctor
. .
Becoming become
a a
doctor doctor
was be
my my
dream dream
. .
I i
grew grow
up up
in in
China china
, ,
and and
my my
earliest early
memories memory
are be
of of
being be
rushed rush
to to
the the
hospital hospital
because because
I i
had have
such such
bad bad
asthma asthma
that that
I i
was be
there there
nearly nearly
every every
week week
. .
I i
had have
this this
one one
doctor doctor
, ,
Dr dr
. .
Sam sam
, ,
who who
always always
took take
care care
of of
me me
. .
She she
was be
about about
the the
same same
age age
as as
my my
mother mother
. .
She she
had have
this this
wild wild
, ,
curly curly
hair hair
, ,
and and
she she
always always
wore wear
these these
bright bright
yellow yellow
flowery flowery
dresses dress
. .
She she
was be
one one
of of
those those
doctors doctor
who who
, ,
if if
you you
fell fall
and and
you you
broke break
your your
arm arm
, ,
she she
would would
ask ask
you you
why why
you you
weren weren
' '
t t
laughing laugh
because because
it it
' '
s s
your your
humerus humerus
. .
Get get
it it
? ?
See see
, ,
you you
' '
d d
groan groan
, ,
but but
she she
' '
d d
always always
make make
you you
feel feel
better well
after after
having have
seen see
her her
. .
Well well
, ,
we we
all all
have have
that that
childhood childhood
hero hero
that that
we we
want want
to to
grow grow
up up
to to
be be
just just
like like
, ,
right right
? ?
Well well
, ,
I i
wanted want
to to
be be
just just
like like
Dr dr
. .
Sam sam
. .
When when
I i
was be
eight eight
, ,
my my
parents parent
and and
I i
moved move
to to
the the
U u
. .
S s
. .
, ,
and and
ours ours
became become
the the
typical typical
immigrant immigrant
narrative narrative
. .
My my
parents parent
cleaned clean
hotel hotel
rooms room
and and
washed washed
dishes dish
and and
pumped pump
gas gas
so so
that that
I i
could could
pursue pursue
my my
dream dream
. .
Well well
, ,
eventually eventually
I i
learned learn
enough enough
English english
, ,
and and
my my
parents parent
were be
so so
happy happy
the the
day day
that that
I i
got get
into into
medical medical
school school
and and
took take
my my
oath oath
of of
healing healing
and and
service service
. .
But but
then then
one one
day day
, ,
everything everything
changed change
. .
My my
mother mother
called call
me me
to to
tell tell
me me
that that
she she
wasn wasn
' '
t t
feeling feeling
well well
, ,
she she
had have
a a
cough cough
that that
wouldn wouldn
' '
t t
go go
away away
, ,
she she
was be
short short
of of
breath breath
and and
tired tired
. .
Well well
, ,
I i
knew know
that that
my my
mother mother
was be
someone someone
who who
never never
complained complain
about about
anything anything
. .
For for
her her
to to
tell tell
me me
that that
something something
was be
the the
matter matter
, ,
I i
knew know
something something
had have
to to
be be
really really
wrong wrong
. .
And and
it it
was be
: :
We we
found find
out out
that that
she she
had have
stage stage
IV @card@
breast breast
cancer cancer
, ,
cancer cancer
that that
by by
then then
had have
spread spread
to to
her her
lungs lung
, ,
her her
bones bone
, ,
and and
her her
brain brain
. .
My my
mother mother
was be
brave brave
, ,
though though
, ,
and and
she she
had have
hope hope
. .
She she
went go
through through
surgery surgery
and and
radiation radiation
, ,
and and
was be
