Corey corey
Hajim hajim
: :
Are be
you you
there there
? ?
Ray ray
Dalio dalio
: :
Hi hi
. .
CH ch
: :
Thank thank
you you
so so
much much
for for
being be
here here
, ,
Ray ray
. .
RD rd
: :
Do do
you you
see see
me me
? ?
CH ch
: :
I i
see see
you you
. .
You you
look look
great great
. .
Thank thank
you you
so so
much much
for for
being be
here here
, ,
we we
really really
appreciate appreciate
it it
. .
RD rd
: :
My my
pleasure pleasure
. .
CH ch
: :
OK ok
, ,
so so
lay lie
it it
on on
us us
, ,
Ray ray
, ,
how how
bad bad
is be
it it
, ,
how how
worried worry
should should
we we
be be
? ?
RD rd
: :
Well well
, ,
I i
think think
you you
could could
look look
at at
this this
like like
a a
tsunami tsunami
that that
' '
s s
hit hit
-- --
the the
virus virus
itself itself
and and
the the
social social
distancing distancing
. .
And and
then then
what what
are be
the the
consequences consequence
in in
terms term
of of
the the
wreckage wreckage
, ,
when when
you you
look look
at at
it it
? ?
And and
I i
think think
you you
have have
to to
think think
of of
that that
as as
incomes income
and and
balance balance
sheets sheet
, ,
you you
know know
? ?
So so
it it
was be
a a
tremendous tremendous
income income
hit hit
. .
And and
then then
the the
balance balance
sheets sheet
losses loss
. .
And and
who who
has have
what what
savings saving
and and
so so
on on
. .
And and
then then
how how
is be
that that
dealt deal
with with
. .
In in
order order
to to
understand understand
that that
, ,
you you
have have
to to
realize realize
that that
there there
are be
these these
holes hole
. .
These these
holes hole
in in
income income
, ,
and and
the the
holes hole
in in
the the
balance balance
sheets sheet
. .
And and
then then
you you
have have
to to
realize realize
that that
there there
is be
the the
production production
of of
money money
and and
credit credit
. .
And and
who who
produces produce
that that
money money
and and
credit credit
. .
OK ok
, ,
the the
money money
and and
credit credit
comes come
in in
different different
flavors flavor
. .
There there
is be
US us
dollar dollar
money money
and and
credit credit
. .
There there
is be
Euro-dollar euro-dollar
money money
and and
credit credit
. .
And and
so so
when when
you you
look look
at at
the the
world world
, ,
and and
you you
' '
re re
seeing see
it it
, ,
you you
' '
re re
seeing see
a a
situation situation
that that
is be
the the
same same
as as
existed exist
, ,
really really
, ,
in in
the the
1930 @card@
to to
' '
45 @card@
period period
, ,
in in
that that
now now
we we
' '
re re
seeing see
the the
production production
of of
a a
lot lot
of of
debt debt
, ,
a a
lot lot
of of
borrowing borrowing
by by
the the
government government
. .
We we
' '
re re
seeing see
zero zero
interest interest
rates rate
and and
not not
the the
traditional traditional
kind kind
of of
monetary monetary
policy policy
. .
But but
the the
producing produce
of of
a a
lot lot
of of
money money
and and
credit credit
-- --
so so
the the
Federal federal
Reserve reserve
is be
buying buy
the the
Treasury treasury
' '
s s
debt debt
. .
And and
the the
Treasury treasury
is be
getting get
that that
money money
to to
, ,
mostly mostly
, ,
Americans americans
, ,
in in
some some
imperfect imperfect
but but
remarkably remarkably
large large
way way
. .
And and
the the
Europeans europeans
are be
doing do
the the
same same
in in
their their
way way
. .
That that
bank bank
is be
a a
smaller small
bank bank
, ,
because because
the the
world world
lives live
with with
about about
70 @card@
percent percent
dollars dollar
, ,
and and
only only
a a
small small
percent percent
euro euro
, ,
and and
they they
will will
produce produce
theirs theirs
for for
theirs theirs
, ,
and and
there there
aren aren
' '
t t
many many
banks bank
around around
the the
world world
. .
And and
so so
the the
rest rest
of of
the the
world world
is be
going go
to to
have have
gaps gap
, ,
holes hole
that that
won win
' '
t t
be be
filled fill
. .
So so
if if
you you
think think
about about
that that
and and
you you
say say
, ,
" "
American american
printing printing
of of
money money
and and
the the
borrowing borrowing
will will
leave leave
us us
with with
a a
lot lot
of of
debt debt
and and
monetization monetization
, ,
" "
that that
' '
s s
something something
interesting interesting
to to
talk talk
about about
, ,
and and
we we
need need
to to
talk talk
about about
that that
. .
Who who
will will
pay pay
these these
bills bill
, ,
and and
how how
will will
that that
be be
shared share
, ,
will will
be be
something something
we we
need need
to to
talk talk
about about
. .
But but
you you
will will
know know
that that
you you
will will
get get
that that
money money
. .
And and
the the
Europeans europeans
will will
get get
their their
versions version
of of
that that
money money
. .
But but
we we
are be
in in
a a
new new
world world
. .
And and
that that
world world
is be
most most
similar similar
to to
the the
1930-45 @card@
world world
, ,
and and
a a
lot lot
of of
the the
world world
will will
not not
get get
that that
money money
in in
credit credit
. .
So so
there there
will will
be be
a a
big big
differentiation differentiation
as as
to to
which which
entities entity
benefit benefit
and and
which which
entities entity
don don
' '
t t
. .
And and
there there
will will
be be
a a
big big
collaboration collaboration
as as
to to
how how
we we
will will
deal deal
with with
that that
bill bill
and and
who who
will will
end end
up up
with with
what what
. .
A a
big big
question question
of of
wealth wealth
distribution distribution
, ,
and and
all all
of of
that that
. .
So so
that that
' '
s s
the the
big big
thing thing
that that
' '
s s
going go
to to
be be
happening happen
. .
CH ch
: :
How how
confident confident
are be
you you
that that
some some
of of
that that
collaboration collaboration
can can
happen happen
right right
now now
? ?
RD rd
: :
We we
' '
re re
now now
at at
one one
of of
those those
defining define
moments moment
that that
I i
' '
ve ve
seen see
repeatedly repeatedly
. .
The the
1930-45 @card@
period period
, ,
if if
you you
go go
back back
in in
history history
, ,
there there
' '
s s
nothing nothing
new new
to to
this this
. .
And and
it it
' '
s s
a a
defining define
moment moment
in in
terms term
of of
how how
people people
are be
with with
each each
other other
. .
So so
when when
you you
look look
at at
it it
, ,
will will
people people
come come
together together
or or
, ,
when when
it it
comes come
down down
to to
it it
, ,
really really
, ,
will will
there there
be be
a a
taking take
care care
of of
oneself oneself
and and
what what
does do
that that
define define
, ,
and and
how how
will will
that that
go go
? ?
That that
will will
be be
, ,
I i
think think
, ,
a a
defining define
moment moment
. .
So so
I i
look look
at at
these these
histories history
. .
If if
I i
can can
take take
a a
minute minute
, ,
I i
' '
d d
like like
to to
just just
paint paint
a a
template template
for for
you you
that that
takes take
us us
, ,
you you
know know
, ,
over over
the the
last last
thousand thousand
years year
, ,
the the
things thing
that that
have have
happened happen
over over
and and
over over
again again
. .
There there
was be
one one
pattern pattern
that that
I i
' '
d d
like like
to to
convey convey
. .
May may
I i
take take
a a
moment moment
and and
do do
that that
? ?
CH ch
: :
Absolutely absolutely
. .
RD rd
: :
There there
are be
four four
things thing
that that
are be
the the
driving drive
forces force
of of
our our
economy economy
and and
our our
lifestyle lifestyle
and and
wealth wealth
. .
And and
the the
first first
and and
most most
powerful powerful
is be
productivity productivity
, ,
which which
comes come
from from
people people
learning learn
and and
inventing invent
and and
doing do
things thing
well well
, ,
just just
as as
Marko marko
[ [
Russiver russiver
] ]
described describe
. .
OK ok
? ?
And and
it it
grows grow
slowly slowly
. .
You you
know know
, ,
one one
or or
two two
or or
three three
percent percent
a a
year year
. .
It it
grows grow
slowly slowly
, ,
and and
it it
' '
s s
not not
volatile volatile
, ,
because because
knowledge knowledge
isn isn
' '
t t
volatile volatile
. .
But but
it it
grows grow
, ,
and and
that that
raises raise
our our
living live
standards standard
over over
a a
period period
of of
time time
. .
Then then
there there
' '
s s
the the
short-term short-term
debt debt
cycle cycle
. .
The the
short-term short-term
debt debt
cycle cycle
is be
, ,
you you
know know
, ,
recessions recession
and and
expansions expansion
and and
booms boom
and and
recessions recession
-- --
that that
. .
They they
last last
about about
eight eight
, ,
ten ten
years year
. .
And and
then then
there there
' '
s s
a a
long-term long-term
debt debt
cycle cycle
. .
And and
that that
long-term long-term
debt debt
cycle cycle
, ,
which which
goes go
on on
about about
once once
every every
50 @card@
to to
75 @card@
years year
, ,
is be
when when
you you
begin begin
a a
new new
type type
of of
money money
and and
a a
new new
type type
of of
credit credit
. .
That that
began begin
in in
1945 @card@
. .
The the
new new
world world
order order
at at
the the
end end
of of
World world
War war
II ii
, ,
and and
with with
the the
Bretton bretton
Woods woods
monetary monetary
system system
, ,
created create
a a
new new
monetary monetary
system system
in in
1945 @card@
, ,
a a
new new
money money
. .
So so
they they
wiped wipe
out out
, ,
pretty pretty
much much
, ,
the the
old old
money money
, ,
or or
they they
largely largely
disposed dispose
of of
it it
, ,
and and
they they
began begin
anew anew
. .
And and
that that
' '
s s
the the
new new
world world
order order
, ,
which which
was be
the the
American american
world world
order order
, ,
and and
we we
have have
seen see
it it
, ,
and and
still still
, ,
70 @card@
percent percent
of of
the the
money money
and and
credit credit
that that
exists exist
in in
the the
economy economy
is be
running run
by by
dollars dollar
, ,
and and
what what
you you
have have
, ,
traditionally traditionally
, ,
is be
the the
breakdown breakdown
. .
And and
then then
the the
fourth fourth
influence influence
is be
politics politics
. .
And and
politics politics
is be
largely largely
how how
we we
deal deal
with with
each each
other other
. .
And and
there there
' '
s s
internal internal
politics politics
, ,
and and
there there
' '
s s
external external
politics politics
. .
The the
internal internal
politics politics
is be
, ,
how how
do do
you you
deal deal
with with
the the
wealth wealth
gap gap
? ?
How how
do do
you you
deal deal
with with
the the
values value
gap gap
? ?
Do do
you you
have have
a a
common common
mission mission
? ?
Do do
we we
have have
an an
American american
dream dream
that that
we we
can can
agree agree
on on
and and
that that
we we
' '
re re
pursuing pursue
that that
together together
, ,
or or
do do
you you
fight fight
over over
wealth wealth
, ,
and and
so so
on on
. .
And and
so so
when when
you you
look look
at at
history history
, ,
that that
' '
s s
what what
revolutions revolution
are be
in in
their their
various various
ways way
. .
And and
there there
' '
s s
always always
a a
revolution revolution
in in
one one
of of
these these
. .
Sometimes sometimes
those those
are be
peaceful peaceful
revolutions revolution
and and
sometimes sometimes
they they
are be
disruptive disruptive
. .
But but
it it
' '
s s
a a
wealth wealth
shift shift
that that
needs need
to to
take take
place place
. .
Roosevelt roosevelt
shifted shift
policies policy
and and
changed change
taxes tax
and and
so so
on on
in in
that that
way way
. .
And and
then then
in in
other other
countries country
, ,
there there
was be
the the
turning turning
over over
democracy democracy
. .
Hitler hitler
came come
to to
power power
because because
of of
that that
gap gap
. .
So so
how how
people people
deal deal
with with
each each
other other
internally internally
. .
There there
' '
s s
also also
external external
politics politics
, ,
so so
that that
politics politics
means mean
between between
countries country
. .
And and
you you
have have
a a
situation situation
when when
there there
' '
s s
a a
rising rise
power power
challenging challenge
existing existing
power power
. .
There there
is be
competition competition
, ,
and and
there there
is be
a a
risk risk
of of
war war
. .
And and
so so
how how
they they
deal deal
with with
each each
other other
. .
Whether whether
there there
' '
s s
a a
greater great
good good
, ,
or or
whether whether
they they
are be
fighting fight
with with
each each
other other
is be
the the
defining define
moment moment
. .
There there
are be
always always
stress stress
tests test
, ,
these these
big big
stress stress
tests test
that that
come come
along along
once once
every every
75 @card@
years year
. .
And and
when when
they they
happen happen
-- --
And and
this this
is be
a a
stress stress
test test
. .
And and
I i
think think
that that
what what
you you
' '
re re
going go
to to
see see
is be
how how
we we
deal deal
with with
each each
other other
. .
There there
' '
s s
enough enough
wealth wealth
to to
go go
around around
. .
But but
what what
do do
you you
do do
when when
you you
' '
re re
outside outside
the the
ring ring
of of
support support
? ?
Let let
' '
s s
say say
of of
the the
US us
dollar dollar
. .
And and
what what
is be
that that
going go
to to
be be
like like
for for
those those
entities entity
? ?
Or or
if if
you you
' '
re re
within within
the the
ring ring
of of
support support
, ,
how how
will will
that that
bill bill
be be
divided divide
? ?
And and
how how
will will
we we
be be
with with
each each
other other
? ?
I i
think think
we we
' '
re re
going go
to to
have have
to to
reconsider reconsider
who who
has have
what what
, ,
what what
is be
it it
about about
education education
, ,
and and
so so
on on
. .
So so
that that
' '
s s
what what
we we
' '
re re
in in
, ,
I i
think think
. .
CH ch
: :
And and
I i
want want
to to
get get
to to
-- --
because because
you you
' '
ve ve
written write
extensively extensively
about about
how how
capitalism capitalism
needs need
to to
change change
, ,
and and
some some
of of
the the
things thing
that that
we we
should should
be be
thinking think
about about
and and
doing do
, ,
and and
I i
want want
to to
definitely definitely
get get
to to
that that
a a
little little
bit bit
later later
on on
, ,
but but
I i
am be
curious curious
right right
now now
, ,
just just
from from
a a
practical practical
level level
, ,
do do
you you
think think
that that
we we
' '
re re
headed head
into into
a a
global global
depression depression
? ?
