Hi hi
, ,
I i
' '
m m
an an
engineer engineer
and and
I i
make make
robots robot
. .
Now now
, ,
of of
course course
you you
all all
know know
what what
a a
robot robot
is be
, ,
right right
? ?
If if
you you
don don
' '
t t
, ,
you you
' '
d d
probably probably
go go
to to
Google google
, ,
and and
you you
' '
d d
ask ask
Google google
what what
a a
robot robot
is be
. .
So so
let let
' '
s s
do do
that that
. .
We we
' '
ll ll
go go
to to
Google google
and and
this this
is be
what what
we we
get get
. .
Now now
, ,
you you
can can
see see
here here
there there
are be
lots lot
of of
different different
types type
of of
robots robot
, ,
but but
they they
' '
re re
predominantly predominantly
humanoid humanoid
in in
structure structure
. .
And and
they they
look look
pretty pretty
conventional conventional
because because
they they
' '
ve ve
got get
plastic plastic
, ,
they they
' '
ve ve
got get
metal metal
, ,
they they
' '
ve ve
got get
motors motor
and and
gears gear
and and
so so
on on
. .
Some some
of of
them them
look look
quite quite
friendly friendly
, ,
and and
you you
could could
go go
up up
and and
you you
could could
hug hug
them them
. .
Some some
of of
them them
not not
so so
friendly friendly
, ,
they they
look look
like like
they they
' '
re re
straight straight
out out
of of
" "
Terminator terminator
, ,
" "
in in
fact fact
they they
may may
well well
be be
straight straight
out out
of of
" "
Terminator terminator
. .
" "
You you
can can
do do
lots lot
of of
really really
cool cool
things thing
with with
these these
robots robot
— -
you you
can can
do do
really really
exciting exciting
stuff stuff
. .
But but
I i
' '
d d
like like
to to
look look
at at
different different
kinds kind
of of
robots robot
— -
I i
want want
to to
make make
different different
kinds kind
of of
robots robot
. .
And and
I i
take take
inspiration inspiration
from from
the the
things thing
that that
don don
' '
t t
look look
like like
us us
, ,
but but
look look
like like
these these
. .
So so
these these
are be
natural natural
biological biological
organisms organism
and and
they they
do do
some some
really really
cool cool
things thing
that that
we we
can can
' '
t t
, ,
and and
current current
robots robot
can can
' '
t t
either either
. .
They they
do do
all all
sorts sort
of of
great great
things thing
like like
moving move
around around
on on
the the
floor floor
; ;
they they
go go
into into
our our
gardens garden
and and
they they
eat eat
our our
crops crop
; ;
they they
climb climb
trees tree
; ;
they they
go go
in in
water water
, ,
they they
come come
out out
of of
water water
; ;
they they
trap trap
insects insect
and and
digest digest
them them
. .
So so
they they
do do
really really
interesting interesting
things thing
. .
They they
live live
, ,
they they
breathe breathe
, ,
they they
die die
, ,
they they
eat eat
things thing
from from
the the
environment environment
. .
Our our
current current
robots robot
don don
' '
t t
really really
do do
that that
. .
Now now
, ,
wouldn wouldn
' '
t t
it it
be be
great great
if if
you you
could could
use use
some some
of of
those those
characteristics characteristic
in in
future future
robots robot
so so
that that
you you
could could
solve solve
some some
really really
interesting interesting
problems problem
? ?
I i
' '
m m
going go
to to
look look
at at
a a
couple couple
of of
problems problem
now now
in in
the the
environment environment
where where
we we
can can
use use
the the
skills skill
and and
the the
technologies technology
derived derive
from from
these these
animals animal
and and
from from
the the
plants plant
, ,
and and
we we
can can
use use
them them
to to
solve solve
those those
problems problem
. .
Let let
' '
s s
have have
a a
look look
at at
two two
environmental environmental
problems problem
. .
They they
' '
re re
both both
of of
our our
making making
— -
this this
is be
man man
interacting interact
with with
the the
environment environment
and and
doing do
some some
rather rather
unpleasant unpleasant
things thing
. .
The the
first first
one one
is be
to to
do do
with with
the the
pressure pressure
of of
population population
. .
Such such
is be
the the
pressure pressure
of of
population population
around around
the the
world world
that that
agriculture agriculture
and and
farming farming
is be
required require
to to
produce produce
more more
and and
more more
crops crop
. .
Now now
, ,
to to
do do
that that
, ,
farmers farmer
put put
more more
and and
more more
chemicals chemical
onto onto
the the
land land
. .
They they
put put
on on
fertilizers fertilizer
, ,
nitrates nitrate
, ,
pesticides pesticide
— -
all all
sorts sort
of of
things thing
that that
encourage encourage
the the
growth growth
of of
the the
crops crop
, ,
but but
there there
are be
some some
negative negative
impacts impact
. .
One one
of of
the the
negative negative
impacts impact
is be
if if
you you
put put
lots lot
of of
fertilizer fertilizer
on on
the the
land land
, ,
not not
all all
of of
it it
goes go
into into
the the
crops crop
. .
Lots lot
of of
it it
stays stay
in in
the the
soil soil
, ,
and and
then then
when when
it it
rains rain
, ,
these these
chemicals chemical
go go
into into
the the
water water
table table
. .
And and
in in
the the
water water
table table
, ,
then then
they they
go go
into into
streams stream
, ,
into into
lakes lake
, ,
into into
rivers river
and and
into into
