Let let
me me
show show
you you
some some
images image
of of
what what
I i
consider consider
to to
be be
the the
cities city
of of
tomorrow tomorrow
. .
So so
, ,
that that
' '
s s
Kibera kibera
, ,
the the
largest large
squatter squatter
community community
in in
Nairobi nairobi
. .
This this
is be
the the
squatter squatter
community community
in in
Sanjay sanjay
Gandhi gandhi
National national
Park park
in in
Bombay bombay
, ,
India india
, ,
what what
' '
s s
called call
Mumbai mumbai
these these
days day
. .
This this
is be
Hosinia hosinia
, ,
the the
largest large
and and
most most
urbanized urbanize
favela favela
in in
Rio rio
de de
Janeiro janeiro
. .
And and
this this
is be
Sultanbelyi sultanbelyi
, ,
which which
is be
one one
of of
the the
largest large
squatter squatter
communities community
in in
Istanbul istanbul
. .
They they
are be
what what
I i
consider consider
to to
be be
the the
cities city
of of
tomorrow tomorrow
, ,
the the
new new
urban urban
world world
. .
Now now
, ,
why why
do do
I i
say say
that that
? ?
To to
tell tell
you you
about about
that that
I i
have have
to to
talk talk
about about
this this
fellow fellow
here here
, ,
his his
name name
is be
Julius julius
. .
And and
I i
met meet
Julius julius
the the
last last
week week
that that
I i
was be
living live
in in
Kibera kibera
. .
So so
, ,
I i
had have
been be
there there
almost almost
three three
months month
, ,
and and
I i
was be
touring tour
around around
the the
city city
going go
to to
different different
squatter squatter
areas area
and and
Julius julius
was be
tagging tag
along along
, ,
and and
he he
was be
bug bug
eyed eye
and and
at at
certain certain
points point
we we
were be
walking walk
around around
, ,
he he
grabbed grab
my my
hand hand
for for
support support
, ,
which which
is be
something something
most most
Kenyans kenyan
would would
never never
consider consider
doing do
. .
They they
' '
re re
very very
polite polite
and and
they they
don don
' '
t t
get get
so so
forward forward
so so
quickly quickly
. .
And and
I i
found find
out out
later later
that that
it it
was be
Julius julius
' '
first first
day day
in in
Nairobi nairobi
, ,
and and
he he
' '
s s
one one
of of
many many
. .
So so
, ,
close close
to to
200 @card@
, ,
000 @card@
people people
a a
day day
migrate migrate
from from
the the
rural rural
to to
the the
urban urban
areas area
. .
That that
' '
s s
, ,
and and
I i
' '
m m
going go
to to
be be
fair fair
to to
the the
statisticians statistician
who who
talked talk
this this
morning morning
, ,
not not
almost almost
1 @card@
. .
5 @card@
million million
people people
a a
week week
, ,
but but
almost almost
1 @card@
. .
4 @card@
million million
people people
a a
week week
but but
I i
' '
m m
a a
journalist journalist
, ,
and and
we we
exaggerate exaggerate
, ,
so so
almost almost
1 @card@
. .
5 @card@
million million
people people
a a
week week
, ,
close close
to to
70 @card@
million million
people people
a a
year year
. .
And and
if if
you you
do do
the the
math math
, ,
that that
' '
s s
130 @card@
people people
every every
minute minute
. .
So so
, ,
that that
' '
ll ll
be be
— -
in in
the the
18 @card@
minutes minute
that that
I i
' '
m m
given give
to to
talk talk
here here
, ,
between between
two two
and and
three three
thousand thousand
people people
will will
have have
journeyed journey
to to
the the
cities city
. .
And and
here here
are be
the the
statistics statistic
. .
Today today
— -
a a
billion billion
squatters squatter
, ,
one one
in in
six six
people people
on on
the the
planet planet
. .
2030 @card@
— -
two two
billion billion
squatters squatter
, ,
one one
in in
four four
people people
on on
the the
planet planet
. .
And and
the the
estimate estimate
is be
that that
in in
2050 @card@
, ,
there there
' '
ll ll
be be
three three
billion billion
squatters squatter
, ,
better good
than than
one one
in in
three three
people people
on on
earth earth
. .
So so
, ,
these these
are be
the the
cities city
of of
the the
future future
, ,
and and
we we
have have
to to
engage engage
them them
. .
And and
I i
was be
thinking think
this this
morning morning
of of
the the
good good
life life
, ,
and and
before before
I i
show show
you you
the the
rest rest
of of
my my
presentation presentation
, ,
I i
' '
m m
going go
to to
violate violate
TED ted
rules rule
here here
, ,
and and
I i
' '
m m
going go
to to
read read
you you
something something
from from
my my
book book
as as
quickly quickly
as as
I i
can can
. .
Because because
I i
think think
it it
says say
something something
about about
reversing reverse
our our
perception perception
of of
what what
we we
think think
the the
good good
life life
is be
. .
So so
— -
" "
The the
hut hut
was be
made make
of of
corrugated corrugate
metal metal
, ,
set set
on on
a a
concrete concrete
pad pad
. .
It it
was be
a a
10 @card@
by by
10 @card@
cell cell
. .
Armstrong armstrong
O o
' '
Brian brian
, ,
Jr jr
. .
shared share
it it
with with
three three
other other
men man
. .
Armstrong armstrong
and and
his his
friends friend
had have
no no
water water
— -
they they
bought buy
it it
from from
a a
nearby nearby
tap tap
owner owner
— -
no no
toilet toilet
— -
the the
families family
in in
this this
compound compound
shared share
a a
single single
pit-latrine pit-latrine
— -
and and
no no
sewers sewer
or or
sanitation sanitation
. .
They they
did do
have have
electricity electricity
, ,
but but
it it
was be
illegal illegal
service service
tapped tap
from from
someone someone
else else
' '
s s
wires wire
, ,
and and
could could
only only
power power
one one
feeble feeble
bulb bulb
. .
This this
was be
Southland southland
, ,
a a
small small
shanty shanty
community community
on on
the the
western western
side side
of of
Nairobi nairobi
, ,
Kenya kenya
. .
But but
it it
could could
' '
ve ve
been be
anywhere anywhere
in in
the the
city city
, ,
because because
more more
than than
half half
the the
city city
of of
Nairobi nairobi
lives life
like like
this this
. .
1 1
. .
5 @card@
million million
people people
stuffed stuff
into into
mud mud
or or
metal metal
huts hut
with with
no no
services service
, ,
no no
toilets toilet
, ,
no no
rights right
. .
" "
Armstrong armstrong
explained explain
the the
brutal brutal
reality reality
of of
their their
situation situation
: :
they they
paid pay
1 @card@
, ,
500 @card@
shillings shilling
in in
rent rent
, ,
about about
20 @card@
bucks buck
a a
month month
, ,
a a
relatively relatively
high high
price price
for for
a a
Kenyan kenyan
shantytown shantytown
, ,
and and
they they
could could
not not
afford afford
to to
be be
late late
with with
the the
money money
. .
' '
In in
case case
you you
owe owe
one one
month month
, ,
the the
landlord landlord
will will
come come
with with
his his
henchmen henchman
and and
bundle bundle
you you
out out
. .
He he
will will
confiscate confiscate
your your
things thing
, ,
' '
Armstrong armstrong
said say
. .
' '
Not not
one one
month month
, ,
one one
day day
, ,
' '
his his
roommate roommate
Hilary hilary
Kibagendi kibagendi
Onsomu onsomu
, ,
who who
was be
cooking cook
ugali ugali
, ,
the the
spongy spongy
white white
cornmeal cornmeal
concoction concoction
that that
is be
the the
staple staple
food food
in in
the the
country country
, ,
cut cut
into into
the the
conversation conversation
. .
They they
called call
their their
landlord landlord
a a
Wabenzi wabenzi
, ,
meaning mean
that that
he he
is be
a a
person person
who who
has have
enough enough
money money
to to
drive drive
a a
Mercedes-Benz mercedes-benz
. .
Hilary hilary
served serve
the the
ugali ugali
with with
a a
fry fry
of of
meat meat
and and
tomatoes tomato
; ;
the the
sun sun
slammed slam
down down
on on
the the
thin thin
steel steel
roof roof
; ;
and and
we we
perspired perspire
as as
we we
ate eat
. .
" "
After after
we we
finished finish
, ,
Armstrong armstrong
straightened straighten
his his
tie tie
, ,
put put
on on
a a
wool wool
sports sport
jacket jacket
, ,
and and
we we
headed head
out out
into into
the the
glare glare
. .
Outside outside
a a
mound mound
of of
garbage garbage
formed form
the the
border border
between between
Southland southland
and and
the the
adjacent adjacent
legal legal
neighborhood neighborhood
of of
Langata langata
. .
It it
was be
perhaps perhaps
eight eight
feet foot
tall tall
, ,
40 @card@
feet foot
long long
, ,
and and
10 @card@
feet foot
wide wide
. .
And and
it it
was be
set set
in in
a a
wider wide
watery watery
ooze ooze
. .
As as
we we
passed pass
, ,
two two
boys boy
were be
climbing climb
the the
mount mount
Kenya kenya
of of
trash trash
. .
They they
couldn couldn
' '
t t
have have
been be
more more
than than
five five
or or
six six
years year
old old
. .
They they
were be
barefoot barefoot
, ,
and and
with with
each each
step step
their their
toes toe
sank sink
into into
the the
muck muck
sending send
hundreds hundred
of of
flies fly
scattering scatter
from from
the the
rancid rancid
pile pile
. .
I i
thought think
they they
might might
be be
playing play
King king
of of
the the
Hill hill
, ,
but but
I i
was be
wrong wrong
. .
Once once
atop atop
the the
pile pile
, ,
one one
of of
the the
boys boy
lowered lower
his his
shorts short
, ,
squatted squat
, ,
and and
defecated defecate
. .
The the
flies fly
buzzed buzz
hungrily hungrily
around around
his his
legs leg
. .
When when
20 @card@
families family
— -
100 @card@
people people
or or
so so
— -
share share
a a
single single
latrine latrine
, ,
a a
boy boy
pooping poop
on on
a a
garbage garbage
pile pile
is be
perhaps perhaps
no no
big big
thing thing
. .
But but
it it
stood stand
in in
jarring jarring
contrast contrast
to to
something something
Armstrong armstrong
had have
said say
as as
we we
were be
eating eat
— -
that that
he he
treasured treasure
the the
quality quality
of of
life life
in in
his his
neighborhood neighborhood
. .
" "
For for
Armstrong armstrong
, ,
Southland southland
wasn wasn
' '
t t
constrained constrain
by by
its its
material material
conditions condition
. .
Instead instead
, ,
the the
human human
spirit spirit
radiated radiate
out out
from from
the the
metal metal
walls wall
and and
garbage garbage
heaps heap
to to
offer offer
something something
no no
legal legal
neighborhood neighborhood
could could
: :
freedom freedom
. .
' '
This this
place place
is be
very very
addictive addictive
, ,
' '
he he
had have
said say
. .
' '
It it
' '
s s
a a
simple simple
life life
, ,
but but
nobody nobody
is be
restricting restrict
you you
. .
Nobody nobody
is be
controlling control
what what
you you
do do
. .
Once once
you you
have have
stayed stay
here here
, ,
you you
cannot can
go go
back back
. .
' '
He he
meant mean
back back
beyond beyond
that that
mountain mountain
of of
trash trash
, ,
back back
in in
the the
legal legal
city city
, ,
of of
legal legal
buildings building
, ,
with with
legal legal
leases lease
and and
legal legal
rights right
. .
' '
Once once
you you
have have
stayed stay
here here
, ,
' '
he he
said say
, ,
' '
you you
can can
stay stay
for for
the the
rest rest
of of
your your
life life
. .
' '
" "
So so
, ,
he he
has have
hope hope
, ,
and and
this this
is be
where where
these these
communities community
start start
. .
This this
is be
perhaps perhaps
the the
most most
primitive primitive
shanty shanty
that that
you you
can can
find find
in in
Kibera kibera
, ,
little little
more more
than than
a a
stick-and-mud stick-and-mud
hut hut
next next
to to
a a
garbage garbage
heap heap
. .
