Good good
morning morning
, ,
ladies lady
and and
gentlemen gentleman
. .
My my
name name
is be
Art art
Benjamin benjamin
, ,
and and
I i
am be
a a
" "
mathemagician mathemagician
. .
" "
What what
that that
means means
is be
, ,
I i
combine combine
my my
loves love
of of
math math
and and
magic magic
to to
do do
something something
I i
call call
" "
mathemagics mathemagic
. .
" "
But but
before before
I i
get get
started start
, ,
I i
have have
a a
quick quick
question question
for for
the the
audience audience
. .
By by
any any
chance chance
, ,
did do
anyone anyone
happen happen
to to
bring bring
with with
them them
this this
morning morning
a a
calculator calculator
? ?
Seriously seriously
, ,
if if
you you
have have
a a
calculator calculator
with with
you you
, ,
raise raise
your your
hand hand
. .
Raise raise
your your
hand hand
. .
Did do
your your
hand hand
go go
up up
? ?
Now now
bring bring
it it
out out
, ,
bring bring
it it
out out
. .
Anybody anybody
else else
? ?
I i
see see
, ,
I i
see see
one one
way way
in in
the the
back back
. .
You you
sir sir
, ,
that that
' '
s s
three three
. .
And and
anybody anybody
on on
this this
side side
here here
? ?
OK ok
, ,
over over
there there
on on
the the
aisle aisle
. .
Would would
the the
four four
of of
you you
please please
bring bring
out out
your your
calculators calculator
, ,
then then
join join
me me
up up
on on
stage stage
. .
Let let
' '
s s
give give
them them
a a
nice nice
round round
of of
applause applause
. .
That that
' '
s s
right right
. .
Now now
, ,
since since
I i
haven haven
' '
t t
had have
the the
chance chance
to to
work work
with with
these these
calculators calculator
, ,
I i
need need
to to
make make
sure sure
that that
they they
are be
all all
working work
properly properly
. .
Would would
somebody somebody
get get
us us
started start
by by
giving give
us us
a a
two-digit two-digit
number number
, ,
please please
? ?
How how
about about
a a
two-digit two-digit
number number
? ?
Audience audience
: :
22 @card@
. .
AB ab
: :
22 @card@
. .
And and
another another
two-digit two-digit
number number
, ,
sir sir
? ?
Audience audience
: :
47 @card@
. .
AB ab
: :
Multiply multiply
22 @card@
times time
47 @card@
, ,
make make
sure sure
you you
get get
1 @card@
, ,
034 @card@
, ,
or or
the the
calculators calculator
are be
not not
working work
. .
Do do
all all
of of
you you
get get
1 @card@
, ,
034 @card@
? ?
1 @card@
, ,
034 @card@
? ?
Volunteer volunteer
: :
No no
. .
AB ab
: :
594 @card@
. .
Let let
' '
s s
give give
three three
of of
them them
a a
nice nice
round round
of of
applause applause
there there
. .
Would would
you you
like like
to to
try try
a a
more more
standard standard
calculator calculator
, ,
just just
in in
case case
? ?
OK ok
, ,
great great
. .
What what
I i
' '
m m
going go
to to
try try
and and
do do
then then
— -
I i
notice notice
it it
took take
some some
of of
you you
a a
little little
bit bit
of of
time time
to to
get get
your your
answer answer
. .
That that
' '
s s
OK ok
. .
I i
' '
ll ll
give give
you you
a a
shortcut shortcut
for for
multiplying multiply
even even
faster faster
on on
the the
calculator calculator
. .
There there
is be
something something
called call
the the
square square
of of
a a
number number
, ,
which which
most most
of of
you you
know know
is be
taking take
a a
number number
and and
multiplying multiply
it it
by by
itself itself
. .
For for
instance instance
, ,
five five
squared square
would would
be be
? ?
Audience audience
: :
25 @card@
. .
AB ab
: :
25 @card@
. .
The the
way way
we we
can can
square square
on on
most most
calculators calculator
— -
let let
me me
demonstrate demonstrate
with with
this this
one one
— -
is be
by by
taking take
the the
number number
, ,
such such
as as
five five
, ,
hitting hit
" "
times time
" "
and and
then then
" "
equals equal
, ,
" "
and and
on on
most most
calculators calculator
that that
will will
give give
you you
the the
square square
. .
On on
some some
of of
these these
ancient ancient
RPN rpn
calculators calculator
, ,
you you
' '
ve ve
got get
an an
" "
x x
squared square
" "
button button
on on
it it
, ,
will will
allow allow
you you
to to
do do
the the
calculation calculation
even even
faster faster
. .
What what
I i
' '
m m
going go
to to
try try
and and
do do
now now
is be
to to
square square
, ,
in in
my my
head head
, ,
four four
two-digit two-digit
numbers number
faster faster
than than
they they
can can
do do
on on
their their
calculators calculator
, ,
even even
using use
the the
shortcut shortcut
method method
. .
What what
I i
' '
ll ll
use use
is be
the the
second second
row row
this this
time time
, ,
and and
I i
' '
ll ll
get get
four four
of of
you you
to to
each each
yell yell
out out
a a
two-digit two-digit
number number
, ,
and and
if if
you you
would would
square square
the the
first first
number number
, ,
and and
if if
you you
would would
square square
the the
second second
, ,
the the
third third
and and
the the
fourth fourth
, ,
I i
will will
try try
and and
race race
you you
to to
the the
answer answer
. .
OK ok
? ?
So so
quickly quickly
, ,
a a
two-digit two-digit
number number
please please
. .
Audience audience
: :
37 @card@
. .
Arthur arthur
Benjamin benjamin
: :
37 @card@
squared square
, ,
OK ok
. .
Audience audience
: :
23 @card@
. .
AB ab
: :
23 @card@
squared square
, ,
OK ok
. .
Audience audience
: :
59 @card@
. .
AB ab
: :
59 @card@
squared square
, ,
OK ok
, ,
and and
finally finally
? ?
Audience audience
: :
93 @card@
. .
AB ab
: :
93 @card@
squared square
. .
Would would
you you
call call
out out
your your
answers answer
, ,
please please
? ?
Volunteer volunteer
: :
1369 @card@
. .
AB ab
: :
1369 @card@
. .
Volunteer volunteer
: :
529 @card@
. .
AB ab
: :
529 @card@
. .
Volunteer volunteer
: :
3481 @card@
. .
AB ab
: :
3481 @card@
. .
Volunteer volunteer
: :
8649 @card@
. .
AB ab
: :
Thank thank
you you
very very
much much
. .
Let let
me me
try try
to to
take take
this this
one one
step step
further further
. .
I i
' '
m m
going go
to to
try try
to to
square square
some some
three-digit three-digit
numbers number
this this
time time
. .
I i
won win
' '
t t
even even
write write
these these
down down
— -
I i
' '
ll ll
just just
call call
them them
out out
as as
they they
' '
re re
called call
out out
to to
me me
. .
Anyone anyone
I i
point point
to to
, ,
call call
out out
a a
three-digit three-digit
number number
. .
Anyone anyone
on on
our our
panel panel
, ,
verify verify
the the
answer answer
. .
Just just
give give
some some
indication indication
if if
it it
' '
s s
right right
. .
A a
three-digit three-digit
number number
, ,
sir sir
, ,
yes yes
? ?
Audience audience
: :
987 @card@
. .
AB ab
: :
987 @card@
squared square
is be
974 @card@
, ,
169 @card@
. .
AB ab
: :
Yes yes
? ?
Good good
. .
Another another
three-digit three-digit
— -
— -
another another
three-digit three-digit
number number
, ,
sir sir
? ?
Audience audience
: :
457 @card@
. .
AB ab
: :
457 @card@
squared square
is be
205 @card@
, ,
849 @card@
. .
205 @card@
, ,
849 @card@
? ?
AB ab
: :
Yes yes
? ?
OK ok
, ,
another another
, ,
another another
three-digit three-digit
number number
, ,
sir sir
? ?
Audience audience
: :
321 @card@
. .
AB ab
: :
321 @card@
is be
103 @card@
, ,
041 @card@
. .
103 @card@
, ,
041 @card@
. .
Yes yes
? ?
One one
more more
three-digit three-digit
number number
please please
. .
Audience audience
: :
Oh oh
, ,
722 @card@
. .
AB ab
: :
722 @card@
is be
500 @card@
, ,
that that
' '
s s
a a
harder harder
one one
. .
Is be
that that
513 @card@
, ,
284 @card@
? ?
Volunteer volunteer
: :
Yes yes
. .
AB ab
: :
Yes yes
? ?
Oh oh
, ,
one one
more more
, ,
one one
more more
three-digit three-digit
number number
please please
. .
Audience audience
: :
162 @card@
. .
162 @card@
squared square
is be
26 @card@
, ,
244 @card@
. .
Volunteer volunteer
: :
Yes yes
. .
Thank thank
you you
very very
much much
. .
Let let
me me
try try
to to
take take
this this
one one
step step
further further
. .
I i
' '
m m
going go
to to
try try
to to
square square
a a
four-digit four-digit
number number
this this
time time
. .
You you
can can
all all
take take
your your
time time
on on
this this
; ;
I i
will will
not not
beat beat
you you
to to
the the
answer answer
on on
this this
one one
, ,
but but
I i
will will
try try
to to
get get
the the
answer answer
right right
. .
To to
make make
this this
a a
little little
bit bit
more more
random random
, ,
let let
' '
s s
take take
the the
fourth fourth
row row
this this
time time
, ,
let let
' '
s s
say say
, ,
one one
, ,
two two
, ,
three three
, ,
four four
. .
If if
each each
of of
you you
would would
call call
out out
a a
single single
digit digit
between between
zero zero
and and
nine nine
, ,
that that
will will
be be
the the
four-digit four-digit
number number
that that
I i
' '
ll ll
square square
. .
Nine nine
. .
Seven seven
. .
Five five
. .
Eight eight
. .
9 @card@
, ,
758 @card@
, ,
this this
will will
take take
me me
a a
little little
bit bit
of of
time time
, ,
so so
bear bear
with with
me me
. .
95 @card@
million million
— -
218 @card@
, ,
564 @card@
? ?
Volunteer volunteer
: :
Yes yes
! !
AB ab
: :
Thank thank
you you
very very
much much
. .
Now now
, ,
I i
would would
attempt attempt
to to
square square
a a
five-digit five-digit
number number
— -
and and
I i
can can
— -
but but
unfortunately unfortunately
, ,
most most
calculators calculator
cannot can
. .
Eight-digit eight-digit
capacity capacity
— -
don don
' '
t t
you you
hate hate
that that
? ?
So so
, ,
since since
we we
' '
ve ve
reached reach
the the
limits limit
of of
our our
calculators calculator
— -
what what
' '
s s
that that
? ?
Does do
yours yours
go go
higher high
? ?
Volunteer volunteer
: :
I i
don don
' '
t t
know know
. .
AB ab
: :
