Melati melati
Wijsen wijsen
: :
Bali bali
â â
island island
of of
gods god
. .
Isabel isabel
Wijsen wijsen
: :
A a
green green
paradise paradise
. .
MW mw
: :
Or or
. .
. .
. .
a a
paradise paradise
lost lose
. .
Bali bali
: :
island island
of of
garbage garbage
. .
IW iw
: :
In in
Bali bali
, ,
we we
generate generate
680 @card@
cubic cubic
meters meter
of of
plastic plastic
garbage garbage
a a
day day
. .
That that
' '
s s
about about
a a
14-story 14-story
building building
. .
And and
when when
it it
comes come
to to
plastic plastic
bags bag
, ,
less less
than than
five five
percent percent
gets get
recycled recycle
. .
MW mw
: :
We we
know know
that that
changes change
the the
image image
you you
may may
have have
of of
our our
island island
. .
It it
changed change
ours ours
, ,
too too
, ,
when when
we we
learned learn
about about
it it
, ,
when when
we we
learned learn
that that
almost almost
all all
plastic plastic
bags bag
in in
Bali bali
end end
up up
in in
our our
drains drain
and and
then then
in in
our our
rivers river
and and
then then
in in
our our
ocean ocean
. .
And and
those those
that that
don don
' '
t t
even even
make make
it it
to to
the the
ocean ocean
, ,
they they
' '
re re
either either
burned burn
or or
littered litter
. .
IW iw
: :
So so
we we
decided decide
to to
do do
something something
about about
it it
. .
And and
we we
' '
ve ve
been be
working work
for for
almost almost
three three
years year
now now
to to
try try
to to
say say
no no
to to
plastic plastic
bags bag
on on
our our
home home
island island
. .
And and
we we
have have
had have
some some
significant significant
successes success
. .
MW mw
: :
We we
are be
sisters sister
, ,
and and
we we
go go
to to
the the
best good
school school
on on
earth earth
: :
Green green
School school
, ,
Bali bali
. .
Green green
School school
is be
not not
only only
different different
in in
the the
way way
that that
it it
is be
built build
out out
of of
bamboo bamboo
, ,
but but
also also
in in
the the
way way
that that
it it
teaches teach
. .
We we
are be
taught teach
to to
become become
leaders leader
of of
today today
, ,
something something
a a
normal normal
textbook textbook
cannot can
match match
. .
IW iw
: :
One one
day day
we we
had have
a a
lesson lesson
in in
class class
where where
we we
learned learn
about about
significant significant
people people
, ,
like like
Nelson nelson
Mandela mandela
, ,
Lady lady
Diana diana
and and
Mahatma mahatma
Gandhi gandhi
. .
Walking walk
home home
that that
day day
, ,
we we
agreed agree
that that
we we
also also
wanted want
to to
be be
significant significant
. .
Why why
should should
we we
wait wait
until until
we we
were be
grown grow
up up
to to
be be
significant significant
? ?
We we
wanted want
to to
do do
something something
now now
. .
MW mw
: :
Sitting sit
on on
the the
sofa sofa
that that
night night
, ,
we we
brainstormed brainstorm
and and
thought think
of of
all all
the the
issues issue
facing face
Bali bali
. .
And and
one one
thing thing
that that
stood stand
out out
to to
us us
the the
most most
was be
the the
plastic plastic
garbage garbage
. .
But but
that that
is be
a a
huge huge
problem problem
. .
So so
we we
looked look
into into
what what
was be
a a
realistic realistic
target target
for for
us us
kids kid
: :
plastic plastic
bags bag
. .
And and
the the
idea idea
was be
born bear
. .
IW iw
: :
We we
started start
researching research
, ,
and and
let let
' '
s s
just just
say say
, ,
the the
more more
we we
learned learn
, ,
there there
was be
nothing nothing
good good
about about
plastic plastic
bags bag
. .
And and
you you
know know
what what
? ?
We we
don don
' '
t t
even even
need need
them them
. .
MW mw
: :
We we
were be
really really
inspired inspire
by by
the the
efforts effort
