Bruno bruno
Giussani giussani
: :
Hello hello
. .
Bill bill
Gates gates
calls call
himself himself
an an
imperfect imperfect
messenger messenger
on on
climate climate
because because
of of
his his
high high
carbon carbon
footprint footprint
and and
lifestyle lifestyle
. .
However however
, ,
he he
has have
just just
made make
a a
major major
contribution contribution
to to
our our
thinking thinking
about about
confronting confront
climate climate
change change
via via
a a
book book
, ,
a a
book book
about about
decarbonising decarbonise
our our
economy economy
and and
society society
. .
It it
' '
s s
an an
optimistic optimistic
" "
can-do can-do
" "
kind kind
of of
book book
with with
a a
strong strong
focus focus
on on
technological technological
solutions solution
. .
He he
discusses discuss
the the
things thing
we we
have have
, ,
such such
as as
wind wind
and and
solar solar
power power
, ,
the the
things thing
we we
need need
to to
develop develop
, ,
such such
as as
carbon-free carbon-free
cement cement
or or
carbon-free carbon-free
steel steel
, ,
and and
long-term long-term
energy energy
storage storage
. .
And and
he he
talks talk
about about
the the
economics economics
of of
it it
all all
, ,
introducing introduce
the the
concept concept
of of
green green
premium premium
. .
The the
gist gist
of of
the the
book book
, ,
and and
really really
I i
' '
m m
simplifying simplify
here here
a a
lot lot
, ,
is be
that that
fighting fight
climate climate
change change
is be
going go
to to
be be
hard hard
, ,
but but
it it
' '
s s
possible possible
, ,
we we
can can
do do
it it
. .
There there
is be
a a
pathway pathway
to to
a a
clean clean
and and
prosperous prosperous
future future
for for
all all
. .
So so
we we
want want
to to
unpack unpack
some some
of of
that that
with with
the the
author author
of of
the the
book book
. .
Bill bill
Gates gates
, ,
welcome welcome
back back
to to
TED ted
. .
Bill bill
Gates gates
: :
Thank thank
you you
. .
Giussani giussani
: :
Bill bill
, ,
I i
would would
like like
to to
start start
where where
you you
start start
, ,
from from
the the
title title
of of
the the
book book
. .
" "
How how
to to
Avoid avoid
a a
Climate climate
Disaster disaster
, ,
" "
which which
, ,
of of
course course
, ,
presumes presume
that that
we we
are be
heading head
towards towards
a a
climate climate
disaster disaster
if if
we we
don don
' '
t t
act act
differently differently
. .
So so
what what
is be
the the
single single
most most
important important
thing thing
we we
must must
do do
to to
avoid avoid
a a
climate climate
disaster disaster
? ?
Gates gate
: :
Well well
, ,
the the
greenhouse greenhouse
gases gas
we we
put put
into into
the the
atmosphere atmosphere
, ,
particularly particularly
CO2 co2
, ,
stay stay
there there
for for
thousands thousand
of of
years year
. .
And and
so so
it it
' '
s s
really really
the the
sum sum
of of
all all
those those
emissions emission
are be
forcing force
the the
temperature temperature
higher high
and and
higher high
, ,
which which
will will
have have
disastrous disastrous
effects effect
. .
And and
so so
we we
have have
to to
take take
these these
emissions emission
, ,
which which
are be
presently presently
over over
51 @card@
billion billion
tons ton
per per
year year
and and
drive drive
those those
all all
the the
way way
down down
to to
zero zero
. .
And and
that that
' '
s s
when when
the the
temperature temperature
will will
stop stop
increasing increase
and and
the the
disastrous disastrous
weather weather
events event
won win
' '
t t
get get
worse bad
and and
worse bad
. .
So so
it it
' '
s s
pretty pretty
demanding demand
. .
It it
' '
s s
not not
a a
50 @card@
percent percent
reduction reduction
. .
It it
' '
s s
all all
the the
way way
down down
to to
zero zero
. .
Giussani giussani
: :
Now now
, ,
51 @card@
billion billion
is be
a a
big big
number number
. .
It it
' '
s s
difficult difficult
to to
register register
, ,
to to
understand understand
. .
Help help
us us
visualize visualize
the the
scale scale
of of
the the
problem problem
. .
Gates gate
: :
Well well
, ,
the the
key key
is be
to to
understand understand
all all
the the
different different
sources source
. .
And and
people people
are be
mostly mostly
aware aware
of of
the the
production production
of of
electricity electricity
with with
natural natural
gas gas
and and
coal coal
as as
being be
a a
big big
source source
. .
That that
' '
s s
about about
27 @card@
percent percent
. .
And and
they they
' '
re re
somewhat somewhat
aware aware
of of
transportation transportation
, ,
including include
passenger passenger
cars car
. .
Passenger passenger
cars car
are be
seven seven
percent percent
and and
transportation transportation
overall overall
is be
16 @card@
percent percent
. .
They they
have have
far far
less less
awareness awareness
of of
the the
other other
three three
segments segment
. .
Agriculture agriculture
, ,
which which
is be
19 @card@
percent percent
, ,
heating heat
and and
cooling cool
buildings building
, ,
including include
using use
natural natural
gas gas
, ,
are be
seven seven
percent percent
. .
And and
then then
, ,
sadly sadly
, ,
the the
biggest big
segment segment
of of
all all
, ,
manufacturing manufacturing
, ,
including include
steel steel
and and
cement cement
. .
People people
are be
least least
aware aware
of of
that that
one one
. .
And and
in in
fact fact
, ,
that that
one one
is be
the the
most most
difficult difficult
for for
us us
to to
solve solve
. .
The the
size size
of of
all all
the the
steel steel
plants plant
, ,
cement cement
plants plant
, ,
paper paper
, ,
plastic plastic
, ,
the the
industrial industrial
economy economy
is be
gigantic gigantic
. .
And and
we we
' '
re re
asking ask
that that
to to
be be
changed change
over over
in in
this this
30-year 30-year
period period
when when
we we
don don
' '
t t
even even
know know
how how
to to
make make
that that
change change
right right
now now
. .
Giussani giussani
: :
So so
your your
core core
argument argument
, ,
and and
really really
, ,
here here
I i
' '
m m
simplifying simplify
, ,
is be
that that
basically basically
we we
need need
to to
clean clean
up up
all all
of of
that that
, ,
right right
? ?
The the
way way
we we
make make
things thing
, ,
we we
grow grow
things thing
, ,
we we
get get
around around
and and
power power
our our
economy economy
. .
And and
so so
to to
do do
that that
, ,
we we
need need
to to
get get
to to
a a
point point
where where
green green
energy energy
is be
as as
cheap cheap
as as
fossil fossil
fuels fuel
, ,
and and
new new
materials material
, ,
clean clean
materials material
, ,
are be
as as
cheap cheap
as as
current current
materials material
. .
And and
you you
call call
that that
" "
eliminating eliminate
the the
green green
premium premium
. .
" "
So so
to to
start start
, ,
tell tell
us us
what what
you you
mean mean
by by
green green
premium premium
. .
Gates gate
: :
Yeah yeah
, ,
so so
the the
green green
premium premium
varies vary
from from
emission emission
sources source
. .
It it
' '
s s
the the
cost cost
to to
buy buy
that that
product product
where where
there there
' '
s s
been be
no no
emissions emission
versus versus
the the
cost cost
we we
have have
today today
. .
And and
so so
for for
an an
electric electric
car car
, ,
the the
green green
premium premium
is be
reasonably reasonably
modest modest
. .
You you
pay pay
a a
little little
more more
upfront upfront
, ,
you you
save save
a a
bit bit
on on
the the
maintenance maintenance
and and
gasoline gasoline
, ,
you you
give give
up up
some some
range range
, ,
you you
have have
a a
longer long
charging charging
time time
. .
But but
over over
the the
next next
15 @card@
years year
, ,
because because
the the
