What what
images image
do do
we we
see see
from from
the the
rest rest
of of
the the
world world
? ?
We we
see see
natural natural
disasters disaster
, ,
war war
, ,
terror terror
. .
We we
see see
refugees refugee
, ,
and and
we we
see see
horrible horrible
diseases disease
. .
Right right
? ?
We we
see see
beautiful beautiful
beaches beach
, ,
cute cute
animals animal
, ,
beautiful beautiful
nature nature
, ,
cultural cultural
rites rite
and and
stuff stuff
. .
And and
then then
we we
' '
re re
supposed suppose
to to
make make
the the
connection connection
in in
our our
head head
and and
create create
a a
worldview worldview
out out
of of
this this
. .
And and
how how
is be
that that
possible possible
? ?
I i
mean mean
, ,
the the
world world
seems seem
so so
strange strange
. .
And and
I i
don don
' '
t t
think think
it it
is be
. .
I i
don don
' '
t t
think think
the the
world world
is be
that that
strange strange
, ,
actually actually
. .
I i
' '
ve ve
got get
an an
idea idea
. .
So so
, ,
imagine imagine
the the
world world
as as
a a
street street
, ,
where where
the the
poorest poor
live live
on on
one one
end end
and and
the the
richest rich
on on
the the
other other
, ,
and and
everyone everyone
in in
the the
world world
lives live
on on
this this
street street
. .
You you
live live
there there
, ,
I i
live live
there there
, ,
and and
the the
neighbors neighbor
we we
have have
are be
the the
ones one
with with
the the
same same
income income
. .
People people
that that
live live
in in
the the
same same
block block
as as
me me
, ,
they they
are be
from from
other other
countries country
, ,
other other
cultures culture
, ,
other other
religions religion
. .
The the
street street
might might
look look
something something
like like
this this
. .
And and
I i
was be
curious curious
. .
In in
Sweden sweden
where where
I i
live live
, ,
I i
' '
ve ve
been be
meeting meet
quite quite
a a
lot lot
of of
students student
. .
And and
I i
wanted want
to to
know know
, ,
where where
would would
they they
think think
they they
belong belong
on on
a a
street street
like like
this this
? ?
So so
we we
changed change
these these
houses house
into into
people people
. .
This this
is be
the the
seven seven
billion billion
people people
that that
live live
in in
the the
world world
. .
And and
just just
by by
living live
in in
Sweden sweden
, ,
most most
likely likely
you you
belong belong
there there
, ,
which which
is be
the the
richest rich
group group
. .
But but
the the
students student
, ,
when when
you you
ask ask
them them
, ,
they they
think think
they they
are be
in in
the the
middle middle
. .
And and
how how
can can
you you
understand understand
the the
world world
when when
you you
see see
all all
these these
scary scary
images image
from from
the the
world world
, ,
and and
you you
think think
you you
live live
in in
the the
middle middle
, ,
while while
you you
' '
re re
actually actually
atop atop
? ?
Not not
very very
easy easy
. .
So so
I i
sent send
out out
photographers photographer
to to
264 @card@
homes home
in in
50 @card@
countries country
— -
so so
far far
, ,
still still
counting count
— -
and and
in in
each each
home home
, ,
the the
photographers photographer
take take
the the
same same
set set
of of
photos photo
. .
They they
take take
the the
bed bed
, ,
the the
stove stove
, ,
the the
toys toy
and and
about about
135 @card@
other other
things thing
. .
So so
we we
have have
40 @card@
, ,
000 @card@
images image
or or
something something
at at
the the
moment moment
, ,
and and
it it
looks look
something something
like like
this this
. .
Here here
we we
see see
, ,
it it
says say
on on
the the
top top
, ,
" "
Families family
in in
the the
world world
by by
income income
, ,
" "
and and
we we
have have
the the
street street
represented represent
just just
beneath beneath
it it
, ,
you you
can can
see see
. .
And and
then then
we we
see see
some some
of of
the the
families family
we we
have have
visited visit
. .
We we
have have
the the
poorer poorer
to to
the the
left left
, ,
the the
richer rich
to to
the the
right right
, ,
and and
everybody everybody
else else
in in
between between
, ,
as as
the the
concept concept
says say
. .
We we
can can
go go
down down
and and
see see
the the
different different
families family
we we
have have
been be
to to
so so
far far
. .
Here here
, ,
for for
instance instance
, ,
we we
have have
a a
family family
in in
Zimbabwe zimbabwe
, ,
one one
in in
India india
, ,
one one
in in
Russia russia
, ,
and and
one one
in in
Mexico mexico
, ,
for for
instance instance
. .
So so
we we
can can
go go
around around
and and
look look
at at
the the
families family
this this
way way
. .
But but
of of
course course
, ,
we we
can can
choose choose
if if
we we
want want
to to
see see
some some
certain certain
countries country
and and
compare compare
them them
, ,
or or
