Christiana christiana
Figueres figueres
: :
There there
' '
s s
no no
doubt doubt
that that
we we
are be
facing face
exponential exponential
impacts impact
of of
climate climate
change change
. .
There there
is be
also also
, ,
however however
, ,
no no
doubt doubt
that that
that that
is be
being be
met meet
with with
exponential exponential
progress progress
of of
the the
technologies technology
that that
can can
help help
to to
address address
climate climate
change change
. .
So so
what what
we we
have have
here here
is be
, ,
frankly frankly
, ,
a a
race race
between between
two two
exponential exponential
curves curve
. .
By by
2030 @card@
, ,
we we
collectively collectively
will will
have have
chosen choose
between between
door door
number number
one one
. .
And and
door door
number number
two two
. .
Julio julio
Friedmann friedmann
: :
The the
question question
I i
am be
most most
commonly commonly
asked ask
about about
climate climate
change change
is be
: :
" "
Should should
I i
be be
optimistic optimistic
or or
pessimistic pessimistic
? ?
" "
Cynthia cynthia
Williams williams
: :
Here here
' '
s s
what what
we we
need need
to to
do do
to to
make make
sure sure
that that
we we
' '
re re
ready ready
for for
an an
all-electric all-electric
future future
. .
Anika anika
Goss goss
: :
Being be
financially financially
secure secure
and and
climate climate
resilient resilient
should should
be be
the the
most most
important important
priority priority
. .
Faustine faustine
Delasalle delasalle
: :
It it
' '
s s
really really
easy easy
when when
you you
look look
at at
where where
we we
are be
today today
and and
where where
we we
ought ought
to to
be be
by by
2030 @card@
, ,
to to
feel feel
like like
there there
' '
s s
a a
huge huge
gap gap
that that
will will
never never
be be
filled fill
. .
But but
we we
have have
good good
reasons reason
to to
say say
that that
that that
gap gap
is be
actually actually
fixable fixable
. .
Nigel nigel
Topping topping
: :
If if
you you
' '
re re
not not
worried worried
or or
anxious anxious
, ,
you you
' '
re re
probably probably
not not
paying pay
attention attention
. .
But but
we we
should should
also also
not not
be be
defeatist defeatist
. .
We we
shouldn shouldn
' '
t t
say say
, ,
" "
We we
' '
ve ve
done do
nothing nothing
, ,
we we
' '
re re
failing fail
. .
" "
We we
' '
ve ve
really really
started start
20 @card@
years year
too too
late late
, ,
but but
it it
takes take
a a
long long
time time
to to
get get
the the
flywheel flywheel
of of
momentum momentum
going go
. .
Kingsmill kingsmill
Bond bond
: :
The the
tide tide
of of
change change
is be
coming come
. .
The the
costs cost
keep keep
falling fall
. .
The the
political political
pressure pressure
keeps keep
increasing increase
. .
JF jf
: :
We we
' '
re re
going go
to to
build build
a a
thriving thriving
, ,
exciting exciting
world world
. .
AG ag
: :
We we
can can
do do
this this
. .
JF jf
: :
Full full
of of
potential potential
. .
AG ag
: :
We we
have have
to to
do do
this this
. .
[ [
TED ted
Explores explore
A a
New new
Climate climate
Vision vision
] ]
Manoush manoush
Zamorodi zamorodi
: :
When when
it it
comes come
to to
climate climate
change change
, ,
are be
you you
an an
optimist optimist
or or
a a
pessimist pessimist
? ?
News news
about about
the the
climate climate
can can
be be
overwhelming overwhelming
and and
emotional emotional
, ,
to to
the the
point point
that that
many many
of of
us us
just just
feel feel
numb numb
. .
I i
' '
m m
Manoush manoush
Zomorodi zomorodi
, ,
a a
longtime longtime
public public
media medium
journalist journalist
and and
host host
of of
the the
TED ted
Radio radio
Hour hour
. .
And and
today today
, ,
we we
want want
to to
bring bring
you you
something something
special special
: :
an an
hour hour
of of
nuance nuance
, ,
of of
real real
people people
and and
clarity clarity
about about
what what
is be
happening happen
to to
our our
planet planet
and and
what what
we we
' '
re re
doing do
about about
it it
. .
Because because
we we
all all
know know
there there
' '
s s
plenty plenty
of of
bad bad
news news
when when
it it
comes come
to to
the the
climate climate
crisis crisis
. .
But but
guess guess
what what
? ?
There there
' '
s s
also also
some some
really really
good good
news news
. .
That that
' '
s s
why why
we we
' '
re re
here here
in in
Detroit detroit
at at
the the
TED ted
Countdown countdown
Summit summit
, ,
where where
a a
cross-section cross-section
of of
people people
who who
know know
the the
most most
and and
who who
are be
doing do
the the
most most
have have
gathered gather
to to
share share
their their
ideas idea
and and
plans plan
with with
each each
other other
and and
with with
you you
. .
You you
' '
re re
going go
to to
hear hear
from from
some some
incredible incredible
speakers speaker
about about
their their
personal personal
stories story
and and
tested test
solutions solution
. .
But but
first first
, ,
let let
' '
s s
get get
a a
quick quick
reminder reminder
on on
the the
basics basic
: :
climate climate
change change
in in
a a
minute minute
or or
so so
. .
[ [
Prologue prologue
: :
What what
is be
Climate climate
Change change
? ?
] ]
David david
Biello biello
: :
The the
air air
we we
breathe breathe
has have
changed change
. .
The the
mix mix
of of
gases gas
is be
shifting shift
, ,
with with
more more
and and
more more
greenhouse greenhouse
gases gas
like like
carbon carbon
dioxide dioxide
. .
And and
the the
shift shift
is be
happening happen
faster faster
each each
year year
. .
In in
just just
a a
few few
hundred hundred
years year
, ,
fossil fossil
fuels fuel
formed form
over over
eons eon
have have
been be
burned burn
as as
coal coal
, ,
oil oil
and and
gas gas
. .
The the
exhaust exhaust
has have
transformed transform
the the
entire entire
atmosphere atmosphere
and and
ocean ocean
. .
It it
' '
s s
like like
a a
pollution pollution
blanket blanket
. .
And and
the the
result result
we we
know know
as as
climate climate
change change
. .
The the
planet planet
has have
already already
warmed warm
more more
than than
one one
degree degree
Celsius celsius
and and
is be
on on
a a
path path
to to
heat heat
up up
even even
more more
. .
That that
may may
not not
seem seem
like like
a a
lot lot
, ,
but but
it it
' '
s s
already already
caused cause
major major
destruction destruction
across across
the the
globe globe
. .
To to
give give
us us
some some
room room
to to
breathe breathe
, ,
the the
world world
must must
reduce reduce
greenhouse greenhouse
gas gas
pollution pollution
by by
more more
than than
seven seven
percent percent
each each
year year
, ,
every every
year year
of of
this this
decade decade
. .
There there
are be
a a
number number
of of
ways way
to to
do do
that that
. .
Let let
' '
s s
start start
by by
looking look
at at
the the
greenhouse greenhouse
gases gas
themselves themselves
. .
CO2 co2
makes make
up up
nearly nearly
75 @card@
percent percent
of of
the the
pollution pollution
emitted emit
each each
year year
. .
And and
then then
there there
' '
s s
methane methane
or or
natural natural
gas gas
, ,
which which
makes make
up up
17 @card@
percent percent
. .
Finally finally
, ,
there there
' '
s s
nitrous nitrous
oxide oxide
, ,
making make
up up
six six
percent percent
of of
the the
problem problem
. .
There there
are be
other other
greenhouse greenhouse
gases gas
, ,
but but
these these
three three
make make
up up
the the
bulk bulk
of of
the the
climate climate
challenge challenge
. .
Where where
do do
they they
come come
from from
? ?
There there
are be
several several
ways way
to to
break break
down down
the the
sources source
of of
greenhouse greenhouse
gas gas
emissions emission
. .
Here here
we we
' '
re re
using use
the the
public public
Climate climate
Watch watch
data datum
. .
Start start
with with
energy energy
. .
The the
majority majority
of of
modern modern
energy energy
comes come
from from
burning burn
fossil fossil
fuels fuel
, ,
which which
makes make
the the
energy energy
sector sector
76 @card@
percent percent
of of
the the
climate climate
challenge challenge
, ,
including include
the the
fuels fuel
used use
for for
transportation transportation
, ,
industrial industrial
processes process
and and
agricultural agricultural
production production
. .
Farming farming
and and
animal animal
raising raise
also also
have have
to to
change change
, ,
as as
agriculture agriculture
accounts account
for for
12 @card@
percent percent
of of
greenhouse greenhouse
gas gas
pollution pollution
. .
The the
remaining remain
12 @card@
percent percent
comes come
from from
a a
grab grab
bag bag
of of
human human
activities activity
like like
industrial industrial
heating heating
, ,
clearing clear
forests forest
and and
more more
. .
This this
is be
the the
climate climate
challenge challenge
we we
face face
: :
going go
from from
adding add
billions billion
of of
metric metric
tons ton
of of
greenhouse greenhouse
gases gas
to to
the the
air air
each each
year year
to to
adding add
zero zero
. .
Will will
it it
be be
easy easy
? ?
No no
. .
Can can
we we
do do
it it
? ?
Yes yes
, ,
if if
we we
choose choose
to to
. .
MZ mz
: :
OK ok
, ,
so so
that that
' '
s s
the the
situation situation
. .
Where where
do do
we we
go go
from from
here here
? ?
Well well
, ,
we we
' '
ve ve
all all
heard hear
of of
a a
tipping tip
point point
, ,
that that
moment moment
when when
an an
idea idea
or or
concept concept
finally finally
takes take
hold hold
and and
then then
changes change
the the
world world
. .
Well well
, ,
the the
UN un
' '
s s
climate climate
chief chief
, ,
Simon simon
Stiell stiell
, ,
believes believe
we we
are be
almost almost
at at
a a
tipping tip
point point
for for
massive massive
action action
on on
climate climate
change change
. .
And and
to to
get get
you you
ready ready
, ,
he he
wants want
to to
take take
you you
back back
to to
the the
early early
' '
90s 90s
, ,
when when
he he
was be
an an
executive executive
at at
Nokia nokia
, ,
and and
the the
world world
wasn wasn
' '
t t
sending send
text text
messages message
yet yet
. .
[ [
Chapter chapter
1 @card@
: :
Exponential exponential
Change change
] ]
Simon simon
Stiell stiell
: :
I i
want want
you you
to to
imagine imagine
it it
' '
s s
1992 @card@
, ,
and and
you you
' '
re re
talking talk
to to
a a
telecoms telecoms
expert expert
. .
She she
tells tell
you you
that that
mobile mobile
phone phone
text text
messaging message
is be
going go
to to
fundamentally fundamentally
change change
the the
way way
we we
communicate communicate
. .
You you
think think
, ,
why why
on on
Earth earth
am be
I i
going go
to to
go go
from from
this this
to to
tapping tap
on on
a a
screen screen
with with
my my
fingers finger
and and
my my
thumbs thumb
? ?
But but
then then
, ,
after after
a a
slow slow
start start
, ,
text-based text-based
services service
exploded explode
. .
Today today
, ,
over over
23 @card@
billion billion
messages message
are be
sent send
every every
single single
day day
. .
This this
paved pave
the the
way way
for for
the the
smartphone smartphone
revolution revolution
. .
I i
know know
how how
much much
we we
struggle struggle
to to
comprehend comprehend
and and
predict predict
what what
exponential exponential
change change
means mean
, ,
because because
I i
was be
at at
Nokia nokia
in in
1993 @card@
when when
that that
technological technological
revolution revolution
started start
. .
And and
now now
, ,
as as
head head
of of
UN un
climate climate
change change
, ,
I i
' '
m m
here here
to to
tell tell
you you
that that
what what
was be
true true
for for
mobile mobile
phones phone
is be
also also
true true
for for
climate climate
action action
today today
. .
We we
' '
re re
here here
in in
Detroit detroit
, ,
the the
heart heart
of of
car car
manufacturing manufacturing
. .
Take take
a a
look look
at at
this this
graph graph
. .
Electric electric
vehicle vehicle
sales sale
are be
expected expect
to to
increase increase
to to
become become
70 @card@
percent percent
by by
2030 @card@
. .
Another another
example example
, ,
solar solar
energy energy
. .
Between between
2010 @card@
and and
2020 @card@
, ,
we we
moved move
from from
20 @card@
gigawatts gigawatt
of of
solar solar
energy energy
installed install
to to
150 @card@
gigawatts gigawatt
. .
And and
by by
2030 @card@
, ,
that that
number number
is be
expected expect
to to
increase increase
again again
, ,
to to
1 @card@
, ,
000 @card@
gigawatts gigawatt
per per
year year
. .
Change change
can can
come come
fast fast
. .
FD fd
: :
So so
exponential exponential
change change
means mean
that that
change change
happens happen
very very
slowly slowly
at at
first first
and and
then then
comes come
a a
tipping tip
point point
. .
And and
suddenly suddenly
things thing
accelerate accelerate
and and
accelerate accelerate
and and
accelerate accelerate
. .
NT nt
: :
It it
' '
s s
a a
mathematical mathematical
term term
, ,
but but
it it
means mean
basically basically
stuff stuff
happens happen
very very
slowly slowly
and and
then then
it it
goes go
really really
fast fast
. .
Tessa tessa
Kahn kahn
: :
Governments government
and and
experts expert
have have
consistently consistently
underestimated underestimate
the the
pace pace
and and
scale scale
at at
which which
we we
can can
deploy deploy
renewable renewable
energy energy
and and
how how
quickly quickly
renewable renewable
energy energy
and and
associated associated
technologies technology
become become
affordable affordable
. .
Ramez ramez
Naam naam
: :
I i
predicted predict
in in
2011 @card@
that that
we we
' '
d d
have have
solar solar
as as
cheap cheap
as as
coal coal
in in
some some
parts part
of of
the the
world world
by by
2015 @card@
and and
half half
the the
cost cost
of of
coal coal
by by
2020 @card@
, ,
and and
everyone everyone
thought think
I i
was be
crazy crazy
, ,
I i
' '
ve ve
got get
to to
say say
, ,
almost almost
. .
And and
in in
fact fact
, ,
I i
was be
wrong wrong
. .
The the
actual actual
decline decline
in in
the the
cost cost
of of
solar solar
happened happen
twice twice
as as
fast fast
as as
I i
thought think
it it
would would
. .
Solar solar
prices price
today today
are be
a a
century century
ahead ahead
of of
where where
the the
world world
' '
s s
leading lead
energy energy
experts expert
thought think
they they
' '
d d
be be
in in
2010 @card@
. .
KB kb
: :
It it
' '
s s
now now
spreading spread
from from
solar solar
, ,
so so
it it
' '
s s
happening happen
also also
in in
the the
wind wind
sector sector
, ,
it it
' '
s s
happening happen
in in
the the
battery battery
sector sector
, ,
it it
' '
s s
happening happen
in in
the the
electric electric
vehicle vehicle
sector sector
. .
CF cf
: :
I i
don don
' '
t t
think think
that that
we we
do do
a a
good good
job job
at at
communicating communicate
the the
fact fact
that that
we we
are be
progressing progress
more more
than than
is be
commonly commonly
known know
. .
Nili nili
Gilbert gilbert
: :
The the
human human
brain brain
is be
trained train
best well
at at
thinking think
about about
linear linear
change change
. .
But but
when when
you you
think think
about about
an an
exponential exponential
curve curve
, ,
next next
to to
a a
line line
, ,
at at
first first
the the
exponential exponential
curve curve
is be
below below
the the
line line
, ,
and and
so so
it it
' '
s s
moving move
more more
slowly slowly
than than
you you
would would
think think
. .
And and
then then
it it
crosses cross
the the
line line
and and
it it
' '
s s
moving move
faster fast
than than
you you
would would
think think
. .
Habiba habiba
Daggash daggash
: :
We we
call call
it it
cautious cautious
optimism optimism
. .
We we
' '
re re
very very
hopeful hopeful
about about
the the
trajectories trajectory
that that
we we
' '
ve ve
seen see
. .
But but
we we
shouldn shouldn
' '
t t
let let
up up
yet yet
. .
KB kb
: :
So so
we we
can can
make make
this this
change change
happen happen
slow slow
or or
we we
can can
make make
it it
happen happen
fast fast
. .
The the
key key
point point
to to
say say
is be
we we
have have
agency agency
. .
MZ mz
: :
This this
idea idea
of of
exponential exponential
growth growth
sounds sound
awesome awesome
. .
It it
sounds sound
amazing amazing
, ,
but but
is be
it it
actually actually
happening happen
? ?
Well well
, ,
I i
' '
m m
headed head
into into
a a
workshop workshop
with with
industry industry
and and
climate climate
leaders leader
to to
find find
out out
. .
The the
moderators moderator
of of
the the
workshop workshop
challenged challenge
us us
to to
hold hold
two two
competing competing
ideas idea
in in
our our
minds mind
at at
the the
same same
time time
. .
NT nt
: :
What what
we we
' '
re re
really really
going go
to to
explore explore
today today
is be
two two
apparently apparently
opposing opposing
realities reality
, ,
and and
they they
' '
re re
often often
two two
opposing opposing
narratives narrative
. .
The the
one one
which which
is be
true true
, ,
right right
, ,
is be
that that
in in
terms term
of of
the the
Paris paris
goals goal
, ,
we we
' '
re re
way way
off off
track track
. .
We we
' '
re re
deep deep
into into
the the
emergency emergency
. .
But but
what what
we we
' '
re re
going go
to to
explore explore
today today
is be
the the
other other
reality reality
that that
we we
know know
what what
to to
do do
. .
Exponential exponential
change change
is be
happening happen
, ,
but but
it it
doesn doesn
' '
t t
happen happen
by by
magic magic
. .
MZ mz
: :
So so
what what
are be
we we
seeing see
in in
different different
industries industry
? ?
Well well
, ,
let let
' '
s s
start start
with with
one one
that that
' '
s s
known know
to to
be be
really really
difficult difficult
to to
decarbonize decarbonize
: :
cement cement
. .
Vicente vicente
Saiso saiso
Alva alva
: :
I i
think think
everything everything
converges converge
into into
making make
climate climate
a a
huge huge
urgent urgent
matter matter
for for
society society
. .
We we
started start
to to
feel feel
the the
pressure pressure
from from
all all
different different
types type
of of
stakeholders stakeholder
, ,
and and
in in
one one
year year
of of
running run
this this
program program
, ,
we we
realized realize
how how
fast fast
we we
could could
move move
and and
how how
fast fast
we we
were be
going go
in in
reducing reduce
CO2 co2
emissions emission
, ,
which which
means mean
now now
to to
go go
from from
40 @card@
to to
close close
to to
50 @card@
percent percent
reduction reduction
by by
2030 @card@
. .
MZ mz
: :
Encouraging encourage
, ,
but but
to to
tackle tackle
that that
remaining remain
50 @card@
percent percent
may may
require require
technologies technology
that that
don don
' '
t t
exist exist
at at
scale scale
yet yet
. .
OK ok
, ,
what what
about about
shipping shipping
? ?
Narin narin
Phol phol
: :
In in
Maersk maersk
, ,
a a
few few
years year
back back
, ,
we we
came come
out out
with with
a a
net-zero net-zero
ambition ambition
by by
2050 @card@
, ,
and and
in in
a a
few few
years year
later later
, ,
based base
on on
the the
data data
that that
we we
have have
got get
, ,
we we
' '
ve ve
really really
seen see
a a
path path
that that
we we
can can
really really
accelerate accelerate
that that
one one
. .
That that
' '
s s
why why
the the
revised revise
target target
of of
2040 @card@
came come
in in
. .
MZ mz
: :
The the
news news
in in
offshore offshore
wind wind
was be
quite quite
dramatic dramatic
. .
Jennie jennie
Dodson dodson
: :
So so
my my
moment moment
of of
mindset mindset
shift shift
was be
in in
2019 @card@
. .
The the
government government
put put
out out
a a
request request
